Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Antonio Raillo,es ESP,DF,32,37,37,3240.0,36.0,2.0,0.0,2.0,2.0,0.0,0.0,7.0,1.0,2.0,2.0,1.6,3.7,31.0,108.0,20.0,0.06,0.0,0.06,0.06,0.06,0.06,0.05,0.1,0.06,0.1,Matches,2024-2025,Mallorca
Martin Valjent,sk SVK,DF,28,33,33,2943.0,32.7,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.8,0.8,0.1,0.9,23.0,91.0,17.0,0.09,0.0,0.09,0.09,0.09,0.03,0.0,0.03,0.03,0.03,Matches,2024-2025,Mallorca
Dominik Greif,sk SVK,GK,27,32,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Mallorca
Sergi Darder,es ESP,"MF,FW",30,40,35,2859.0,31.8,2.0,6.0,8.0,2.0,0.0,0.0,4.0,0.0,2.1,2.1,3.7,5.8,37.0,142.0,83.0,0.06,0.19,0.25,0.06,0.25,0.07,0.12,0.19,0.07,0.19,Matches,2024-2025,Mallorca
Johan Mojica,co COL,DF,31,37,31,2845.0,31.6,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.9,0.9,4.1,5.0,66.0,130.0,142.0,0.03,0.06,0.09,0.03,0.09,0.03,0.13,0.16,0.03,0.16,Matches,2024-2025,Mallorca
Samu Costa,pt POR,MF,23,33,31,2670.0,29.7,0.0,2.0,2.0,0.0,0.0,0.0,10.0,1.0,1.8,1.8,1.2,3.0,24.0,116.0,69.0,0.0,0.07,0.07,0.0,0.07,0.06,0.04,0.1,0.06,0.1,Matches,2024-2025,Mallorca
Pablo Maffeo,es ESP,DF,27,31,29,2458.0,27.3,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.3,0.3,4.1,4.4,46.0,74.0,122.0,0.0,0.07,0.07,0.0,0.07,0.01,0.16,0.17,0.01,0.17,Matches,2024-2025,Mallorca
Dani Rodríguez,es ESP,"MF,FW",36,39,27,2267.0,25.2,4.0,7.0,11.0,4.0,0.0,0.0,6.0,0.0,2.8,2.8,3.1,6.0,37.0,78.0,108.0,0.16,0.28,0.44,0.16,0.44,0.12,0.13,0.25,0.12,0.25,Matches,2024-2025,Mallorca
Vedat Muriqi,xk KVX,FW,30,31,25,2173.0,24.1,7.0,2.0,9.0,5.0,2.0,3.0,1.0,2.0,9.7,7.3,2.2,9.5,23.0,30.0,103.0,0.29,0.08,0.37,0.21,0.29,0.42,0.1,0.52,0.32,0.41,Matches,2024-2025,Mallorca
