Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Kevin De Bruyne,be BEL,MF,26,52,48,4180.0,46.4,12.0,21.0,33.0,12.0,0.0,0.0,6.0,0.0,6.1,6.1,13.7,19.7,215.0,479.0,299.0,0.26,0.45,0.71,0.26,0.71,0.15,0.33,0.48,0.15,0.48,Matches,2017-2018,Manchester City
Nicolás Otamendi,ar ARG,DF,29,46,45,4047.0,45.0,5.0,0.0,5.0,5.0,0.0,0.0,11.0,0.0,3.1,3.1,0.9,4.0,98.0,259.0,8.0,0.11,0.0,0.11,0.11,0.11,0.07,0.02,0.1,0.07,0.1,Matches,2017-2018,Manchester City
Ederson,br BRA,GK,23,45,45,4004.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Manchester City
Fernandinho,br BRA,"MF,DF",32,48,46,3986.0,44.3,5.0,3.0,8.0,5.0,0.0,0.0,12.0,0.0,2.6,2.6,3.0,5.6,96.0,390.0,42.0,0.11,0.07,0.18,0.11,0.18,0.07,0.08,0.14,0.07,0.14,Matches,2017-2018,Manchester City
Kyle Walker,eng ENG,DF,27,47,42,3826.0,42.5,0.0,7.0,7.0,0.0,0.0,0.0,6.0,2.0,0.8,0.8,4.8,5.6,135.0,256.0,229.0,0.0,0.16,0.16,0.0,0.16,0.02,0.13,0.15,0.02,0.15,Matches,2017-2018,Manchester City
Leroy Sané,de GER,"FW,MF",21,49,41,3612.0,40.1,14.0,19.0,33.0,14.0,0.0,0.0,5.0,0.0,7.2,7.2,7.9,15.1,149.0,86.0,540.0,0.35,0.47,0.82,0.35,0.82,0.21,0.23,0.44,0.21,0.44,Matches,2017-2018,Manchester City
Raheem Sterling,eng ENG,"FW,MF",22,46,39,3561.0,39.6,23.0,14.0,37.0,22.0,1.0,1.0,7.0,2.0,18.4,17.5,8.5,26.0,139.0,108.0,476.0,0.58,0.35,0.94,0.56,0.91,0.54,0.25,0.78,0.51,0.76,Matches,2017-2018,Manchester City
David Silva,es ESP,MF,31,40,37,3190.0,35.4,10.0,14.0,24.0,10.0,0.0,0.0,6.0,0.0,7.3,7.3,9.8,17.1,177.0,380.0,289.0,0.28,0.39,0.68,0.28,0.68,0.23,0.31,0.54,0.23,0.54,Matches,2017-2018,Manchester City
Sergio Agüero,ar ARG,FW,29,39,32,2926.0,32.5,30.0,7.0,37.0,25.0,5.0,6.0,2.0,0.0,20.2,15.5,6.0,21.5,106.0,55.0,251.0,0.92,0.22,1.14,0.77,0.98,0.76,0.22,0.98,0.58,0.8,Matches,2017-2018,Manchester City
Bernardo Silva,pt POR,"FW,MF",22,53,28,2809.0,31.2,9.0,10.0,19.0,9.0,0.0,0.0,1.0,0.0,4.5,4.2,5.6,9.8,107.0,108.0,287.0,0.29,0.32,0.61,0.29,0.61,0.19,0.24,0.43,0.18,0.42,Matches,2017-2018,Manchester City
İlkay Gündoğan,de GER,MF,26,48,29,2762.0,30.7,6.0,7.0,13.0,5.0,1.0,1.0,6.0,0.0,4.2,3.4,2.5,5.9,76.0,195.0,97.0,0.2,0.23,0.42,0.16,0.39,0.19,0.11,0.3,0.15,0.26,Matches,2017-2018,Manchester City
Gabriel Jesus,br BRA,FW,20,42,29,2591.0,28.8,17.0,3.0,20.0,17.0,0.0,2.0,8.0,0.0,17.1,15.5,2.7,18.2,33.0,55.0,230.0,0.59,0.1,0.69,0.59,0.69,0.67,0.11,0.78,0.61,0.72,Matches,2017-2018,Manchester City
Danilo,br BRA,DF,26,38,25,2503.0,27.8,3.0,3.0,6.0,3.0,0.0,0.0,7.0,0.0,1.2,1.2,0.2,1.4,48.0,128.0,88.0,0.11,0.11,0.22,0.11,0.22,0.06,0.01,0.07,0.06,0.07,Matches,2017-2018,Manchester City
Fabian Delph,eng ENG,DF,27,29,27,2258.0,25.1,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,0.3,0.3,1.4,1.7,57.0,150.0,69.0,0.04,0.08,0.12,0.04,0.12,0.01,0.06,0.07,0.01,0.07,Matches,2017-2018,Manchester City
John Stones,eng ENG,DF,23,29,26,2233.0,24.8,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.4,1.4,0.2,1.6,12.0,90.0,7.0,0.12,0.0,0.12,0.12,0.12,0.07,0.01,0.08,0.07,0.08,Matches,2017-2018,Manchester City
Vincent Kompany,be BEL,DF,31,21,21,1754.0,19.5,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,0.8,0.8,0.5,1.3,32.0,91.0,3.0,0.1,0.05,0.15,0.1,0.15,0.05,0.03,0.08,0.05,0.08,Matches,2017-2018,Manchester City
Claudio Bravo,cl CHI,GK,34,13,12,1186.0,13.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Manchester City
Aymeric Laporte,es ESP,DF,23,13,13,1166.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,25.0,98.0,9.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,2017-2018,Manchester City
Oleksandr Zinchenko,ua UKR,DF,20,14,12,1101.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,14.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.08,0.01,0.08,Matches,2017-2018,Manchester City
Eliaquim Mangala,fr FRA,DF,26,15,10,1048.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,7.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,Matches,2017-2018,Manchester City
Yaya Touré,ci CIV,MF,34,17,8,890.0,9.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.9,1.4,27.0,70.0,5.0,0.0,0.2,0.2,0.0,0.2,0.09,0.17,0.26,0.09,0.26,Matches,2017-2018,Manchester City
Benjamin Mendy,fr FRA,DF,23,8,5,453.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.8,1.0,23.0,29.0,72.0,0.0,0.2,0.2,0.0,0.2,0.03,0.16,0.19,0.03,0.19,Matches,2017-2018,Manchester City
Phil Foden,eng ENG,"MF,DF",17,10,3,334.0,3.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,18.0,12.0,21.0,0.0,0.27,0.27,0.0,0.27,0.03,0.12,0.15,0.03,0.15,Matches,2017-2018,Manchester City
Tosin Adarabioyo,eng ENG,DF,19,4,3,300.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Manchester City
Brahim Díaz,ma MAR,"MF,FW",17,10,1,196.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.8,10.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.48,0.19,0.68,0.48,0.68,Matches,2017-2018,Manchester City
Lukas Nmecha,de GER,FW,18,3,0,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Manchester City
Tom Dele-Bashiru,ng NGA,MF,17,1,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2017-2018,Manchester City
Demeaco Duhaney,eng ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2017-2018,Manchester City
