Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Rúben Dias,pt POR,DF,23,50,49,4330.0,48.1,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,2.1,2.1,1.5,3.6,43.0,205.0,8.0,0.02,0.0,0.02,0.02,0.02,0.05,0.04,0.08,0.05,0.08,Matches,2020-2021,Manchester City
Ederson,br BRA,GK,26,48,48,4320.0,48.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3,0.3,0.0,2.0,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.01,0.01,0.0,0.01,Matches,2020-2021,Manchester City
Rodri,es ESP,MF,24,53,46,3987.0,44.3,2.0,5.0,7.0,1.0,1.0,1.0,7.0,0.0,2.7,1.9,1.5,3.4,49.0,288.0,39.0,0.05,0.11,0.16,0.02,0.14,0.07,0.04,0.11,0.05,0.09,Matches,2020-2021,Manchester City
Raheem Sterling,eng ENG,FW,25,49,41,3702.0,41.1,14.0,10.0,24.0,14.0,0.0,1.0,6.0,0.0,13.0,12.2,7.5,19.7,143.0,85.0,417.0,0.34,0.24,0.58,0.34,0.58,0.37,0.21,0.58,0.35,0.56,Matches,2020-2021,Manchester City
Kyle Walker,eng ENG,DF,30,42,39,3456.0,38.4,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.3,0.3,0.9,1.2,116.0,188.0,106.0,0.05,0.03,0.08,0.05,0.08,0.01,0.03,0.04,0.01,0.04,Matches,2020-2021,Manchester City
Riyad Mahrez,dz ALG,"FW,MF",29,48,39,3440.0,38.2,14.0,9.0,23.0,13.0,1.0,1.0,0.0,0.0,8.5,7.8,7.0,14.8,131.0,121.0,353.0,0.37,0.24,0.6,0.34,0.58,0.28,0.23,0.51,0.25,0.48,Matches,2020-2021,Manchester City
Phil Foden,eng ENG,"FW,MF",20,50,36,3378.0,37.5,16.0,10.0,26.0,16.0,0.0,0.0,0.0,0.0,8.4,8.4,6.4,14.8,132.0,110.0,334.0,0.43,0.27,0.69,0.43,0.69,0.28,0.21,0.5,0.28,0.5,Matches,2020-2021,Manchester City
İlkay Gündoğan,de GER,MF,29,46,39,3377.0,37.5,17.0,4.0,21.0,16.0,1.0,2.0,3.0,0.0,10.6,9.0,4.7,13.8,95.0,255.0,126.0,0.45,0.11,0.56,0.43,0.53,0.32,0.14,0.46,0.27,0.41,Matches,2020-2021,Manchester City
João Cancelo,pt POR,DF,26,43,39,3323.0,36.9,3.0,5.0,8.0,3.0,0.0,0.0,9.0,1.0,2.2,2.2,5.6,7.8,93.0,254.0,187.0,0.08,0.14,0.22,0.08,0.22,0.07,0.17,0.24,0.07,0.24,Matches,2020-2021,Manchester City
Bernardo Silva,pt POR,"MF,FW",25,45,39,3311.0,36.8,5.0,9.0,14.0,5.0,0.0,0.0,8.0,0.0,4.5,4.5,5.9,10.4,167.0,173.0,246.0,0.14,0.24,0.38,0.14,0.38,0.14,0.18,0.31,0.14,0.31,Matches,2020-2021,Manchester City
Kevin De Bruyne,be BEL,"MF,FW",29,40,36,3034.0,33.7,10.0,18.0,28.0,8.0,2.0,3.0,3.0,0.0,11.5,9.1,10.8,19.9,130.0,264.0,238.0,0.3,0.53,0.83,0.24,0.77,0.39,0.37,0.75,0.31,0.67,Matches,2020-2021,Manchester City
John Stones,eng ENG,DF,26,35,31,2866.0,31.8,5.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,1.9,1.9,0.1,2.0,42.0,128.0,4.0,0.16,0.0,0.16,0.16,0.16,0.06,0.0,0.07,0.06,0.07,Matches,2020-2021,Manchester City
Gabriel Jesus,br BRA,FW,23,42,30,2840.0,31.6,14.0,4.0,18.0,14.0,0.0,0.0,3.0,0.0,10.4,10.4,3.1,13.5,66.0,47.0,246.0,0.44,0.13,0.57,0.44,0.57,0.4,0.12,0.52,0.4,0.52,Matches,2020-2021,Manchester City
Oleksandr Zinchenko,ua UKR,DF,23,32,24,2335.0,25.9,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,62.0,160.0,125.0,0.0,0.08,0.08,0.0,0.08,0.04,0.04,0.09,0.04,0.09,Matches,2020-2021,Manchester City
Aymeric Laporte,es ESP,DF,26,27,24,2251.0,25.0,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.8,0.8,0.4,1.2,28.0,121.0,1.0,0.08,0.0,0.08,0.08,0.08,0.05,0.02,0.07,0.05,0.07,Matches,2020-2021,Manchester City
Fernandinho,br BRA,MF,35,36,22,2180.0,24.2,1.0,4.0,5.0,1.0,0.0,0.0,12.0,0.0,0.7,0.7,1.6,2.3,37.0,149.0,8.0,0.04,0.17,0.21,0.04,0.21,0.04,0.09,0.13,0.04,0.13,Matches,2020-2021,Manchester City
Ferrán Torres,es ESP,FW,20,36,24,2110.0,23.4,13.0,3.0,16.0,13.0,0.0,0.0,1.0,0.0,7.4,7.4,2.7,10.1,34.0,40.0,142.0,0.55,0.13,0.68,0.55,0.68,0.4,0.15,0.54,0.4,0.54,Matches,2020-2021,Manchester City
Benjamin Mendy,fr FRA,DF,26,20,17,1521.0,16.9,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.4,0.4,0.4,0.8,16.0,38.0,86.0,0.12,0.12,0.24,0.12,0.24,0.03,0.03,0.07,0.03,0.07,Matches,2020-2021,Manchester City
Zack Steffen,us USA,GK,25,12,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Manchester City
Nathan Aké,nl NED,DF,25,13,11,994.0,11.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.3,0.3,0.0,0.3,12.0,61.0,13.0,0.09,0.09,0.18,0.09,0.18,0.03,0.0,0.03,0.03,0.03,Matches,2020-2021,Manchester City
Eric García,es ESP,DF,19,12,9,860.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,0.0,0.9,9.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.14,0.13,0.14,Matches,2020-2021,Manchester City
Sergio Agüero,ar ARG,FW,32,20,8,728.0,8.1,6.0,1.0,7.0,4.0,2.0,3.0,0.0,0.0,5.1,2.8,1.2,3.9,13.0,13.0,44.0,0.74,0.12,0.87,0.49,0.62,0.65,0.15,0.8,0.35,0.5,Matches,2020-2021,Manchester City
Taylor Harwood-Bellis,eng ENG,DF,18,4,2,227.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2020-2021,Manchester City
Tommy Doyle,eng ENG,MF,18,4,2,172.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Manchester City
Liam Delap,eng ENG,FW,17,3,1,146.0,1.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.62,0.0,0.62,0.62,0.62,0.1,0.0,0.1,0.1,0.1,Matches,2020-2021,Manchester City
Cole Palmer,eng ENG,FW,18,2,1,99.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Manchester City
Scott Carson,eng ENG,GK,34,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Manchester City
Felix Nmecha,de GER,MF,19,2,0,51.0,0.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.76,1.76,0.0,1.76,0.0,0.49,0.49,0.0,0.49,Matches,2020-2021,Manchester City
Adrian Bernabe,es ESP,MF,19,1,1,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2020-2021,Manchester City
Claudio Gomes,fr FRA,MF,20,1,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2020-2021,Manchester City
James Trafford,eng ENG,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2020-2021,Manchester City
Nicolás Otamendi,ar ARG,DF,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2020-2021,Manchester City
Luke Mbete-Tatu,eng ENG,DF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2020-2021,Manchester City
