Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Nemanja Matić,rs SRB,MF,28,49,46,4156.0,46.2,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,0.8,0.8,2.2,2.9,84.0,283.0,27.0,0.04,0.04,0.09,0.04,0.09,0.02,0.05,0.07,0.02,0.07,Matches,2017-2018,Manchester Utd
David de Gea,es ESP,GK,26,46,46,4140.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Manchester Utd
Romelu Lukaku,be BEL,FW,24,51,45,4073.0,45.3,27.0,9.0,36.0,27.0,0.0,1.0,4.0,0.0,19.2,18.4,6.4,24.8,78.0,83.0,285.0,0.6,0.2,0.8,0.6,0.8,0.48,0.16,0.64,0.46,0.62,Matches,2017-2018,Manchester Utd
Chris Smalling,eng ENG,DF,27,46,44,3977.0,44.2,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,2.7,2.6,0.2,2.8,5.0,57.0,9.0,0.09,0.0,0.09,0.09,0.09,0.07,0.01,0.08,0.07,0.08,Matches,2017-2018,Manchester Utd
Antonio Valencia,ec ECU,DF,31,39,39,3418.0,38.0,3.0,1.0,4.0,3.0,0.0,0.0,10.0,0.0,0.6,0.6,1.3,1.8,114.0,94.0,162.0,0.08,0.03,0.11,0.08,0.11,0.02,0.04,0.05,0.02,0.05,Matches,2017-2018,Manchester Utd
Ashley Young,eng ENG,DF,32,38,35,3094.0,34.4,2.0,6.0,8.0,2.0,0.0,0.0,9.0,0.0,0.8,0.8,4.1,5.0,102.0,119.0,134.0,0.06,0.17,0.23,0.06,0.23,0.03,0.13,0.16,0.03,0.16,Matches,2017-2018,Manchester Utd
Paul Pogba,fr FRA,MF,24,37,33,2876.0,32.0,6.0,12.0,18.0,6.0,0.0,0.0,6.0,1.0,7.8,7.8,5.6,13.4,108.0,288.0,102.0,0.19,0.38,0.56,0.19,0.56,0.29,0.21,0.5,0.29,0.5,Matches,2017-2018,Manchester Utd
Marcus Rashford,eng ENG,"FW,MF",19,52,26,2683.0,29.8,13.0,8.0,21.0,13.0,0.0,0.0,7.0,0.0,7.1,7.1,4.7,11.8,112.0,52.0,209.0,0.44,0.27,0.7,0.44,0.7,0.3,0.2,0.49,0.3,0.49,Matches,2017-2018,Manchester Utd
Juan Mata,es ESP,"FW,MF",29,40,33,2666.0,29.6,3.0,7.0,10.0,3.0,0.0,0.0,1.0,0.0,3.9,3.9,6.0,9.9,52.0,125.0,198.0,0.1,0.24,0.34,0.1,0.34,0.15,0.23,0.38,0.15,0.38,Matches,2017-2018,Manchester Utd
Jesse Lingard,eng ENG,"MF,FW",24,48,30,2647.0,29.4,13.0,6.0,19.0,13.0,0.0,0.0,5.0,0.0,7.9,7.9,3.0,10.9,89.0,86.0,162.0,0.44,0.2,0.65,0.44,0.65,0.34,0.13,0.48,0.34,0.48,Matches,2017-2018,Manchester Utd
Victor Lindelöf,se SWE,DF,23,29,25,2365.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,18.0,63.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,2017-2018,Manchester Utd
Anthony Martial,fr FRA,"FW,MF",21,45,26,2339.0,26.0,11.0,9.0,20.0,9.0,2.0,3.0,1.0,0.0,9.7,7.4,7.5,14.9,135.0,61.0,221.0,0.42,0.35,0.77,0.35,0.69,0.45,0.35,0.81,0.34,0.69,Matches,2017-2018,Manchester Utd
Ander Herrera,es ESP,MF,27,39,25,2215.0,24.6,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,0.5,0.5,2.4,2.9,13.0,105.0,29.0,0.08,0.08,0.16,0.08,0.16,0.03,0.13,0.16,0.03,0.16,Matches,2017-2018,Manchester Utd
Phil Jones,eng ENG,"DF,MF",25,25,25,2149.0,23.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.1,0.5,13.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,Matches,2017-2018,Manchester Utd
Alexis Sánchez,cl CHI,"FW,MF",28,18,18,1532.0,17.0,3.0,5.0,8.0,3.0,0.0,1.0,2.0,0.0,2.8,1.9,3.1,5.0,36.0,83.0,111.0,0.18,0.29,0.47,0.18,0.47,0.21,0.23,0.44,0.14,0.38,Matches,2017-2018,Manchester Utd
Henrikh Mkhitaryan,am ARM,MF,28,22,16,1363.0,15.1,2.0,5.0,7.0,2.0,0.0,0.0,2.0,0.0,2.9,2.9,3.5,6.4,55.0,81.0,91.0,0.13,0.33,0.46,0.13,0.46,0.22,0.26,0.48,0.22,0.48,Matches,2017-2018,Manchester Utd
Eric Bailly,ci CIV,DF,23,18,15,1362.0,15.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,0.2,1.3,3.0,29.0,0.0,0.07,0.0,0.07,0.07,0.07,0.08,0.01,0.09,0.08,0.09,Matches,2017-2018,Manchester Utd
Luke Shaw,eng ENG,DF,22,19,14,1334.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.4,0.9,38.0,53.0,40.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,Matches,2017-2018,Manchester Utd
Scott McTominay,sct SCO,MF,20,23,14,1314.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.1,0.2,12.0,59.0,9.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,2017-2018,Manchester Utd
Daley Blind,nl NED,DF,27,17,14,1232.0,13.7,1.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.2,1.2,1.3,17.0,50.0,35.0,0.07,0.15,0.22,0.0,0.15,0.1,0.12,0.21,0.02,0.13,Matches,2017-2018,Manchester Utd
Matteo Darmian,it ITA,DF,27,17,12,1107.0,12.3,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.5,10.0,27.0,19.0,0.0,0.16,0.16,0.0,0.16,0.06,0.01,0.07,0.06,0.07,Matches,2017-2018,Manchester Utd
Marcos Rojo,ar ARG,DF,27,12,11,910.0,10.1,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.2,0.2,0.1,0.2,3.0,16.0,1.0,0.0,0.1,0.1,0.0,0.1,0.02,0.01,0.03,0.02,0.03,Matches,2017-2018,Manchester Utd
Marouane Fellaini,be BEL,MF,29,23,7,891.0,9.9,5.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,4.2,4.2,0.3,4.5,7.0,26.0,24.0,0.51,0.0,0.51,0.51,0.51,0.45,0.03,0.48,0.45,0.48,Matches,2017-2018,Manchester Utd
Sergio Romero,ar ARG,GK,30,10,10,887.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Manchester Utd
Michael Carrick,eng ENG,MF,36,5,4,379.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.6,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.43,0.05,0.48,0.43,0.48,Matches,2017-2018,Manchester Utd
Zlatan Ibrahimović,se SWE,FW,35,7,2,190.0,2.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,6.0,9.0,15.0,0.47,0.0,0.47,0.47,0.47,0.21,0.07,0.27,0.21,0.27,Matches,2017-2018,Manchester Utd
