Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
David de Gea,es ESP,GK,27,47,47,4230,47.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Manchester Utd
Paul Pogba,fr FRA,MF,25,47,45,4004,44.5,16,11,27,8,8,11,7,1,16.8,8.1,6.6,14.6,123.0,351.0,241.0,0.36,0.25,0.61,0.18,0.43,0.4,0.16,0.56,0.19,0.35,Matches,2018-2019,Manchester Utd
Luke Shaw,eng ENG,DF,23,40,40,3581,39.8,1,5,6,1,0,0,14,0,1.6,1.5,4.2,5.8,110.0,202.0,148.0,0.03,0.13,0.15,0.03,0.15,0.04,0.12,0.16,0.04,0.16,Matches,2018-2019,Manchester Utd
Ashley Young,eng ENG,DF,33,41,38,3540,39.3,2,3,5,2,0,0,14,2,0.5,0.5,3.7,4.2,104.0,177.0,156.0,0.05,0.08,0.13,0.05,0.13,0.02,0.1,0.12,0.02,0.12,Matches,2018-2019,Manchester Utd
Victor Lindelöf,se SWE,DF,24,40,39,3501,38.9,1,1,2,1,0,0,3,0,0.8,0.8,1.2,2.0,16.0,94.0,2.0,0.03,0.03,0.05,0.03,0.05,0.02,0.03,0.06,0.02,0.06,Matches,2018-2019,Manchester Utd
Nemanja Matić,rs SRB,MF,29,38,38,3361,37.3,1,0,1,1,0,0,13,2,1.3,1.3,0.7,1.9,55.0,204.0,17.0,0.03,0.0,0.03,0.03,0.03,0.04,0.02,0.06,0.04,0.06,Matches,2018-2019,Manchester Utd
Marcus Rashford,eng ENG,FW,20,47,36,3281,36.5,13,8,21,12,1,1,6,1,13.7,12.9,5.4,18.3,97.0,82.0,284.0,0.36,0.22,0.58,0.33,0.55,0.4,0.16,0.56,0.38,0.54,Matches,2018-2019,Manchester Utd
Romelu Lukaku,be BEL,FW,25,45,32,3036,33.7,15,3,18,15,0,0,5,0,12.3,12.3,2.5,14.8,51.0,68.0,243.0,0.44,0.09,0.53,0.44,0.53,0.41,0.08,0.5,0.41,0.5,Matches,2018-2019,Manchester Utd
Chris Smalling,eng ENG,DF,28,34,34,3027,33.6,1,0,1,1,0,0,2,0,1.4,1.4,0.2,1.6,4.0,50.0,7.0,0.03,0.0,0.03,0.03,0.03,0.04,0.01,0.05,0.04,0.05,Matches,2018-2019,Manchester Utd
