Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
William Saliba,fr FRA,DF,20,52,52,4674.0,51.9,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.4,2.4,0.6,3.0,57.0,281.0,16.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches,2021-2022,Marseille
Mattéo Guendouzi,fr FRA,MF,22,56,52,4656.0,51.7,5.0,11.0,16.0,5.0,0.0,0.0,9.0,0.0,5.0,5.0,5.3,10.3,134.0,388.0,240.0,0.1,0.21,0.31,0.1,0.31,0.1,0.11,0.22,0.1,0.22,Matches,2021-2022,Marseille
Luan Peres Petroni,br BRA,DF,27,50,44,4036.0,44.8,0.0,3.0,3.0,0.0,0.0,0.0,9.0,0.0,0.2,0.2,1.8,2.1,69.0,160.0,69.0,0.0,0.07,0.07,0.0,0.07,0.01,0.04,0.05,0.01,0.05,Matches,2021-2022,Marseille
Boubacar Kamara,fr FRA,"MF,DF",21,48,42,3791.0,42.1,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,1.3,1.3,3.2,4.4,32.0,251.0,62.0,0.02,0.0,0.02,0.02,0.02,0.03,0.08,0.11,0.03,0.11,Matches,2021-2022,Marseille
Dimitri Payet,fr FRA,"FW,MF",34,46,41,3725.0,41.4,16.0,13.0,29.0,9.0,7.0,7.0,8.0,0.0,13.9,8.4,14.1,22.5,103.0,253.0,274.0,0.39,0.31,0.7,0.22,0.53,0.37,0.38,0.75,0.22,0.6,Matches,2021-2022,Marseille
Gerson,br BRA,"MF,FW",24,48,39,3482.0,38.7,11.0,7.0,18.0,11.0,0.0,0.0,7.0,1.0,7.3,7.3,4.1,11.5,88.0,130.0,230.0,0.28,0.18,0.47,0.28,0.47,0.2,0.11,0.31,0.2,0.31,Matches,2021-2022,Marseille
Cengiz Ünder,tr TUR,"FW,MF",24,47,37,3314.0,36.8,13.0,5.0,18.0,11.0,2.0,2.0,4.0,1.0,9.2,7.6,8.3,16.0,97.0,110.0,442.0,0.35,0.14,0.49,0.3,0.43,0.27,0.25,0.52,0.23,0.47,Matches,2021-2022,Marseille
Valentin Rongier,fr FRA,"MF,DF",26,46,37,3302.0,36.7,1.0,2.0,3.0,1.0,0.0,0.0,8.0,1.0,3.1,3.1,2.5,5.6,74.0,285.0,100.0,0.03,0.05,0.08,0.03,0.08,0.09,0.07,0.16,0.09,0.16,Matches,2021-2022,Marseille
Pau López,es ESP,GK,26,36,36,3240.0,36.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.7,0.7,0.0,1.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.02,0.02,0.0,0.02,Matches,2021-2022,Marseille
