Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Gianluigi Donnarumma,it ITA,GK,18,50,50,4530.0,50.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Milan
Franck Kessié,ci CIV,MF,20,51,49,4327.0,48.1,5.0,3.0,8.0,2.0,3.0,4.0,11.0,0.0,7.9,4.7,4.5,9.2,108.0,239.0,234.0,0.1,0.06,0.17,0.04,0.1,0.18,0.11,0.29,0.11,0.22,Matches,2017-2018,Milan
Leonardo Bonucci,it ITA,DF,30,49,48,4321.0,48.0,2.0,2.0,4.0,2.0,0.0,0.0,6.0,1.0,3.1,3.1,1.9,5.0,33.0,228.0,17.0,0.04,0.04,0.08,0.04,0.08,0.07,0.05,0.12,0.07,0.12,Matches,2017-2018,Milan
Ricardo Rodríguez,ch SUI,DF,24,45,44,3969.0,44.1,3.0,2.0,5.0,1.0,2.0,3.0,5.0,1.0,3.7,1.4,2.9,4.3,102.0,230.0,182.0,0.07,0.05,0.11,0.02,0.07,0.09,0.07,0.17,0.03,0.11,Matches,2017-2018,Milan
Suso,es ESP,"FW,MF",23,47,42,3705.0,41.2,8.0,8.0,16.0,8.0,0.0,0.0,3.0,1.0,5.4,5.4,8.1,13.5,143.0,255.0,414.0,0.19,0.19,0.39,0.19,0.39,0.15,0.22,0.37,0.15,0.37,Matches,2017-2018,Milan
Alessio Romagnoli,it ITA,DF,22,41,40,3551.0,39.5,3.0,0.0,3.0,3.0,0.0,0.0,11.0,1.0,1.3,1.3,0.4,1.7,24.0,112.0,7.0,0.08,0.0,0.08,0.08,0.08,0.04,0.01,0.05,0.04,0.05,Matches,2017-2018,Milan
Giacomo Bonaventura,it ITA,MF,27,44,38,3344.0,37.2,8.0,2.0,10.0,8.0,0.0,0.0,3.0,0.0,4.6,4.6,3.7,8.3,108.0,184.0,215.0,0.22,0.05,0.27,0.22,0.27,0.14,0.12,0.26,0.14,0.26,Matches,2017-2018,Milan
Hakan Çalhanoğlu,tr TUR,"FW,MF",23,43,35,3077.0,34.2,8.0,10.0,18.0,8.0,0.0,0.0,7.0,1.0,5.7,5.7,10.2,15.8,85.0,164.0,289.0,0.23,0.29,0.53,0.23,0.53,0.18,0.33,0.51,0.18,0.51,Matches,2017-2018,Milan
Lucas Biglia,ar ARG,MF,31,37,32,2844.0,31.6,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.9,0.9,1.0,1.9,21.0,214.0,27.0,0.03,0.0,0.03,0.03,0.03,0.03,0.04,0.07,0.03,0.07,Matches,2017-2018,Milan
Patrick Cutrone,it ITA,FW,19,42,29,2451.0,27.2,16.0,2.0,18.0,16.0,0.0,0.0,4.0,0.0,13.3,13.3,1.5,14.9,36.0,23.0,222.0,0.59,0.07,0.66,0.59,0.66,0.55,0.06,0.62,0.55,0.62,Matches,2017-2018,Milan
Davide Calabria,it ITA,DF,20,29,25,2281.0,25.3,1.0,3.0,4.0,1.0,0.0,0.0,4.0,1.0,0.8,0.8,2.7,3.5,43.0,117.0,151.0,0.04,0.12,0.16,0.04,0.16,0.04,0.13,0.16,0.04,0.16,Matches,2017-2018,Milan
Fabio Borini,it ITA,"DF,FW",26,41,25,2235.0,24.8,4.0,6.0,10.0,4.0,0.0,0.0,7.0,0.0,3.0,3.0,3.1,6.2,67.0,89.0,219.0,0.16,0.24,0.4,0.16,0.4,0.13,0.13,0.27,0.13,0.27,Matches,2017-2018,Milan
Nikola Kalinić,hr CRO,FW,29,41,23,2232.0,24.8,6.0,4.0,10.0,6.0,0.0,0.0,3.0,0.0,9.0,9.0,2.9,11.9,20.0,32.0,134.0,0.24,0.16,0.4,0.24,0.4,0.4,0.13,0.54,0.4,0.54,Matches,2017-2018,Milan
André Silva,pt POR,FW,21,36,16,1760.0,19.6,8.0,2.0,10.0,8.0,0.0,0.0,1.0,0.0,6.7,6.7,1.5,8.2,51.0,51.0,185.0,0.41,0.1,0.51,0.41,0.51,0.36,0.08,0.45,0.36,0.45,Matches,2017-2018,Milan
Mateo Musacchio,ar ARG,DF,26,20,16,1578.0,17.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.1,1.1,0.9,1.9,18.0,129.0,8.0,0.06,0.06,0.11,0.06,0.11,0.06,0.05,0.11,0.06,0.11,Matches,2017-2018,Milan
Ignazio Abate,it ITA,DF,30,24,17,1545.0,17.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.2,0.2,0.7,0.9,22.0,97.0,75.0,0.06,0.0,0.06,0.06,0.06,0.01,0.04,0.06,0.01,0.06,Matches,2017-2018,Milan
Riccardo Montolivo,it ITA,MF,32,24,16,1458.0,16.2,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.7,0.7,0.6,1.3,22.0,100.0,27.0,0.06,0.06,0.12,0.06,0.12,0.05,0.04,0.09,0.05,0.09,Matches,2017-2018,Milan
Cristián Zapata,co COL,DF,30,16,15,1354.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.8,1.1,28.0,87.0,6.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.08,0.02,0.08,Matches,2017-2018,Milan
Manuel Locatelli,it ITA,MF,19,31,13,1345.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.5,0.5,0.6,1.1,26.0,85.0,26.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09,Matches,2017-2018,Milan
