Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Theo Hernández,fr FRA,DF,25,46,45,4051.0,45.0,5.0,11.0,16.0,4.0,1.0,2.0,13.0,1.0,5.9,4.3,7.0,11.3,152.0,223.0,164.0,0.11,0.24,0.36,0.09,0.33,0.14,0.16,0.3,0.1,0.26,Matches,2023-2024,Milan
Tijjani Reijnders,nl NED,MF,25,50,44,3861.0,42.9,4.0,3.0,7.0,4.0,0.0,0.0,9.0,0.0,3.9,3.9,4.2,8.1,111.0,250.0,113.0,0.09,0.07,0.16,0.09,0.16,0.09,0.1,0.2,0.09,0.2,Matches,2023-2024,Milan
Mike Maignan,fr FRA,GK,28,42,42,3699.0,41.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.3,0.3,0.0,1.0,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.01,0.01,0.0,0.01,Matches,2023-2024,Milan
Christian Pulisic,us USA,FW,24,50,44,3589.0,39.9,15.0,10.0,25.0,15.0,0.0,0.0,3.0,0.0,11.1,11.1,5.7,16.8,165.0,115.0,398.0,0.38,0.25,0.63,0.38,0.63,0.29,0.15,0.43,0.29,0.43,Matches,2023-2024,Milan
Rafael Leão,pt POR,FW,24,47,41,3532.0,39.2,15.0,13.0,28.0,15.0,0.0,0.0,8.0,0.0,14.0,14.0,11.9,25.9,206.0,140.0,388.0,0.38,0.33,0.71,0.38,0.71,0.37,0.31,0.68,0.37,0.68,Matches,2023-2024,Milan
Olivier Giroud,fr FRA,FW,36,47,39,3331.0,37.0,17.0,10.0,27.0,13.0,4.0,6.0,2.0,1.0,18.5,13.8,5.8,19.5,13.0,37.0,129.0,0.46,0.27,0.73,0.35,0.62,0.5,0.16,0.66,0.37,0.53,Matches,2023-2024,Milan
Davide Calabria,it ITA,DF,26,41,36,2958.0,32.9,1.0,4.0,5.0,1.0,0.0,0.0,8.0,2.0,1.5,1.5,2.2,3.7,35.0,176.0,87.0,0.03,0.12,0.15,0.03,0.15,0.05,0.07,0.12,0.05,0.12,Matches,2023-2024,Milan
Ruben Loftus-Cheek,eng ENG,MF,27,40,36,2842.0,31.6,10.0,1.0,11.0,10.0,0.0,0.0,6.0,0.0,6.2,6.2,3.6,9.8,100.0,104.0,145.0,0.32,0.03,0.35,0.32,0.35,0.2,0.12,0.32,0.2,0.32,Matches,2023-2024,Milan
Fikayo Tomori,eng ENG,DF,25,35,32,2840.0,31.6,4.0,0.0,4.0,4.0,0.0,0.0,12.0,1.0,4.3,4.3,0.2,4.6,20.0,92.0,4.0,0.13,0.0,0.13,0.13,0.13,0.14,0.01,0.14,0.14,0.14,Matches,2023-2024,Milan
