Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Aurélien Tchouaméni,fr FRA,MF,20,42,40,3416,38.0,3,4,7,3,0,0,9,1,4.1,4.1,1.9,6.1,42.0,197.0,52.0,0.08,0.11,0.18,0.08,0.18,0.12,0.06,0.18,0.12,0.18,Matches,2020-2021,Monaco
Youssouf Fofana,fr FRA,MF,21,40,39,3244,36.0,0,3,3,0,0,0,10,1,1.5,1.5,2.4,3.9,57.0,187.0,36.0,0.0,0.08,0.08,0.0,0.08,0.05,0.07,0.12,0.05,0.12,Matches,2020-2021,Monaco
Kevin Volland,de GER,"FW,MF",28,40,39,3203,35.6,18,7,25,18,0,0,5,0,11.6,11.6,5.2,16.8,43.0,84.0,237.0,0.51,0.2,0.7,0.51,0.7,0.38,0.17,0.55,0.38,0.55,Matches,2020-2021,Monaco
Benoît Badiashile,fr FRA,DF,19,39,34,3067,34.1,2,1,3,2,0,0,5,0,2.3,2.3,1.2,3.5,17.0,170.0,6.0,0.06,0.03,0.09,0.06,0.09,0.07,0.04,0.11,0.07,0.11,Matches,2020-2021,Monaco
Wissam Ben Yedder,fr FRA,FW,29,41,36,2937,32.6,22,8,30,11,11,13,3,0,19.6,10.2,6.7,16.9,61.0,109.0,226.0,0.67,0.25,0.92,0.34,0.58,0.68,0.23,0.91,0.35,0.58,Matches,2020-2021,Monaco
Caio Henrique Oliveira Silva,br BRA,DF,23,36,28,2623,29.1,0,4,4,0,0,0,0,0,0.5,0.5,3.5,4.0,85.0,96.0,185.0,0.0,0.14,0.14,0.0,0.14,0.02,0.13,0.15,0.02,0.15,Matches,2020-2021,Monaco
Ruben Aguilar,fr FRA,"DF,MF",27,38,31,2560,28.4,2,3,5,2,0,0,6,0,0.9,0.9,4.7,5.6,74.0,101.0,231.0,0.07,0.11,0.18,0.07,0.18,0.03,0.19,0.23,0.03,0.23,Matches,2020-2021,Monaco
Benjamin Lecomte,fr FRA,GK,29,28,28,2520,28.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Monaco
Axel Disasi,fr FRA,DF,22,35,29,2519,28.0,3,0,3,3,0,0,4,2,2.4,2.4,0.4,2.8,19.0,87.0,4.0,0.11,0.0,0.11,0.11,0.11,0.11,0.02,0.13,0.11,0.13,Matches,2020-2021,Monaco
