Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Axel Disasi,fr FRA,DF,24,47,46,4170.0,46.3,5.0,4.0,9.0,5.0,0.0,1.0,3.0,0.0,4.2,3.5,1.5,4.9,77.0,263.0,25.0,0.11,0.09,0.19,0.11,0.19,0.09,0.03,0.13,0.08,0.11,Matches,2022-2023,Monaco
Alexander Nübel,de GER,GK,25,46,46,4170.0,46.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Monaco
Youssouf Fofana,fr FRA,MF,23,45,43,3824.0,42.5,2.0,2.0,4.0,2.0,0.0,0.0,6.0,2.0,4.3,4.3,5.2,9.5,107.0,305.0,97.0,0.05,0.05,0.09,0.05,0.09,0.1,0.12,0.23,0.1,0.23,Matches,2022-2023,Monaco
Caio Henrique Oliveira Silva,br BRA,DF,25,44,40,3646.0,40.5,1.0,10.0,11.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,5.7,6.6,92.0,250.0,196.0,0.02,0.25,0.27,0.02,0.27,0.02,0.14,0.17,0.02,0.17,Matches,2022-2023,Monaco
Aleksandr Golovin,ru RUS,"MF,FW",26,43,37,3100.0,34.4,8.0,7.0,15.0,8.0,0.0,0.0,6.0,0.0,6.0,6.0,6.5,12.4,106.0,161.0,270.0,0.23,0.2,0.44,0.23,0.44,0.18,0.19,0.36,0.18,0.36,Matches,2022-2023,Monaco
Mohamed Camara,ml MLI,MF,22,37,33,2841.0,31.6,0.0,3.0,3.0,0.0,0.0,0.0,8.0,1.0,1.5,1.5,2.4,3.9,33.0,174.0,29.0,0.0,0.1,0.1,0.0,0.1,0.05,0.08,0.12,0.05,0.12,Matches,2022-2023,Monaco
Wissam Ben Yedder,fr FRA,FW,31,41,36,2726.0,30.3,24.0,6.0,30.0,17.0,7.0,8.0,4.0,0.0,20.8,14.5,4.9,19.4,56.0,92.0,236.0,0.79,0.2,0.99,0.56,0.76,0.71,0.17,0.88,0.49,0.66,Matches,2022-2023,Monaco
Krépin Diatta,sn SEN,"MF,FW",23,40,28,2653.0,29.5,5.0,4.0,9.0,5.0,0.0,0.0,5.0,0.0,5.8,5.8,4.6,10.4,95.0,113.0,303.0,0.17,0.14,0.31,0.17,0.31,0.2,0.16,0.36,0.2,0.36,Matches,2022-2023,Monaco
Vanderson,br BRA,"DF,MF",21,37,29,2559.0,28.4,1.0,4.0,5.0,1.0,0.0,0.0,5.0,1.0,2.5,2.5,3.8,6.3,61.0,128.0,203.0,0.04,0.14,0.18,0.04,0.18,0.09,0.13,0.22,0.09,0.22,Matches,2022-2023,Monaco
