Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Daniel Congré,fr FRA,DF,35,43,42,3686.0,41.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.3,1.3,0.2,1.5,26.0,101.0,4.0,0.05,0.0,0.05,0.05,0.05,0.03,0.01,0.04,0.03,0.04,Matches,2020-2021,Montpellier
Gaëtan Laborde,fr FRA,"FW,MF",26,43,41,3583.0,39.8,18.0,9.0,27.0,18.0,0.0,0.0,3.0,0.0,11.4,11.2,4.6,15.8,81.0,70.0,238.0,0.45,0.23,0.68,0.45,0.68,0.31,0.13,0.44,0.31,0.44,Matches,2020-2021,Montpellier
Jordan Ferri,fr FRA,MF,28,38,35,2850.0,31.7,1.0,5.0,6.0,1.0,0.0,0.0,7.0,0.0,0.1,0.1,1.7,1.9,36.0,192.0,41.0,0.03,0.16,0.19,0.03,0.19,0.0,0.06,0.06,0.0,0.06,Matches,2020-2021,Montpellier
Andy Delort,dz ALG,FW,28,34,34,2839.0,31.5,19.0,9.0,28.0,18.0,1.0,2.0,4.0,0.0,12.8,12.0,6.4,18.3,49.0,69.0,210.0,0.6,0.29,0.89,0.57,0.86,0.46,0.23,0.69,0.43,0.66,Matches,2020-2021,Montpellier
Junior Sambia,fr FRA,"DF,MF",23,40,28,2703.0,30.0,1.0,6.0,7.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,2.8,3.9,62.0,118.0,122.0,0.03,0.2,0.23,0.03,0.23,0.04,0.1,0.14,0.04,0.14,Matches,2020-2021,Montpellier
Jonas Omlin,ch SUI,GK,26,31,31,2673.0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Montpellier
Florent Mollet,fr FRA,MF,28,38,34,2613.0,29.0,4.0,5.0,9.0,4.0,0.0,0.0,6.0,2.0,4.2,4.2,3.4,7.6,48.0,143.0,127.0,0.14,0.17,0.31,0.14,0.31,0.16,0.13,0.29,0.16,0.29,Matches,2020-2021,Montpellier
Mihailo Ristić,rs SRB,DF,24,38,28,2515.0,27.9,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.7,0.7,1.7,2.4,65.0,83.0,113.0,0.0,0.07,0.07,0.0,0.07,0.03,0.07,0.1,0.03,0.1,Matches,2020-2021,Montpellier
Vitorino Hilton,br BRA,DF,42,34,28,2445.0,27.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,1.2,1.2,0.3,1.5,3.0,60.0,4.0,0.0,0.04,0.04,0.0,0.04,0.05,0.01,0.06,0.05,0.06,Matches,2020-2021,Montpellier
Téji Savanier,fr FRA,MF,28,31,28,2424.0,26.9,5.0,7.0,12.0,3.0,2.0,4.0,7.0,1.0,5.9,2.8,6.8,9.6,46.0,171.0,76.0,0.19,0.26,0.45,0.11,0.37,0.25,0.28,0.53,0.12,0.4,Matches,2020-2021,Montpellier
Stephy Mavididi,eng ENG,"FW,MF",22,40,26,2341.0,26.0,9.0,0.0,9.0,9.0,0.0,0.0,3.0,0.0,5.6,5.6,1.2,6.8,78.0,23.0,141.0,0.35,0.0,0.35,0.35,0.35,0.25,0.05,0.3,0.25,0.3,Matches,2020-2021,Montpellier
Pedro Mendes,pt POR,DF,29,24,21,1806.0,20.1,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,1.3,1.3,0.6,1.9,8.0,48.0,1.0,0.1,0.0,0.1,0.1,0.1,0.07,0.03,0.1,0.07,0.1,Matches,2020-2021,Montpellier
Nicolas Cozza,fr FRA,DF,21,23,18,1639.0,18.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.4,0.7,25.0,42.0,27.0,0.0,0.05,0.05,0.0,0.05,0.02,0.03,0.05,0.02,0.05,Matches,2020-2021,Montpellier
Arnaud Souquet,fr FRA,DF,28,27,18,1523.0,16.9,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.2,0.2,0.5,0.7,34.0,53.0,62.0,0.06,0.06,0.12,0.06,0.12,0.02,0.04,0.05,0.02,0.05,Matches,2020-2021,Montpellier
Damien Le Tallec,fr FRA,"MF,DF",30,27,15,1485.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.5,1.5,0.6,2.1,8.0,46.0,8.0,0.0,0.0,0.0,0.0,0.0,0.11,0.04,0.15,0.11,0.15,Matches,2020-2021,Montpellier
Joris Chotard,fr FRA,MF,18,33,13,1353.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.7,1.2,5.0,31.0,21.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09,Matches,2020-2021,Montpellier
Dimitry Bertaud,cd COD,GK,22,14,12,1225.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Montpellier
Elye Wahi,fr FRA,FW,17,22,5,768.0,8.5,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,2.5,2.5,0.4,2.8,16.0,6.0,44.0,0.35,0.12,0.47,0.35,0.47,0.4,0.06,0.46,0.4,0.46,Matches,2020-2021,Montpellier
Ambroise Oyongo,cm CMR,DF,29,13,5,558.0,6.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.2,0.5,6.0,29.0,15.0,0.16,0.16,0.32,0.16,0.32,0.05,0.04,0.08,0.05,0.08,Matches,2020-2021,Montpellier
Keagan Dolly,za RSA,MF,27,21,4,549.0,6.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.3,0.4,11.0,19.0,19.0,0.0,0.16,0.16,0.0,0.16,0.03,0.05,0.08,0.03,0.08,Matches,2020-2021,Montpellier
Yun Il-lok,kr KOR,"MF,FW",28,13,4,374.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.5,1.1,8.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.16,0.15,0.31,0.16,0.31,Matches,2020-2021,Montpellier
Petar Škuletić,rs SRB,"FW,MF",30,23,2,358.0,4.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.4,1.4,0.7,2.1,3.0,3.0,19.0,0.75,0.0,0.75,0.75,0.75,0.54,0.28,0.82,0.54,0.82,Matches,2020-2021,Montpellier
Clément Vidal,fr FRA,DF,20,2,1,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Montpellier
Samy Benchamma,fr FRA,"DF,MF",20,5,0,42.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Montpellier
Sacha Delaye,fr FRA,MF,18,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Montpellier
Adil Ben Achour,fr FRA,FW,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2020-2021,Montpellier
Maxime Estève,fr FRA,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2020-2021,Montpellier
Oucasse Mendy,fr FRA,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2020-2021,Montpellier
Thibaut Vargas,fr FRA,"DF,MF",20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2020-2021,Montpellier
Matis Carvalho,pt POR,GK,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2020-2021,Montpellier
Yanis Ammour,fr FRA,FW,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2020-2021,Montpellier
