Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Giuseppe Bellusci,it ITA,DF,29.0,3,3,270.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.33,0.0,0.33,0.33,0.33,Matches,2019-2020,Monza
Mattia Finotto,it ITA,FW,26.0,3,3,270.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.67,0.67,Matches,2019-2020,Monza
Simone Iocolano,it ITA,MF,29.0,3,3,270.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.67,0.0,0.67,0.67,0.67,Matches,2019-2020,Monza
Eugenio Lamanna,it ITA,GK,29.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Monza
Franco Lepore,it ITA,"DF,MF",33.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Monza
Filippo Scaglia,it ITA,DF,27.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Monza
Andrea Brighenti,it ITA,FW,31.0,3,3,265.0,2.9,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.68,0.0,0.68,0.68,0.68,Matches,2019-2020,Monza
Marco Armellino,it ITA,MF,29.0,3,3,216.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Monza
Cosimo Chiricò,it ITA,FW,27.0,3,3,213.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Monza
Mario Sampirisi,it ITA,"DF,MF",26.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Monza
Marco Fossati,it ITA,MF,26.0,2,2,151.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Monza
Nicola Rigoni,it ITA,MF,28.0,2,1,125.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Monza
Armando Anastasio,it ITA,DF,23.0,2,1,119.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Monza
Andrea D'Errico,it ITA,MF,27.0,2,0,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Monza
Andrea Palazzi,it ITA,MF,23.0,1,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Monza
Ettore Marchi,it ITA,FW,33.0,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Monza
Federico Del Frate,it ITA,GK,23.0,0,0,,,,,,,,,,,,,,,,Matches,2019-2020,Monza
Alessandro Di Munno,it ITA,MF,18.0,0,0,,,,,,,,,,,,,,,,Matches,2019-2020,Monza
Michele Franco,it ITA,DF,34.0,0,0,,,,,,,,,,,,,,,,Matches,2019-2020,Monza
Giorgio Galli,it ITA,MF,22.0,0,0,,,,,,,,,,,,,,,,Matches,2019-2020,Monza
Filippo Lora,it ITA,MF,25.0,0,0,,,,,,,,,,,,,,,,Matches,2019-2020,Monza
Ivan Marconi,it ITA,DF,29.0,0,0,,,,,,,,,,,,,,,,Matches,2019-2020,Monza
Nicola Mosti,it ITA,MF,21.0,0,0,,,,,,,,,,,,,,,,Matches,2019-2020,Monza
Stefano Negro,it ITA,DF,24.0,0,0,,,,,,,,,,,,,,,,Matches,2019-2020,Monza
Daniele Sommariva,it ITA,GK,22.0,0,0,,,,,,,,,,,,,,,,Matches,2019-2020,Monza
Squad Total,,,29.0,3,33,270.0,3.0,7.0,0.0,7.0,7.0,0.0,0.0,9.0,0.0,2.33,0.0,2.33,2.33,2.33,,2019-2020,Monza
Opponent Total,,,25.9,3,33,270.0,3.0,6.0,0.0,6.0,5.0,1.0,1.0,7.0,0.0,2.0,0.0,2.0,1.67,1.67,,2019-2020,Monza
