Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Giuseppe Bellusci,it ITA,DF,30,32,30,2619.0,29.1,0.0,2.0,2.0,0.0,0.0,0.0,15.0,2.0,1.1,1.1,1.6,2.7,41.0,170.0,15.0,0.0,0.07,0.07,0.0,0.07,0.04,0.06,0.1,0.04,0.1,Matches,2020-2021,Monza
Michele Di Gregorio,it ITA,GK,23,29,29,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Monza
Dany Mota,pt POR,FW,22,34,29,2587.0,28.7,7.0,3.0,10.0,7.0,0.0,0.0,2.0,0.0,8.3,8.3,4.5,12.8,125.0,78.0,274.0,0.24,0.1,0.35,0.24,0.35,0.3,0.16,0.46,0.3,0.46,Matches,2020-2021,Monza
Davide Frattesi,it ITA,MF,20,39,29,2580.0,28.7,8.0,2.0,10.0,8.0,0.0,0.0,4.0,0.0,6.5,6.5,3.6,10.0,76.0,151.0,148.0,0.28,0.07,0.35,0.28,0.35,0.24,0.13,0.37,0.24,0.37,Matches,2020-2021,Monza
Carlos Augusto,br BRA,DF,21,31,29,2476.0,27.5,3.0,1.0,4.0,3.0,0.0,0.0,1.0,1.0,1.3,1.3,2.4,3.8,79.0,140.0,154.0,0.11,0.04,0.15,0.11,0.15,0.05,0.09,0.14,0.05,0.14,Matches,2020-2021,Monza
Giulio Donati,it ITA,DF,30,28,25,2196.0,24.4,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.9,2.1,53.0,163.0,127.0,0.0,0.04,0.04,0.0,0.04,0.01,0.08,0.09,0.01,0.09,Matches,2020-2021,Monza
Andrea Barberis,it ITA,MF,26,35,20,2070.0,23.0,1.0,5.0,6.0,1.0,0.0,0.0,2.0,0.0,1.1,1.1,3.9,5.0,13.0,111.0,20.0,0.04,0.22,0.26,0.04,0.26,0.05,0.17,0.22,0.05,0.22,Matches,2020-2021,Monza
Mario Sampirisi,it ITA,DF,27,27,21,2014.0,22.4,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.7,0.7,2.2,2.9,45.0,123.0,104.0,0.09,0.04,0.13,0.09,0.13,0.03,0.11,0.14,0.03,0.14,Matches,2020-2021,Monza
Antonino Barillà,it ITA,MF,32,30,21,1885.0,20.9,4.0,1.0,5.0,4.0,0.0,0.0,6.0,1.0,5.2,5.2,0.8,6.1,18.0,83.0,59.0,0.19,0.05,0.24,0.19,0.24,0.29,0.05,0.34,0.29,0.34,Matches,2020-2021,Monza
Kevin-Prince Boateng,gh GHA,"FW,MF",33,24,23,1701.0,18.9,5.0,4.0,9.0,2.0,3.0,5.0,3.0,0.0,7.2,3.3,2.5,5.8,17.0,121.0,155.0,0.26,0.21,0.48,0.11,0.32,0.38,0.13,0.52,0.17,0.31,Matches,2020-2021,Monza
Marco Armellino,it ITA,MF,30,29,16,1561.0,17.3,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,2.9,2.9,1.3,4.2,23.0,104.0,52.0,0.12,0.06,0.17,0.12,0.17,0.18,0.08,0.26,0.18,0.26,Matches,2020-2021,Monza
Christian Gytkjær,dk DEN,FW,30,23,19,1522.0,16.9,6.0,5.0,11.0,4.0,2.0,3.0,3.0,0.0,7.8,5.4,3.8,9.3,7.0,11.0,104.0,0.35,0.3,0.65,0.24,0.53,0.47,0.23,0.7,0.33,0.56,Matches,2020-2021,Monza
Gabriel Paletta,it ITA,DF,34,20,16,1468.0,16.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.1,1.1,3.0,62.0,2.0,0.06,0.0,0.06,0.06,0.06,0.06,0.01,0.07,0.06,0.07,Matches,2020-2021,Monza
Davide Bettella,it ITA,DF,20,18,17,1438.0,16.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.6,0.6,0.6,1.1,4.0,54.0,3.0,0.13,0.0,0.13,0.13,0.13,0.04,0.04,0.07,0.04,0.07,Matches,2020-2021,Monza
Andrea D'Errico,it ITA,"MF,FW",28,30,12,1278.0,14.2,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.8,1.8,2.7,4.5,47.0,41.0,71.0,0.07,0.14,0.21,0.07,0.21,0.15,0.23,0.38,0.15,0.38,Matches,2020-2021,Monza
Lorenzo Pirola,it ITA,DF,18,14,13,1233.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.4,0.4,0.9,1.3,6.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.11,0.03,0.11,Matches,2020-2021,Monza
Andrea Colpani,it ITA,MF,21,25,13,1101.0,12.2,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.7,2.7,2.0,4.7,43.0,56.0,84.0,0.08,0.08,0.16,0.08,0.16,0.26,0.19,0.45,0.26,0.45,Matches,2020-2021,Monza
Filippo Scaglia,it ITA,DF,28,11,10,976.0,10.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.8,0.8,0.0,0.9,2.0,30.0,0.0,0.09,0.0,0.09,0.09,0.09,0.1,0.0,0.1,0.1,0.1,Matches,2020-2021,Monza
Davide Diaw,it ITA,FW,28,18,10,940.0,10.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.9,1.9,0.8,2.7,12.0,15.0,77.0,0.1,0.0,0.1,0.1,0.1,0.18,0.08,0.26,0.18,0.26,Matches,2020-2021,Monza
