Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Valentin Rongier,fr FRA,MF,23,43,40,3639.0,40.4,4.0,6.0,10.0,3.0,1.0,2.0,4.0,0.0,6.0,4.4,5.6,9.9,72.0,232.0,126.0,0.1,0.15,0.25,0.07,0.22,0.17,0.16,0.32,0.12,0.28,Matches,2018-2019,Nantes
Diego Carlos,br BRA,DF,25,40,39,3514.0,39.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,2.0,2.0,0.5,2.4,20.0,138.0,9.0,0.03,0.0,0.03,0.03,0.03,0.06,0.01,0.07,0.06,0.07,Matches,2018-2019,Nantes
Abdoulaye Touré,gn GUI,MF,24,41,34,3140.0,34.9,3.0,2.0,5.0,3.0,0.0,0.0,4.0,1.0,2.2,2.2,1.8,4.0,38.0,146.0,55.0,0.09,0.06,0.14,0.09,0.14,0.07,0.06,0.13,0.07,0.13,Matches,2018-2019,Nantes
Lucas Lima,br BRA,"DF,FW",26,36,33,2946.0,32.7,0.0,6.0,6.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,5.0,5.9,83.0,154.0,177.0,0.0,0.18,0.18,0.0,0.18,0.03,0.18,0.21,0.03,0.21,Matches,2018-2019,Nantes
Nicolas Pallois,fr FRA,DF,30,31,31,2790.0,31.0,2.0,0.0,2.0,2.0,0.0,0.0,8.0,0.0,1.3,1.3,0.1,1.4,22.0,90.0,7.0,0.06,0.0,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06,Matches,2018-2019,Nantes
Ciprian Tătărușanu,ro ROU,GK,32,30,30,2660.0,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Nantes
Abdul Majeed Waris,gh GHA,"FW,MF",26,38,28,2568.0,28.5,7.0,3.0,10.0,6.0,1.0,1.0,7.0,0.0,5.7,4.9,2.6,7.5,70.0,54.0,239.0,0.25,0.11,0.35,0.21,0.32,0.23,0.1,0.33,0.2,0.3,Matches,2018-2019,Nantes
Enock Kwateng,fr FRA,DF,21,33,25,2310.0,25.7,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.5,0.5,1.6,2.0,37.0,114.0,108.0,0.0,0.04,0.04,0.0,0.04,0.02,0.07,0.09,0.02,0.09,Matches,2018-2019,Nantes
Kalifa Coulibaly,ml MLI,FW,26,39,24,2201.0,24.5,12.0,4.0,16.0,11.0,1.0,1.0,8.0,2.0,9.5,8.7,1.5,10.3,32.0,31.0,132.0,0.49,0.16,0.65,0.45,0.61,0.49,0.08,0.57,0.45,0.53,Matches,2018-2019,Nantes
