Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Pepe Reina,es ESP,GK,34,45,45,4050.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2017-2018,Napoli
José Callejón,es ESP,FW,30,48,47,3972.0,44.1,11.0,11.0,22.0,11.0,0.0,0.0,3.0,0.0,10.8,10.8,8.1,18.9,60.0,122.0,372.0,0.25,0.25,0.5,0.25,0.5,0.25,0.19,0.44,0.25,0.44,Matches,2017-2018,Napoli
Elseid Hysaj,al ALB,DF,23,45,44,3901.0,43.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.4,0.4,1.9,2.3,124.0,179.0,222.0,0.0,0.02,0.02,0.0,0.02,0.01,0.05,0.06,0.01,0.06,Matches,2017-2018,Napoli
Kalidou Koulibaly,sn SEN,DF,26,43,43,3786.0,42.1,5.0,1.0,6.0,5.0,0.0,0.0,10.0,1.0,2.7,2.7,0.4,3.1,46.0,240.0,7.0,0.12,0.02,0.14,0.12,0.14,0.07,0.01,0.08,0.07,0.08,Matches,2017-2018,Napoli
Lorenzo Insigne,it ITA,FW,26,46,42,3676.0,40.8,13.0,12.0,25.0,12.0,1.0,1.0,5.0,0.0,16.8,15.9,13.3,29.2,240.0,221.0,755.0,0.32,0.29,0.61,0.29,0.59,0.42,0.33,0.75,0.4,0.73,Matches,2017-2018,Napoli
Dries Mertens,be BEL,FW,30,47,41,3640.0,40.4,21.0,11.0,32.0,17.0,4.0,6.0,7.0,0.0,20.9,16.2,9.9,26.0,98.0,129.0,443.0,0.52,0.27,0.79,0.42,0.69,0.53,0.25,0.77,0.41,0.66,Matches,2017-2018,Napoli
Allan,br BRA,MF,26,48,36,3311.0,36.8,4.0,5.0,9.0,4.0,0.0,0.0,2.0,0.0,3.9,3.9,3.7,7.6,94.0,211.0,147.0,0.11,0.14,0.24,0.11,0.24,0.11,0.1,0.21,0.11,0.21,Matches,2017-2018,Napoli
Raúl Albiol,es ESP,DF,31,37,36,3282.0,36.5,3.0,1.0,4.0,3.0,0.0,0.0,8.0,0.0,1.5,1.5,1.3,2.8,31.0,270.0,5.0,0.08,0.03,0.11,0.08,0.11,0.04,0.03,0.08,0.04,0.08,Matches,2017-2018,Napoli
Marek Hamšík,sk SVK,MF,30,47,41,3009.0,33.4,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0,7.6,7.6,3.3,10.9,97.0,418.0,258.0,0.21,0.06,0.27,0.21,0.27,0.23,0.1,0.33,0.23,0.33,Matches,2017-2018,Napoli
Jorginho,it ITA,MF,25,37,36,2910.0,32.3,3.0,4.0,7.0,1.0,2.0,3.0,5.0,0.0,3.0,0.5,4.3,4.8,40.0,411.0,36.0,0.09,0.12,0.22,0.03,0.15,0.1,0.14,0.23,0.02,0.15,Matches,2017-2018,Napoli
Piotr Zieliński,pl POL,"MF,FW",23,45,22,2380.0,26.4,7.0,1.0,8.0,7.0,0.0,0.0,4.0,0.0,4.4,4.4,2.8,7.2,86.0,172.0,155.0,0.26,0.04,0.3,0.26,0.3,0.18,0.12,0.3,0.18,0.3,Matches,2017-2018,Napoli
Mário Rui,pt POR,"DF,FW",26,30,26,2311.0,25.7,2.0,2.0,4.0,2.0,0.0,0.0,11.0,1.0,0.3,0.3,2.9,3.2,73.0,146.0,157.0,0.08,0.08,0.16,0.08,0.16,0.01,0.12,0.13,0.01,0.13,Matches,2017-2018,Napoli
Amadou Diawara,gn GUI,MF,20,26,12,1287.0,14.3,2.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,1.1,0.3,0.3,0.6,2.0,76.0,1.0,0.14,0.0,0.14,0.07,0.07,0.08,0.02,0.11,0.02,0.05,Matches,2017-2018,Napoli
Faouzi Ghoulam,dz ALG,DF,26,15,15,1286.0,14.3,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.7,0.7,2.2,2.8,69.0,124.0,154.0,0.14,0.14,0.28,0.14,0.28,0.05,0.15,0.2,0.05,0.2,Matches,2017-2018,Napoli
Christian Maggio,it ITA,DF,35,20,11,1144.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,25.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,2017-2018,Napoli
Vlad Chiricheș,ro ROU,DF,27,9,9,762.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.0,0.3,7.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.03,0.04,Matches,2017-2018,Napoli
Marko Rog,hr CRO,"MF,FW",22,35,3,634.0,7.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,0.6,1.4,22.0,25.0,23.0,0.14,0.14,0.28,0.14,0.28,0.15,0.12,0.27,0.15,0.27,Matches,2017-2018,Napoli
Arkadiusz Milik,pl POL,FW,23,16,4,538.0,6.0,6.0,1.0,7.0,5.0,1.0,1.0,2.0,0.0,5.8,5.0,0.8,5.8,6.0,13.0,60.0,1.0,0.17,1.17,0.84,1.0,0.97,0.13,1.1,0.83,0.97,Matches,2017-2018,Napoli
Lorenzo Tonelli,it ITA,DF,27,6,5,531.0,5.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,0.0,18.0,1.0,0.17,0.0,0.17,0.17,0.17,0.04,0.0,0.04,0.04,0.04,Matches,2017-2018,Napoli
Adam Ounas,dz ALG,"FW,MF",20,13,3,338.0,3.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,8.0,9.0,29.0,0.27,0.0,0.27,0.27,0.27,0.13,0.14,0.27,0.13,0.27,Matches,2017-2018,Napoli
