Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Stanislav Lobotka,sk SVK,MF,28,49,48,4176.0,46.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,1.5,2.1,34.0,219.0,41.0,0.0,0.02,0.02,0.0,0.02,0.02,0.03,0.05,0.02,0.05,Matches,2023-2024,Napoli
Giovanni Di Lorenzo,it ITA,DF,29,47,46,4171.0,46.3,2.0,8.0,10.0,2.0,0.0,0.0,6.0,0.0,3.5,3.5,6.7,10.1,106.0,346.0,292.0,0.04,0.17,0.22,0.04,0.22,0.08,0.15,0.23,0.08,0.23,Matches,2023-2024,Napoli
Khvicha Kvaratskhelia,ge GEO,FW,22,45,42,3573.0,39.7,11.0,7.0,18.0,11.0,0.0,0.0,8.0,0.0,12.0,12.0,8.2,20.2,236.0,122.0,337.0,0.28,0.18,0.45,0.28,0.45,0.32,0.22,0.54,0.32,0.53,Matches,2023-2024,Napoli
Alex Meret,it ITA,GK,26,39,39,3493.0,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Napoli
Andre-Frank Zambo Anguissa,cm CMR,MF,27,41,39,3413.0,37.9,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,4.4,4.3,3.6,8.0,54.0,200.0,160.0,0.03,0.08,0.11,0.03,0.11,0.12,0.1,0.21,0.11,0.21,Matches,2023-2024,Napoli
Amir Rrahmani,xk KVX,DF,29,39,39,3332.0,37.0,4.0,0.0,4.0,4.0,0.0,0.0,7.0,0.0,2.6,2.6,1.0,3.7,24.0,140.0,4.0,0.11,0.0,0.11,0.11,0.11,0.08,0.03,0.11,0.08,0.11,Matches,2023-2024,Napoli
Matteo Politano,it ITA,FW,29,48,41,3094.0,34.4,9.0,8.0,17.0,7.0,2.0,3.0,4.0,1.0,7.7,5.4,7.7,13.1,134.0,199.0,268.0,0.26,0.23,0.49,0.2,0.44,0.24,0.24,0.47,0.16,0.4,Matches,2023-2024,Napoli
Juan Jesus,br BRA,DF,32,31,30,2724.0,30.3,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,1.3,1.3,0.3,1.6,7.0,91.0,2.0,0.03,0.03,0.07,0.03,0.07,0.05,0.01,0.06,0.05,0.06,Matches,2023-2024,Napoli
Victor Osimhen,ng NGA,FW,24,32,27,2468.0,27.4,17.0,3.0,20.0,14.0,3.0,5.0,7.0,1.0,17.7,13.8,3.8,17.6,43.0,26.0,181.0,0.62,0.11,0.73,0.51,0.62,0.65,0.14,0.79,0.51,0.65,Matches,2023-2024,Napoli
