Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Kieran Trippier,eng ENG,DF,31,46,43,3920.0,43.6,1.0,9.0,10.0,1.0,0.0,0.0,7.0,0.0,0.9,0.9,12.4,13.3,45.0,260.0,151.0,0.02,0.21,0.23,0.02,0.23,0.02,0.33,0.36,0.02,0.36,Matches,2022-2023,Newcastle Utd
Sven Botman,nl NED,DF,22,44,41,3743.0,41.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.5,2.5,1.0,3.5,8.0,87.0,5.0,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.1,0.07,0.1,Matches,2022-2023,Newcastle Utd
Nick Pope,eng ENG,GK,30,42,42,3741.0,41.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Newcastle Utd
Fabian Schär,ch SUI,DF,30,41,41,3656.0,40.6,1.0,3.0,4.0,1.0,0.0,0.0,8.0,0.0,4.9,4.9,3.3,8.2,27.0,139.0,32.0,0.02,0.07,0.1,0.02,0.1,0.14,0.09,0.23,0.14,0.23,Matches,2022-2023,Newcastle Utd
Dan Burn,eng ENG,DF,30,44,41,3626.0,40.3,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,2.1,2.1,1.3,3.4,29.0,118.0,46.0,0.05,0.0,0.05,0.05,0.05,0.06,0.04,0.1,0.06,0.1,Matches,2022-2023,Newcastle Utd
Joelinton,br BRA,"MF,FW",25,40,37,3342.0,37.1,8.0,2.0,10.0,8.0,0.0,0.0,13.0,0.0,7.1,7.1,2.4,9.4,64.0,130.0,150.0,0.22,0.05,0.27,0.22,0.27,0.24,0.08,0.32,0.24,0.32,Matches,2022-2023,Newcastle Utd
Bruno Guimarães,br BRA,MF,24,40,37,3244.0,36.0,5.0,5.0,10.0,5.0,0.0,0.0,8.0,1.0,2.8,2.8,4.0,6.8,41.0,222.0,42.0,0.14,0.14,0.28,0.14,0.28,0.09,0.13,0.22,0.09,0.22,Matches,2022-2023,Newcastle Utd
Sean Longstaff,eng ENG,MF,24,41,36,3137.0,34.9,3.0,4.0,7.0,3.0,0.0,0.0,3.0,0.0,3.6,3.6,3.3,6.9,21.0,116.0,115.0,0.09,0.11,0.2,0.09,0.2,0.13,0.12,0.25,0.13,0.25,Matches,2022-2023,Newcastle Utd
Joe Willock,eng ENG,MF,22,43,36,2976.0,33.1,3.0,6.0,9.0,3.0,0.0,0.0,1.0,0.0,7.0,7.0,6.0,13.0,97.0,121.0,152.0,0.09,0.18,0.27,0.09,0.27,0.25,0.21,0.46,0.25,0.46,Matches,2022-2023,Newcastle Utd
Miguel Almirón,py PAR,FW,28,41,34,2949.0,32.8,11.0,4.0,15.0,11.0,0.0,0.0,2.0,0.0,8.0,8.0,3.2,11.1,77.0,124.0,264.0,0.34,0.12,0.46,0.34,0.46,0.29,0.11,0.4,0.29,0.4,Matches,2022-2023,Newcastle Utd
Callum Wilson,eng ENG,FW,30,36,26,2244.0,24.9,18.0,5.0,23.0,15.0,3.0,3.0,4.0,0.0,17.4,15.1,2.7,17.8,27.0,19.0,118.0,0.72,0.2,0.92,0.6,0.8,0.84,0.13,0.97,0.72,0.85,Matches,2022-2023,Newcastle Utd
Alexander Isak,se SWE,FW,22,27,18,1678.0,18.6,10.0,2.0,12.0,8.0,2.0,2.0,3.0,0.0,8.2,6.7,2.2,8.9,41.0,48.0,122.0,0.54,0.11,0.64,0.43,0.54,0.49,0.13,0.61,0.4,0.52,Matches,2022-2023,Newcastle Utd
Jacob Murphy,eng ENG,FW,27,43,16,1471.0,16.3,4.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,3.3,3.3,2.8,6.1,67.0,57.0,141.0,0.24,0.12,0.37,0.24,0.37,0.24,0.2,0.44,0.24,0.44,Matches,2022-2023,Newcastle Utd
Allan Saint-Maximin,fr FRA,FW,25,31,14,1412.0,15.7,1.0,5.0,6.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,4.6,6.2,93.0,69.0,111.0,0.06,0.32,0.38,0.06,0.38,0.13,0.37,0.5,0.13,0.5,Matches,2022-2023,Newcastle Utd
Matt Targett,eng ENG,DF,26,19,8,775.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,3.0,43.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.0,0.07,Matches,2022-2023,Newcastle Utd
Chris Wood,nz NZL,FW,30,22,6,716.0,8.0,3.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,1.8,1.0,0.3,1.3,1.0,4.0,23.0,0.38,0.0,0.38,0.25,0.25,0.37,0.06,0.43,0.21,0.27,Matches,2022-2023,Newcastle Utd
Elliot Anderson,eng ENG,"MF,FW",19,27,6,632.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.3,2.3,23.0,24.0,35.0,0.0,0.14,0.14,0.0,0.14,0.22,0.28,0.5,0.22,0.5,Matches,2022-2023,Newcastle Utd
Jamaal Lascelles,eng ENG,DF,28,11,5,498.0,5.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.1,0.1,0.0,0.1,0.0,3.0,0.0,0.18,0.0,0.18,0.18,0.18,0.04,0.0,0.04,0.04,0.04,Matches,2022-2023,Newcastle Utd
Anthony Gordon,eng ENG,"FW,MF",21,16,4,487.0,5.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.7,1.7,0.9,2.6,20.0,15.0,45.0,0.18,0.0,0.18,0.18,0.18,0.31,0.17,0.48,0.31,0.48,Matches,2022-2023,Newcastle Utd
Ryan Fraser,sct SCO,FW,28,8,3,313.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.4,0.7,8.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.2,0.09,0.2,Matches,2022-2023,Newcastle Utd
Martin Dúbravka,sk SVK,GK,33,3,2,247.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Newcastle Utd
Matt Ritchie,sct SCO,"FW,MF",32,10,2,220.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.0,0.24,Matches,2022-2023,Newcastle Utd
Javier Manquillo,es ESP,DF,28,6,2,192.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Newcastle Utd
Jonjo Shelvey,eng ENG,MF,30,5,1,125.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Newcastle Utd
Jamal Lewis,nir NIR,"DF,FW",24,4,1,124.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Newcastle Utd
Paul Dummett,wls WAL,DF,30,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2022-2023,Newcastle Utd
Karl Darlow,wls WAL,GK,31,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2022-2023,Newcastle Utd
Loris Karius,de GER,GK,29,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2022-2023,Newcastle Utd
Emil Krafth,se SWE,DF,27,2,1,39.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Newcastle Utd
Lewis Miley,eng ENG,MF,16,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.42,0.42,Matches,2022-2023,Newcastle Utd
Harrison Ashby,sct SCO,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022-2023,Newcastle Utd
Mark Gillespie,eng ENG,GK,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022-2023,Newcastle Utd
Federico Fernández,ar ARG,DF,33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022-2023,Newcastle Utd
