Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Jean-Clair Todibo,fr FRA,DF,21,40,39,3505.0,38.9,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,2.6,2.6,1.0,3.6,33.0,174.0,8.0,0.03,0.0,0.03,0.03,0.03,0.08,0.03,0.1,0.08,0.1,Matches,2021-2022,Nice
Walter Benítez,ar ARG,GK,28,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Nice
Dante,br BRA,DF,37,38,37,3260.0,36.2,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.5,0.5,1.0,1.5,13.0,131.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.01,0.05,Matches,2021-2022,Nice
Amine Gouiri,dz ALG,"FW,MF",21,43,37,3220.0,35.8,12.0,10.0,22.0,9.0,3.0,5.0,4.0,0.0,11.8,7.9,5.9,13.8,93.0,104.0,198.0,0.34,0.28,0.61,0.25,0.53,0.39,0.19,0.58,0.26,0.45,Matches,2021-2022,Nice
Pablo Rosario,nl NED,MF,24,40,34,2961.0,32.9,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,1.2,1.2,1.0,2.2,23.0,186.0,24.0,0.0,0.06,0.06,0.0,0.06,0.04,0.03,0.07,0.04,0.07,Matches,2021-2022,Nice
Melvin Bard,fr FRA,DF,20,37,34,2932.0,32.6,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.9,0.9,3.4,4.3,65.0,134.0,129.0,0.06,0.06,0.12,0.06,0.12,0.03,0.12,0.15,0.03,0.15,Matches,2021-2022,Nice
Andy Delort,dz ALG,FW,29,37,30,2803.0,31.1,18.0,4.0,22.0,15.0,3.0,3.0,4.0,0.0,14.6,12.2,3.9,16.1,24.0,54.0,188.0,0.58,0.13,0.71,0.48,0.61,0.54,0.14,0.68,0.45,0.59,Matches,2021-2022,Nice
Khéphren Thuram,fr FRA,MF,20,41,25,2317.0,25.7,4.0,3.0,7.0,4.0,0.0,0.0,4.0,0.0,2.7,2.7,2.3,5.0,65.0,123.0,33.0,0.16,0.12,0.27,0.16,0.27,0.13,0.11,0.24,0.13,0.24,Matches,2021-2022,Nice
Mario Lemina,ga GAB,MF,27,36,25,2149.0,23.9,2.0,0.0,2.0,2.0,0.0,0.0,8.0,1.0,2.0,2.0,0.4,2.3,35.0,93.0,30.0,0.08,0.0,0.08,0.08,0.08,0.09,0.02,0.11,0.09,0.11,Matches,2021-2022,Nice
Justin Kluivert,nl NED,MF,22,31,27,2142.0,23.8,6.0,6.0,12.0,6.0,0.0,0.0,8.0,1.0,2.8,2.8,4.9,7.7,83.0,56.0,166.0,0.25,0.25,0.5,0.25,0.5,0.14,0.23,0.37,0.14,0.37,Matches,2021-2022,Nice
Jordan Lotomba,ch SUI,DF,22,34,23,2113.0,23.5,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,1.2,2.0,50.0,79.0,101.0,0.0,0.04,0.04,0.0,0.04,0.04,0.06,0.1,0.04,0.1,Matches,2021-2022,Nice
Hicham Boudaoui,dz ALG,MF,21,33,24,1812.0,20.1,3.0,2.0,5.0,3.0,0.0,0.0,10.0,0.0,1.1,1.1,2.7,3.8,38.0,47.0,101.0,0.15,0.1,0.25,0.15,0.25,0.06,0.15,0.21,0.06,0.21,Matches,2021-2022,Nice
Kasper Dolberg,dk DEN,FW,23,30,21,1667.0,18.5,7.0,2.0,9.0,5.0,2.0,2.0,0.0,0.0,6.4,4.8,1.2,6.1,15.0,16.0,90.0,0.38,0.11,0.49,0.27,0.38,0.39,0.07,0.46,0.29,0.37,Matches,2021-2022,Nice
Flavius Daniliuc,at AUT,DF,20,27,16,1485.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.2,0.2,0.1,0.4,6.0,63.0,25.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,2021-2022,Nice
Calvin Stengs,nl NED,MF,22,26,13,1251.0,13.9,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.7,2.7,2.5,5.2,33.0,51.0,74.0,0.07,0.07,0.14,0.07,0.14,0.23,0.21,0.44,0.23,0.44,Matches,2021-2022,Nice
Youcef Atal,dz ALG,DF,25,18,13,1199.0,13.3,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.9,0.9,1.3,2.2,63.0,44.0,106.0,0.15,0.08,0.23,0.15,0.23,0.07,0.11,0.18,0.07,0.18,Matches,2021-2022,Nice
Morgan Schneiderlin,fr FRA,MF,31,24,8,950.0,10.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.3,0.3,0.2,0.5,5.0,36.0,5.0,0.0,0.09,0.09,0.0,0.09,0.04,0.02,0.07,0.04,0.07,Matches,2021-2022,Nice
Marcin Bułka,pl POL,GK,21,6,6,570.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Nice
Hassane Kamara,ci CIV,"MF,DF",27,11,7,544.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,0.9,1.9,18.0,12.0,45.0,0.0,0.0,0.0,0.0,0.0,0.17,0.14,0.32,0.17,0.32,Matches,2021-2022,Nice
Jordan Amavi,fr FRA,DF,27,9,5,533.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,13.0,28.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,2021-2022,Nice
Evann Guessand,ci CIV,FW,20,25,2,518.0,5.8,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.8,1.8,1.2,3.0,6.0,7.0,24.0,0.17,0.35,0.52,0.17,0.52,0.37,0.24,0.62,0.37,0.62,Matches,2021-2022,Nice
Bilal Brahimi,dz ALG,MF,21,15,2,492.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.9,1.6,25.0,9.0,39.0,0.0,0.0,0.0,0.0,0.0,0.15,0.22,0.37,0.15,0.37,Matches,2021-2022,Nice
Lucas Da Cunha,fr FRA,MF,20,11,5,395.0,4.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.3,2.1,15.0,11.0,18.0,0.0,0.23,0.23,0.0,0.23,0.19,0.29,0.48,0.19,0.48,Matches,2021-2022,Nice
Alexis Claude-Maurice,fr FRA,MF,23,11,0,218.0,2.4,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,1.2,1.6,5.0,7.0,13.0,0.0,0.83,0.83,0.0,0.83,0.17,0.53,0.7,0.17,0.7,Matches,2021-2022,Nice
Dan Ndoye,ch SUI,"FW,MF",20,3,2,205.0,2.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,3.0,5.0,17.0,0.0,0.44,0.44,0.0,0.44,0.05,0.22,0.27,0.05,0.27,Matches,2021-2022,Nice
