Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Marcin Bułka,pl POL,GK,25-235,40,40,3600.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Nice
Evann Guessand,ci CIV,"FW,MF",23-330,42,35,3066.0,34.1,13.0,9.0,22.0,13.0,0.0,1.0,3.0,0.0,11.3,10.5,5.8,16.3,96.0,86.0,182.0,0.38,0.26,0.65,0.38,0.65,0.35,0.18,0.53,0.33,0.51,Matches,2024-2025,Nice
Moïse Bombito,ca CAN,DF,25-058,35,33,2942.0,32.7,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.7,0.7,0.3,1.0,31.0,118.0,10.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,2024-2025,Nice
Jonathan Clauss,fr FRA,"DF,MF",32-244,38,32,2887.0,32.1,3.0,9.0,12.0,3.0,0.0,0.0,9.0,0.0,2.5,2.5,9.1,11.5,72.0,136.0,196.0,0.09,0.28,0.37,0.09,0.37,0.08,0.31,0.39,0.08,0.39,Matches,2024-2025,Nice
Hicham Boudaoui,dz ALG,MF,25-246,36,32,2878.0,32.0,2.0,3.0,5.0,2.0,0.0,0.0,9.0,0.0,3.3,3.3,3.3,6.6,62.0,144.0,80.0,0.06,0.09,0.16,0.06,0.16,0.11,0.11,0.21,0.11,0.21,Matches,2024-2025,Nice
Melvin Bard,fr FRA,"DF,MF",24-202,32,28,2490.0,27.7,2.0,1.0,3.0,2.0,0.0,0.0,4.0,2.0,2.3,2.3,2.1,4.5,65.0,95.0,119.0,0.07,0.04,0.11,0.07,0.11,0.09,0.09,0.18,0.09,0.18,Matches,2024-2025,Nice
Gaëtan Laborde,fr FRA,FW,31-024,36,25,2349.0,26.1,11.0,5.0,16.0,7.0,4.0,4.0,2.0,0.0,12.8,9.6,3.9,13.5,36.0,44.0,144.0,0.42,0.19,0.61,0.27,0.46,0.54,0.16,0.71,0.41,0.57,Matches,2024-2025,Nice
Youssouf Ndayishimiye,bi BDI,DF,26-212,29,27,2326.0,25.8,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,1.0,1.0,0.3,1.3,28.0,106.0,9.0,0.12,0.0,0.12,0.12,0.12,0.04,0.01,0.05,0.04,0.05,Matches,2024-2025,Nice
Pablo Rosario,nl NED,"MF,DF",28-140,35,27,2294.0,25.5,4.0,1.0,5.0,3.0,1.0,1.0,7.0,2.0,4.0,3.3,0.6,3.9,21.0,110.0,31.0,0.16,0.04,0.2,0.12,0.16,0.17,0.03,0.19,0.13,0.16,Matches,2024-2025,Nice
