Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Morgan Gibbs-White,eng ENG,"MF,FW",23,42,38,3521.0,39.1,6.0,10.0,16.0,5.0,1.0,1.0,9.0,0.0,6.9,6.1,8.4,14.5,79.0,171.0,181.0,0.15,0.26,0.41,0.13,0.38,0.2,0.24,0.44,0.17,0.41,Matches,2023-2024,Nott'ham Forest
Murillo,br BRA,DF,21,36,36,3160.0,35.1,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,1.8,1.8,1.2,3.0,22.0,89.0,7.0,0.0,0.06,0.06,0.0,0.06,0.06,0.04,0.1,0.06,0.1,Matches,2023-2024,Nott'ham Forest
Anthony Elanga,se SWE,"FW,MF",21,39,28,2676.0,29.7,5.0,9.0,14.0,5.0,0.0,0.0,1.0,0.0,6.6,6.6,6.7,13.3,98.0,49.0,196.0,0.17,0.3,0.47,0.17,0.47,0.24,0.25,0.49,0.24,0.49,Matches,2023-2024,Nott'ham Forest
Ryan Yates,eng ENG,MF,25,40,26,2416.0,26.8,1.0,3.0,4.0,1.0,0.0,0.0,8.0,0.0,2.6,2.6,0.8,3.5,18.0,73.0,37.0,0.04,0.11,0.15,0.04,0.15,0.12,0.04,0.16,0.12,0.16,Matches,2023-2024,Nott'ham Forest
Danilo,br BRA,MF,22,34,25,2301.0,25.6,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,1.8,1.8,1.5,3.4,22.0,82.0,28.0,0.12,0.08,0.2,0.12,0.2,0.09,0.08,0.17,0.09,0.17,Matches,2023-2024,Nott'ham Forest
Chris Wood,nz NZL,FW,31,35,24,2199.0,24.4,15.0,1.0,16.0,15.0,0.0,0.0,1.0,0.0,11.9,11.9,2.1,14.0,16.0,30.0,76.0,0.61,0.04,0.65,0.61,0.65,0.59,0.1,0.69,0.59,0.69,Matches,2023-2024,Nott'ham Forest
Callum Hudson-Odoi,eng ENG,"FW,MF",22,34,23,2188.0,24.3,8.0,2.0,10.0,8.0,0.0,0.0,0.0,0.0,2.7,2.7,2.8,5.5,111.0,58.0,173.0,0.33,0.08,0.41,0.33,0.41,0.13,0.14,0.27,0.13,0.27,Matches,2023-2024,Nott'ham Forest
Neco Williams,wls WAL,DF,22,32,21,1999.0,22.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,1.6,2.5,48.0,47.0,86.0,0.0,0.05,0.05,0.0,0.05,0.04,0.09,0.13,0.04,0.13,Matches,2023-2024,Nott'ham Forest
Matt Turner,us USA,GK,29,21,21,1920.0,21.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Nott'ham Forest
