Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Carlos Clerc,es ESP,DF,26,41,40,3562.0,39.6,1.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,0.03,0.05,0.08,0.03,0.08,Matches,2018-2019,Osasuna
Rubén García,es ESP,"MF,FW",25,38,37,3263.0,36.3,7.0,11.0,18.0,6.0,1.0,1.0,4.0,0.0,0.19,0.3,0.5,0.17,0.47,Matches,2018-2019,Osasuna
Oier Sanjurjo,es ESP,MF,32,37,36,3230.0,35.9,3.0,0.0,3.0,3.0,0.0,0.0,12.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,2018-2019,Osasuna
Unai García,es ESP,DF,26,37,36,3197.0,35.5,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,2018-2019,Osasuna
Rubén,es ESP,GK,34,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Osasuna
Roberto Torres,es ESP,MF,29,40,35,3122.0,34.7,12.0,3.0,15.0,10.0,2.0,2.0,6.0,0.0,0.35,0.09,0.43,0.29,0.37,Matches,2018-2019,Osasuna
Nacho Vidal,es ESP,DF,23,38,30,2864.0,31.8,0.0,5.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches,2018-2019,Osasuna
Fran Mérida,es ESP,MF,28,31,27,2414.0,26.8,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,0.04,0.04,0.07,0.04,0.07,Matches,2018-2019,Osasuna
David García,es ESP,DF,24,30,27,2414.0,26.8,2.0,1.0,3.0,2.0,0.0,0.0,7.0,1.0,0.07,0.04,0.11,0.07,0.11,Matches,2018-2019,Osasuna
Brandon,es ESP,"FW,MF",23,36,23,2091.0,23.2,5.0,0.0,5.0,4.0,1.0,2.0,5.0,0.0,0.22,0.0,0.22,0.17,0.17,Matches,2018-2019,Osasuna
Juan Villar,es ESP,"FW,MF",30,29,25,1925.0,21.4,12.0,2.0,14.0,12.0,0.0,0.0,6.0,0.0,0.56,0.09,0.65,0.56,0.65,Matches,2018-2019,Osasuna
Kike Barja,es ESP,MF,21,35,21,1741.0,19.3,3.0,6.0,9.0,3.0,0.0,0.0,5.0,0.0,0.16,0.31,0.47,0.16,0.47,Matches,2018-2019,Osasuna
Aridane Hernández,es ESP,DF,29,21,18,1597.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Osasuna
Iñigo Pérez,es ESP,MF,30,22,15,1404.0,15.6,1.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,0.06,0.26,0.32,0.06,0.32,Matches,2018-2019,Osasuna
Lillo,es ESP,DF,29,20,14,1311.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Osasuna
