Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Sergio Herrera,es ESP,GK,28,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Osasuna
David García,es ESP,DF,27,36,36,3195.0,35.5,4.0,0.0,4.0,4.0,0.0,0.0,9.0,0.0,1.2,1.2,0.5,1.6,7.0,117.0,2.0,0.11,0.0,0.11,0.11,0.11,0.03,0.01,0.05,0.03,0.05,Matches,2021-2022,Osasuna
Jon Moncayola,es ESP,MF,23,38,33,2964.0,32.9,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,2.3,2.3,1.7,3.9,19.0,131.0,66.0,0.06,0.09,0.15,0.06,0.15,0.07,0.05,0.12,0.07,0.12,Matches,2021-2022,Osasuna
Nacho Vidal,es ESP,DF,26,37,33,2932.0,32.6,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,1.2,1.2,2.2,3.4,31.0,93.0,80.0,0.0,0.03,0.03,0.0,0.03,0.04,0.07,0.1,0.04,0.1,Matches,2021-2022,Osasuna
Lucas Torró,es ESP,MF,27,33,32,2725.0,30.3,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,1.6,1.6,0.6,2.2,18.0,156.0,27.0,0.03,0.0,0.03,0.03,0.03,0.05,0.02,0.07,0.05,0.07,Matches,2021-2022,Osasuna
Darko Brašanac,rs SRB,MF,29,36,27,2429.0,27.0,1.0,2.0,3.0,1.0,0.0,0.0,8.0,0.0,1.5,1.5,1.7,3.2,42.0,103.0,167.0,0.04,0.07,0.11,0.04,0.11,0.06,0.06,0.12,0.06,0.12,Matches,2021-2022,Osasuna
Rubén García,es ESP,"MF,FW",28,38,30,2401.0,26.7,1.0,6.0,7.0,1.0,0.0,2.0,1.0,0.0,3.1,1.6,3.4,4.9,39.0,96.0,199.0,0.04,0.22,0.26,0.04,0.26,0.12,0.13,0.25,0.06,0.19,Matches,2021-2022,Osasuna
Manu Sánchez,es ESP,DF,20,34,26,2347.0,26.1,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,0.4,0.4,1.9,2.3,43.0,97.0,117.0,0.04,0.12,0.15,0.04,0.15,0.02,0.08,0.09,0.02,0.09,Matches,2021-2022,Osasuna
Juan Cruz Armada,es ESP,DF,29,25,24,2069.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.0,0.2,16.0,80.0,12.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,2021-2022,Osasuna
