Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Ángel Di María,ar ARG,"FW,MF",31,41,37,3238.0,36.0,13.0,22.0,35.0,12.0,1.0,2.0,7.0,0.0,11.0,9.4,19.6,29.0,138.0,218.0,345.0,0.36,0.61,0.97,0.33,0.95,0.36,0.64,1.0,0.31,0.95,Matches,2019-2020,Paris S-G
Keylor Navas,cr CRC,GK,32,35,35,3168.0,35.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Paris S-G
Marquinhos,br BRA,"MF,DF",25,37,33,3042.0,33.8,6.0,1.0,7.0,6.0,0.0,0.0,4.0,0.0,3.5,3.5,0.9,4.4,9.0,143.0,16.0,0.18,0.03,0.21,0.18,0.21,0.13,0.03,0.16,0.13,0.16,Matches,2019-2020,Paris S-G
Thiago Silva,br BRA,DF,34,35,33,2722.0,30.2,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,0.0,0.6,12.0,127.0,1.0,0.03,0.03,0.07,0.03,0.07,0.02,0.0,0.02,0.02,0.02,Matches,2019-2020,Paris S-G
Kylian Mbappé,fr FRA,FW,20,37,30,2716.0,30.2,30.0,14.0,44.0,30.0,0.0,0.0,4.0,0.0,23.8,23.8,13.9,37.7,159.0,82.0,346.0,0.99,0.46,1.46,0.99,1.46,0.99,0.58,1.57,0.99,1.57,Matches,2019-2020,Paris S-G
Idrissa Gana Gueye,sn SEN,MF,29,34,31,2635.0,29.3,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,1.4,1.4,2.9,4.3,51.0,208.0,36.0,0.03,0.1,0.14,0.03,0.14,0.06,0.12,0.18,0.06,0.18,Matches,2019-2020,Paris S-G
Marco Verratti,it ITA,MF,26,37,26,2566.0,28.5,0.0,6.0,6.0,0.0,0.0,0.0,12.0,0.0,0.3,0.3,4.7,5.0,46.0,243.0,53.0,0.0,0.21,0.21,0.0,0.21,0.01,0.2,0.22,0.01,0.22,Matches,2019-2020,Paris S-G
Juan Bernat,es ESP,DF,26,32,28,2481.0,27.6,2.0,6.0,8.0,2.0,0.0,0.0,9.0,0.0,1.2,1.2,5.2,6.4,55.0,92.0,176.0,0.07,0.22,0.29,0.07,0.29,0.05,0.21,0.25,0.05,0.25,Matches,2019-2020,Paris S-G
Pablo Sarabia,es ESP,"FW,MF",27,40,26,2411.0,26.8,14.0,7.0,21.0,14.0,0.0,0.0,2.0,0.0,4.1,4.1,6.2,10.3,51.0,87.0,230.0,0.52,0.26,0.78,0.52,0.78,0.23,0.36,0.59,0.23,0.59,Matches,2019-2020,Paris S-G
