Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Kylian Mbappé,fr FRA,FW,22,46,44,3931.0,43.7,39.0,21.0,60.0,34.0,5.0,6.0,11.0,0.0,28.8,24.9,14.3,39.2,263.0,129.0,522.0,0.89,0.48,1.37,0.78,1.26,0.7,0.35,1.05,0.61,0.96,Matches,2021-2022,Paris S-G
Marquinhos,br BRA,DF,27,40,40,3581.0,39.8,5.0,1.0,6.0,5.0,0.0,0.0,5.0,0.0,3.8,3.8,0.9,4.6,11.0,143.0,8.0,0.13,0.03,0.15,0.13,0.15,0.09,0.02,0.12,0.09,0.12,Matches,2021-2022,Paris S-G
Presnel Kimpembe,fr FRA,DF,25,41,40,3570.0,39.7,2.0,1.0,3.0,2.0,0.0,0.0,10.0,0.0,1.4,1.4,0.1,1.5,32.0,180.0,17.0,0.05,0.03,0.08,0.05,0.08,0.04,0.0,0.04,0.04,0.04,Matches,2021-2022,Paris S-G
Achraf Hakimi,ma MAR,DF,22,41,37,3286.0,36.5,4.0,6.0,10.0,4.0,0.0,0.0,5.0,1.0,2.5,2.5,4.4,6.9,87.0,115.0,341.0,0.11,0.16,0.27,0.11,0.27,0.07,0.12,0.2,0.07,0.2,Matches,2021-2022,Paris S-G
Lionel Messi,ar ARG,FW,34,34,32,2903.0,32.3,11.0,14.0,25.0,9.0,2.0,3.0,1.0,0.0,14.9,12.5,10.8,23.3,158.0,349.0,153.0,0.34,0.43,0.78,0.28,0.71,0.48,0.35,0.83,0.4,0.75,Matches,2021-2022,Paris S-G
Danilo Pereira,pt POR,"MF,DF",29,37,27,2655.0,29.5,5.0,0.0,5.0,5.0,0.0,0.0,6.0,0.0,3.3,3.3,0.4,3.7,19.0,114.0,17.0,0.17,0.0,0.17,0.17,0.17,0.12,0.02,0.14,0.12,0.14,Matches,2021-2022,Paris S-G
Marco Verratti,it ITA,MF,28,32,31,2640.0,29.3,2.0,2.0,4.0,2.0,0.0,0.0,14.0,0.0,0.6,0.6,2.8,3.4,61.0,222.0,72.0,0.07,0.07,0.14,0.07,0.14,0.02,0.11,0.13,0.02,0.13,Matches,2021-2022,Paris S-G
Nuno Mendes,pt POR,DF,19,37,27,2407.0,26.7,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,3.7,4.0,51.0,69.0,150.0,0.0,0.07,0.07,0.0,0.07,0.01,0.15,0.16,0.01,0.16,Matches,2021-2022,Paris S-G
Neymar,br BRA,FW,29,28,27,2320.0,25.8,13.0,8.0,21.0,10.0,3.0,4.0,11.0,0.0,11.7,8.6,8.6,17.2,108.0,173.0,279.0,0.5,0.31,0.81,0.39,0.7,0.45,0.34,0.79,0.33,0.67,Matches,2021-2022,Paris S-G
Keylor Navas,cr CRC,GK,34,26,26,2306.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Paris S-G
Gianluigi Donnarumma,it ITA,GK,22,24,24,2190.0,24.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Paris S-G
Idrissa Gana Gueye,sn SEN,MF,31,33,23,2040.0,22.7,4.0,1.0,5.0,4.0,0.0,0.0,5.0,0.0,1.6,1.6,1.8,3.4,34.0,145.0,43.0,0.18,0.04,0.22,0.18,0.22,0.07,0.08,0.15,0.07,0.15,Matches,2021-2022,Paris S-G
Georginio Wijnaldum,nl NED,MF,30,38,22,1996.0,22.2,3.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,3.6,3.6,2.4,6.0,16.0,65.0,60.0,0.14,0.14,0.27,0.14,0.27,0.17,0.11,0.28,0.17,0.28,Matches,2021-2022,Paris S-G
Thilo Kehrer,de GER,DF,24,34,20,1946.0,21.6,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.1,13.0,68.0,40.0,0.09,0.0,0.09,0.09,0.09,0.06,0.0,0.06,0.06,0.06,Matches,2021-2022,Paris S-G
Ángel Di María,ar ARG,FW,33,31,22,1904.0,21.2,5.0,8.0,13.0,5.0,0.0,0.0,2.0,0.0,6.4,6.4,8.7,15.0,79.0,122.0,255.0,0.24,0.38,0.61,0.24,0.61,0.3,0.41,0.71,0.3,0.71,Matches,2021-2022,Paris S-G
Ander Herrera,es ESP,MF,31,28,19,1633.0,18.1,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,0.9,0.9,1.5,2.5,12.0,116.0,34.0,0.22,0.11,0.33,0.22,0.33,0.06,0.1,0.16,0.06,0.16,Matches,2021-2022,Paris S-G
Mauro Icardi,ar ARG,FW,28,30,13,1319.0,14.7,5.0,0.0,5.0,4.0,1.0,1.0,1.0,0.0,6.0,6.0,0.7,6.7,6.0,11.0,56.0,0.34,0.0,0.34,0.27,0.27,0.5,0.06,0.56,0.5,0.56,Matches,2021-2022,Paris S-G
Leandro Paredes,ar ARG,MF,27,22,15,1273.0,14.1,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,0.4,0.4,0.4,0.8,8.0,70.0,4.0,0.07,0.14,0.21,0.07,0.21,0.03,0.03,0.06,0.03,0.06,Matches,2021-2022,Paris S-G
Abdou Diallo,sn SEN,DF,25,16,14,1221.0,13.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.7,0.8,16.0,53.0,40.0,0.0,0.07,0.07,0.0,0.07,0.01,0.06,0.07,0.01,0.07,Matches,2021-2022,Paris S-G
Juan Bernat,es ESP,"DF,MF",28,16,12,999.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.7,0.8,20.0,30.0,85.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.07,0.01,0.07,Matches,2021-2022,Paris S-G
Julian Draxler,de GER,"MF,FW",27,24,8,901.0,10.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.6,1.6,2.4,4.0,16.0,40.0,56.0,0.2,0.1,0.3,0.2,0.3,0.21,0.32,0.53,0.21,0.53,Matches,2021-2022,Paris S-G
Sergio Ramos,es ESP,DF,35,13,9,846.0,9.4,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,1.8,1.8,0.0,1.8,8.0,61.0,5.0,0.21,0.0,0.21,0.21,0.21,0.2,0.0,0.2,0.2,0.2,Matches,2021-2022,Paris S-G
Junior Dina Ebimbe,fr FRA,MF,20,14,6,485.0,5.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.2,8.0,22.0,13.0,0.0,0.19,0.19,0.0,0.19,0.05,0.02,0.07,0.05,0.07,Matches,2021-2022,Paris S-G
Colin Dagba,fr FRA,DF,22,6,4,379.0,4.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,7.0,6.0,24.0,0.0,0.24,0.24,0.0,0.24,0.0,0.05,0.05,0.0,0.05,Matches,2021-2022,Paris S-G
Xavi Simons,nl NED,"FW,MF",18,9,3,353.0,3.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,3.0,3.0,5.0,0.0,0.25,0.25,0.0,0.25,0.14,0.08,0.22,0.14,0.22,Matches,2021-2022,Paris S-G
Rafinha,br BRA,"FW,MF",28,5,3,220.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,6.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.12,0.09,0.12,Matches,2021-2022,Paris S-G
Edouard Michut,fr FRA,MF,18,7,1,187.0,2.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,1.0,6.0,2.0,0.0,0.48,0.48,0.0,0.48,0.0,0.08,0.08,0.0,0.08,Matches,2021-2022,Paris S-G
Arnaud Kalimuendo,fr FRA,FW,19,3,1,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Paris S-G
Ismaël Gharbi,es ESP,FW,17,4,0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Paris S-G
El Chadaille Bitshiabu,fr FRA,DF,16,3,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Paris S-G
Sergio Rico,es ESP,GK,27,1,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Paris S-G
Pablo Sarabia,es ESP,FW,29,2,0,22.0,0.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,4.09,0.0,4.09,4.09,4.09,4.16,0.0,4.16,4.16,4.16,Matches,2021-2022,Paris S-G
Sekou Yansané,gn GUI,FW,18,1,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Paris S-G
Nathan Bitumazala,fr FRA,MF,18,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Paris S-G
Layvin Kurzawa,fr FRA,DF,28,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2021-2022,Paris S-G
