Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Luigi Sepe,it ITA,GK,29,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Parma
Jasmin Kurtić,si SVN,MF,31,36,33,2906.0,32.3,4.0,0.0,4.0,4.0,0.0,0.0,5.0,0.0,3.7,3.7,2.2,5.9,53.0,143.0,78.0,0.12,0.0,0.12,0.12,0.12,0.12,0.07,0.19,0.12,0.19,Matches,2020-2021,Parma
Juraj Kucka,sk SVK,"MF,FW",33,28,28,2334.0,25.9,7.0,2.0,9.0,3.0,4.0,4.0,8.0,0.0,7.1,4.0,2.0,5.9,35.0,77.0,117.0,0.27,0.08,0.35,0.12,0.19,0.27,0.08,0.35,0.15,0.23,Matches,2020-2021,Parma
Hernani,br BRA,MF,26,35,28,2289.0,25.4,7.0,3.0,10.0,6.0,1.0,1.0,11.0,0.0,3.4,2.6,2.7,5.3,51.0,116.0,85.0,0.28,0.12,0.39,0.24,0.35,0.14,0.11,0.25,0.11,0.22,Matches,2020-2021,Parma
Riccardo Gagliolo,se SWE,DF,30,30,23,2058.0,22.9,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,3.2,3.2,1.2,4.4,37.0,118.0,34.0,0.09,0.09,0.17,0.09,0.17,0.15,0.06,0.2,0.15,0.2,Matches,2020-2021,Parma
Gervinho,ci CIV,FW,33,27,25,2021.0,22.5,5.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,3.5,3.5,2.2,5.7,84.0,53.0,163.0,0.22,0.04,0.27,0.22,0.27,0.16,0.1,0.26,0.16,0.26,Matches,2020-2021,Parma
Andreas Cornelius,dk DEN,FW,27,30,22,1971.0,21.9,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,2.9,2.9,3.5,6.4,12.0,45.0,135.0,0.05,0.18,0.23,0.05,0.23,0.14,0.17,0.3,0.14,0.3,Matches,2020-2021,Parma
Yordan Osorio,ve VEN,DF,26,24,22,1899.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.1,0.8,11.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.04,0.04,Matches,2020-2021,Parma
Giuseppe Pezzella,it ITA,DF,22,24,21,1828.0,20.3,1.0,4.0,5.0,1.0,0.0,0.0,7.0,0.0,0.2,0.2,3.2,3.4,58.0,69.0,114.0,0.05,0.2,0.25,0.05,0.25,0.01,0.16,0.17,0.01,0.17,Matches,2020-2021,Parma
Gastón Brugman,uy URU,MF,27,28,22,1703.0,18.9,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.2,1.2,2.5,3.6,22.0,111.0,17.0,0.05,0.05,0.11,0.05,0.11,0.06,0.14,0.2,0.06,0.2,Matches,2020-2021,Parma
Bruno Alves,pt POR,DF,38,19,18,1632.0,18.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.4,0.4,0.1,0.6,0.0,50.0,6.0,0.06,0.0,0.06,0.06,0.06,0.02,0.01,0.03,0.02,0.03,Matches,2020-2021,Parma
Yann Karamoh,fr FRA,"FW,MF",22,26,18,1445.0,16.1,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,4.2,4.2,1.8,6.0,45.0,33.0,116.0,0.25,0.06,0.31,0.25,0.31,0.29,0.12,0.41,0.29,0.41,Matches,2020-2021,Parma
Simone Iacoponi,it ITA,DF,33,18,15,1373.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.1,0.1,0.0,0.1,7.0,57.0,18.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,2020-2021,Parma
Maxime Busi,be BEL,DF,20,26,13,1344.0,14.9,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,1.2,1.6,28.0,66.0,63.0,0.0,0.13,0.13,0.0,0.13,0.04,0.09,0.12,0.04,0.12,Matches,2020-2021,Parma
Alberto Grassi,it ITA,"MF,DF",25,23,13,1177.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.4,0.8,13.0,34.0,30.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.06,0.04,0.06,Matches,2020-2021,Parma
Mattia Bani,it ITA,DF,26,15,14,1145.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.6,0.6,0.4,1.0,5.0,32.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,Matches,2020-2021,Parma
Simon Sohm,ch SUI,MF,19,21,10,1092.0,12.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.2,0.8,13.0,33.0,18.0,0.08,0.0,0.08,0.08,0.08,0.06,0.02,0.08,0.06,0.08,Matches,2020-2021,Parma
Vincent Laurini,fr FRA,DF,31,14,10,870.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,11.0,37.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,Matches,2020-2021,Parma
Andrea Conti,it ITA,DF,26,11,9,809.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.5,1.0,20.0,42.0,21.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.11,0.06,0.11,Matches,2020-2021,Parma
Valentin Mihaila,ro ROU,"FW,MF",20,17,5,787.0,8.7,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,2.7,2.7,0.3,3.0,30.0,9.0,60.0,0.46,0.0,0.46,0.46,0.46,0.35,0.04,0.38,0.35,0.38,Matches,2020-2021,Parma
Dennis Man,ro ROU,"FW,MF",21,14,8,699.0,7.8,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,2.5,2.5,0.5,3.0,22.0,38.0,56.0,0.26,0.13,0.39,0.26,0.39,0.33,0.06,0.39,0.33,0.39,Matches,2020-2021,Parma
Juan Brunetta,ar ARG,"FW,MF",23,14,6,637.0,7.1,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,0.9,0.9,0.9,1.8,23.0,20.0,34.0,0.42,0.28,0.71,0.42,0.71,0.17,0.17,0.34,0.17,0.34,Matches,2020-2021,Parma
Graziano Pellè,it ITA,FW,35,13,6,614.0,6.8,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.6,1.6,1.9,3.5,3.0,9.0,38.0,0.15,0.29,0.44,0.15,0.44,0.23,0.28,0.51,0.23,0.51,Matches,2020-2021,Parma
Roberto Inglese,it ITA,FW,28,14,6,576.0,6.4,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,1.6,2.4,1.0,9.0,31.0,0.0,0.31,0.31,0.0,0.31,0.13,0.24,0.37,0.13,0.37,Matches,2020-2021,Parma
Daan Dierckx,be BEL,DF,17,8,7,546.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Parma
