Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Franco Vázquez,ar ARG,"MF,FW",33,38,37,3307.0,36.7,11.0,7.0,18.0,5.0,6.0,7.0,7.0,0.0,12.9,7.5,4.9,12.4,107.0,282.0,273.0,0.3,0.19,0.49,0.14,0.33,0.37,0.14,0.51,0.21,0.36,Matches,2022-2023,Parma
Enrico Del Prato,it ITA,DF,22,37,36,3236.0,36.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,0.9,0.9,1.9,2.7,34.0,216.0,90.0,0.08,0.0,0.08,0.08,0.08,0.03,0.06,0.08,0.03,0.08,Matches,2022-2023,Parma
Nahuel Estévez,ar ARG,MF,26,39,32,2798.0,31.1,1.0,2.0,3.0,1.0,0.0,0.0,7.0,1.0,1.6,1.6,2.0,3.6,11.0,144.0,41.0,0.03,0.06,0.1,0.03,0.1,0.06,0.07,0.12,0.06,0.12,Matches,2022-2023,Parma
Yordan Osorio,ve VEN,DF,28,29,28,2471.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.3,10.0,57.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,2022-2023,Parma
Lautaro Valenti,ar ARG,DF,23,26,26,2261.0,25.1,1.0,3.0,4.0,1.0,0.0,0.0,6.0,1.0,1.5,1.5,0.8,2.3,23.0,97.0,34.0,0.04,0.12,0.16,0.04,0.16,0.07,0.03,0.1,0.07,0.1,Matches,2022-2023,Parma
Adrian Bernabe,es ESP,MF,21,31,27,2257.0,25.1,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,2.3,2.3,3.1,5.4,53.0,180.0,80.0,0.04,0.12,0.16,0.04,0.16,0.1,0.13,0.23,0.1,0.23,Matches,2022-2023,Parma
Stanko Jurić,hr CRO,MF,25,33,24,2071.0,23.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.1,1.1,1.3,2.4,14.0,82.0,39.0,0.04,0.0,0.04,0.04,0.04,0.05,0.06,0.12,0.05,0.12,Matches,2022-2023,Parma
Dennis Man,ro ROU,"FW,MF",23,30,22,1760.0,19.6,6.0,2.0,8.0,5.0,1.0,1.0,1.0,0.0,5.4,4.6,3.0,7.6,72.0,116.0,182.0,0.31,0.1,0.41,0.26,0.36,0.29,0.16,0.45,0.25,0.41,Matches,2022-2023,Parma
Gianluigi Buffon,it ITA,GK,44,18,18,1649.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Parma
Adrian Benedyczak,pl POL,"FW,MF",21,35,20,1625.0,18.1,9.0,1.0,10.0,9.0,0.0,0.0,2.0,0.0,4.1,4.1,1.5,5.7,24.0,45.0,112.0,0.5,0.06,0.55,0.5,0.55,0.26,0.1,0.35,0.26,0.35,Matches,2022-2023,Parma
Jayden Oosterwolde,nl NED,DF,21,19,17,1569.0,17.4,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.6,0.6,0.8,1.4,60.0,90.0,57.0,0.06,0.0,0.06,0.06,0.06,0.04,0.05,0.08,0.04,0.08,Matches,2022-2023,Parma
Simon Sohm,ch SUI,"MF,FW",21,30,18,1566.0,17.4,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.7,0.7,2.4,3.1,33.0,88.0,97.0,0.0,0.29,0.29,0.0,0.29,0.04,0.16,0.2,0.04,0.2,Matches,2022-2023,Parma
Leandro Chichizola,ar ARG,GK,32,18,17,1531.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Parma
