Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Péter Gulácsi,hu HUN,GK,28,39,39,3495.0,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2018-2019,RB Leipzig
Ibrahima Konaté,fr FRA,DF,19,37,35,3184.0,35.4,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,2.2,2.2,0.4,2.6,37.0,123.0,5.0,0.06,0.03,0.08,0.06,0.08,0.07,0.01,0.09,0.07,0.09,Matches,2018-2019,RB Leipzig
Yussuf Poulsen,dk DEN,FW,24,41,33,3141.0,34.9,18.0,5.0,23.0,18.0,0.0,0.0,3.0,0.0,13.1,12.8,4.3,17.1,56.0,65.0,272.0,0.52,0.14,0.66,0.52,0.66,0.46,0.15,0.61,0.45,0.6,Matches,2018-2019,RB Leipzig
Marcel Sabitzer,at AUT,"MF,FW",24,40,34,3103.0,34.5,4.0,4.0,8.0,4.0,0.0,0.0,10.0,0.0,5.4,5.4,5.6,11.0,49.0,179.0,204.0,0.12,0.12,0.23,0.12,0.23,0.18,0.19,0.38,0.18,0.38,Matches,2018-2019,RB Leipzig
Marcel Halstenberg,de GER,DF,26,37,33,3100.0,34.4,4.0,8.0,12.0,1.0,3.0,3.0,4.0,0.0,3.8,2.2,8.1,10.3,62.0,143.0,162.0,0.12,0.23,0.35,0.03,0.26,0.13,0.28,0.41,0.08,0.35,Matches,2018-2019,RB Leipzig
Timo Werner,de GER,FW,22,35,33,2907.0,32.3,19.0,7.0,26.0,19.0,0.0,1.0,1.0,0.0,17.6,16.8,5.5,22.4,107.0,59.0,310.0,0.59,0.22,0.8,0.59,0.8,0.61,0.19,0.8,0.58,0.77,Matches,2018-2019,RB Leipzig
Willi Orban,hu HUN,DF,25,33,32,2868.0,31.9,4.0,1.0,5.0,4.0,0.0,0.0,6.0,0.0,4.9,4.9,0.6,5.5,11.0,106.0,12.0,0.13,0.03,0.16,0.13,0.16,0.18,0.02,0.2,0.18,0.2,Matches,2018-2019,RB Leipzig
Konrad Laimer,at AUT,MF,21,41,30,2797.0,31.1,2.0,3.0,5.0,2.0,0.0,0.0,9.0,0.0,3.3,3.3,3.3,6.6,50.0,124.0,134.0,0.06,0.1,0.16,0.06,0.16,0.12,0.12,0.25,0.12,0.25,Matches,2018-2019,RB Leipzig
Kevin Kampl,si SVN,MF,27,36,32,2791.0,31.0,2.0,6.0,8.0,2.0,0.0,0.0,5.0,0.0,2.4,2.4,5.0,7.4,98.0,224.0,92.0,0.06,0.19,0.26,0.06,0.26,0.09,0.19,0.28,0.09,0.28,Matches,2018-2019,RB Leipzig
Lukas Klostermann,de GER,DF,22,35,28,2601.0,28.9,5.0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,2.2,2.2,2.0,4.2,48.0,90.0,117.0,0.17,0.1,0.28,0.17,0.28,0.09,0.08,0.17,0.09,0.17,Matches,2018-2019,RB Leipzig
Diego Demme,de GER,"MF,DF",26,34,29,2522.0,28.0,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,3.0,3.4,56.0,217.0,43.0,0.0,0.11,0.11,0.0,0.11,0.02,0.12,0.14,0.02,0.14,Matches,2018-2019,RB Leipzig
Dayot Upamecano,fr FRA,DF,19,22,20,1854.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.1,1.1,0.1,1.2,15.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07,Matches,2018-2019,RB Leipzig
Nordi Mukiele,fr FRA,DF,20,28,20,1728.0,19.2,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,2.0,2.5,46.0,94.0,70.0,0.05,0.05,0.1,0.05,0.1,0.03,0.11,0.14,0.03,0.14,Matches,2018-2019,RB Leipzig
