Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
David Raum,de GER,DF,25,40,40,3549.0,39.4,3.0,11.0,14.0,3.0,0.0,0.0,8.0,0.0,1.0,1.0,10.5,11.5,89.0,153.0,282.0,0.08,0.28,0.36,0.08,0.36,0.03,0.28,0.31,0.03,0.31,Matches,2023-2024,RB Leipzig
Xavi Simons,nl NED,"MF,FW",20,43,41,3441.0,38.2,10.0,13.0,23.0,9.0,1.0,2.0,12.0,1.0,9.5,7.9,11.2,19.2,178.0,218.0,254.0,0.26,0.34,0.6,0.24,0.58,0.26,0.31,0.57,0.22,0.53,Matches,2023-2024,RB Leipzig
Loïs Openda,be BEL,FW,23,45,42,3423.0,38.0,28.0,7.0,35.0,26.0,2.0,3.0,5.0,0.0,25.6,23.2,6.4,29.6,101.0,55.0,266.0,0.74,0.18,0.92,0.68,0.87,0.71,0.18,0.89,0.64,0.82,Matches,2023-2024,RB Leipzig
Xaver Schlager,at AUT,MF,25,40,38,3289.0,36.5,1.0,7.0,8.0,1.0,0.0,0.0,10.0,0.0,1.1,1.1,3.3,4.5,85.0,257.0,48.0,0.03,0.19,0.22,0.03,0.22,0.03,0.1,0.13,0.03,0.13,Matches,2023-2024,RB Leipzig
Benjamin Henrichs,de GER,"DF,MF",26,42,37,3281.0,36.5,1.0,8.0,9.0,1.0,0.0,0.0,7.0,0.0,2.7,2.7,5.5,8.2,62.0,142.0,180.0,0.03,0.22,0.25,0.03,0.25,0.08,0.17,0.25,0.08,0.25,Matches,2023-2024,RB Leipzig
Castello Lukeba,fr FRA,DF,20,41,33,2972.0,33.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.8,0.8,0.1,1.0,31.0,119.0,10.0,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,Matches,2023-2024,RB Leipzig
Mohamed Simakan,fr FRA,DF,23,42,31,2852.0,31.7,3.0,3.0,6.0,3.0,0.0,0.0,12.0,0.0,4.6,4.6,3.3,7.9,39.0,123.0,85.0,0.09,0.09,0.19,0.09,0.19,0.15,0.11,0.26,0.15,0.26,Matches,2023-2024,RB Leipzig
Janis Blaswich,de GER,GK,32,27,27,2430.0,27.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,3.0,0.0,0.0,0.04,0.04,0.0,0.04,0.0,0.01,0.01,0.0,0.01,Matches,2023-2024,RB Leipzig
Benjamin Šeško,si SVN,FW,20,42,22,2057.0,22.9,18.0,2.0,20.0,18.0,0.0,0.0,1.0,0.0,10.5,10.5,1.2,11.7,28.0,28.0,120.0,0.79,0.09,0.88,0.79,0.88,0.49,0.06,0.54,0.49,0.54,Matches,2023-2024,RB Leipzig
Lukas Klostermann,de GER,DF,27,34,21,1978.0,22.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,0.4,1.2,15.0,95.0,13.0,0.05,0.0,0.05,0.05,0.05,0.04,0.02,0.06,0.04,0.06,Matches,2023-2024,RB Leipzig
Amadou Haidara,ml MLI,"MF,DF",25,27,23,1871.0,20.8,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.3,1.3,1.9,3.1,9.0,112.0,13.0,0.1,0.05,0.14,0.1,0.14,0.06,0.09,0.16,0.06,0.16,Matches,2023-2024,RB Leipzig
Willi Orban,hu HUN,DF,30,22,21,1852.0,20.6,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,0.5,1.1,7.0,103.0,10.0,0.05,0.0,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05,Matches,2023-2024,RB Leipzig
Kevin Kampl,si SVN,MF,32,35,18,1753.0,19.5,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.2,0.2,2.3,2.5,37.0,105.0,28.0,0.05,0.1,0.15,0.05,0.15,0.01,0.12,0.14,0.01,0.14,Matches,2023-2024,RB Leipzig
Dani Olmo,es ESP,MF,25,25,20,1707.0,19.0,8.0,5.0,13.0,7.0,1.0,1.0,1.0,0.0,4.2,4.2,5.7,9.9,71.0,78.0,126.0,0.42,0.26,0.69,0.37,0.63,0.23,0.32,0.55,0.23,0.55,Matches,2023-2024,RB Leipzig
Yussuf Poulsen,dk DEN,"FW,MF",29,38,18,1701.0,18.9,5.0,3.0,8.0,5.0,0.0,0.0,4.0,1.0,6.3,6.3,1.8,8.1,14.0,19.0,90.0,0.26,0.16,0.42,0.26,0.42,0.36,0.1,0.47,0.36,0.47,Matches,2023-2024,RB Leipzig
Péter Gulácsi,hu HUN,GK,33,18,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,RB Leipzig
Christoph Baumgartner,at AUT,MF,23,40,11,1304.0,14.5,5.0,1.0,6.0,5.0,0.0,0.0,3.0,0.0,4.5,4.5,1.7,6.1,41.0,52.0,90.0,0.35,0.07,0.41,0.35,0.41,0.32,0.12,0.43,0.32,0.43,Matches,2023-2024,RB Leipzig
Nicolas Seiwald,at AUT,MF,22,27,11,1144.0,12.7,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.4,7.0,37.0,5.0,0.0,0.16,0.16,0.0,0.16,0.0,0.03,0.03,0.0,0.03,Matches,2023-2024,RB Leipzig
Emil Forsberg,se SWE,"MF,FW",31,22,12,956.0,10.6,4.0,1.0,5.0,4.0,0.0,1.0,1.0,0.0,2.2,1.4,1.3,2.7,14.0,36.0,53.0,0.38,0.09,0.47,0.38,0.47,0.23,0.13,0.36,0.15,0.28,Matches,2023-2024,RB Leipzig
Timo Werner,de GER,"FW,MF",27,14,4,392.0,4.4,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,2.5,1.7,0.0,1.7,13.0,6.0,37.0,0.46,0.23,0.69,0.23,0.46,0.86,0.01,0.88,0.59,0.6,Matches,2023-2024,RB Leipzig
Fabio Carvalho,pt POR,MF,20,15,3,371.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.6,10.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.1,0.08,0.18,0.1,0.18,Matches,2023-2024,RB Leipzig
Elif Elmas,mk MKD,MF,23,16,2,287.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.1,0.9,10.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.25,0.04,0.29,0.25,0.29,Matches,2023-2024,RB Leipzig
Christopher Lenz,de GER,DF,28,8,2,230.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,2023-2024,RB Leipzig
El Chadaille Bitshiabu,fr FRA,DF,18,6,0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,RB Leipzig
Jonathan Norbye,no NOR,MF,16,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,RB Leipzig
Nuha Jatta,gm GAM,MF,17,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,RB Leipzig
