Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Catena,es ESP,DF,25,42,40,3702.0,41.1,3.0,1.0,4.0,3.0,0.0,0.0,12.0,1.0,0.07,0.02,0.1,0.07,0.1,Matches,2020-2021,Rayo Vallecano
Álvaro García,es ESP,MF,27,41,39,3425.0,38.1,2.0,9.0,11.0,2.0,0.0,0.0,7.0,0.0,0.05,0.24,0.29,0.05,0.29,Matches,2020-2021,Rayo Vallecano
Fran Garcia,es ESP,DF,20,39,38,3390.0,37.7,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,0.05,0.05,0.11,0.05,0.11,Matches,2020-2021,Rayo Vallecano
Luis Advíncula,pe PER,DF,30,40,34,2981.0,33.1,1.0,4.0,5.0,1.0,0.0,0.0,7.0,1.0,0.03,0.12,0.15,0.03,0.15,Matches,2020-2021,Rayo Vallecano
Óscar Trejo,ar ARG,"MF,FW",32,41,34,2801.0,31.1,4.0,1.0,5.0,1.0,3.0,3.0,14.0,0.0,0.13,0.03,0.16,0.03,0.06,Matches,2020-2021,Rayo Vallecano
Stole Dimitrievski,mk MKD,GK,26,30,30,2672.0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Rayo Vallecano
Óscar Valentín,es ESP,MF,25,36,31,2664.0,29.6,1.0,0.0,1.0,1.0,0.0,0.0,13.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,2020-2021,Rayo Vallecano
Santi Comesaña,es ESP,MF,23,39,28,2642.0,29.4,3.0,0.0,3.0,3.0,0.0,0.0,8.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,2020-2021,Rayo Vallecano
Isaac Palazón Camacho,es ESP,MF,25,43,29,2590.0,28.8,9.0,3.0,12.0,7.0,2.0,2.0,7.0,0.0,0.31,0.1,0.42,0.24,0.35,Matches,2020-2021,Rayo Vallecano
Esteban Saveljich,me MNE,DF,29,28,25,2196.0,24.4,1.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,0.04,0.0,0.04,0.04,0.04,Matches,2020-2021,Rayo Vallecano
Andrés Martín,es ESP,"MF,FW",21,40,18,1867.0,20.7,6.0,6.0,12.0,6.0,0.0,0.0,3.0,0.0,0.29,0.29,0.58,0.29,0.58,Matches,2020-2021,Rayo Vallecano
Yacine Qasmi,ma MAR,FW,29,39,19,1804.0,20.0,5.0,3.0,8.0,4.0,1.0,1.0,4.0,0.0,0.25,0.15,0.4,0.2,0.35,Matches,2020-2021,Rayo Vallecano
José Pozo,es ESP,"MF,FW",24,34,21,1741.0,19.3,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,0.16,0.05,0.21,0.16,0.21,Matches,2020-2021,Rayo Vallecano
Emiliano Velázquez,uy URU,DF,26,25,20,1652.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Rayo Vallecano
Antonio Cortés,es ESP,"FW,MF",20,30,16,1448.0,16.1,7.0,0.0,7.0,7.0,0.0,0.0,2.0,0.0,0.44,0.0,0.44,0.44,0.44,Matches,2020-2021,Rayo Vallecano
Mario Suárez,es ESP,MF,33,31,14,1270.0,14.1,2.0,0.0,2.0,1.0,1.0,1.0,7.0,1.0,0.14,0.0,0.14,0.07,0.07,Matches,2020-2021,Rayo Vallecano
Mario Hernández,es ESP,DF,21,16,12,1203.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Rayo Vallecano
Bebé,cv CPV,"MF,FW",30,27,12,1064.0,11.8,5.0,2.0,7.0,5.0,0.0,0.0,3.0,0.0,0.42,0.17,0.59,0.42,0.59,Matches,2020-2021,Rayo Vallecano
