Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Florian Lejeune,fr FRA,DF,33,38,38,3415.0,37.9,2.0,3.0,5.0,2.0,0.0,0.0,9.0,0.0,3.6,3.6,1.9,5.4,21.0,143.0,5.0,0.05,0.08,0.13,0.05,0.13,0.1,0.05,0.15,0.1,0.15,Matches,2024-2025,Rayo Vallecano
Andrei Ratiu,ro ROU,DF,26,36,34,3084.0,34.3,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,1.8,1.8,5.7,7.5,122.0,145.0,167.0,0.06,0.09,0.15,0.06,0.15,0.05,0.17,0.22,0.05,0.22,Matches,2024-2025,Rayo Vallecano
Augusto Batalla,ar ARG,GK,28,32,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Rayo Vallecano
Jorge de Frutos,es ESP,"FW,MF",27,39,32,2645.0,29.4,8.0,3.0,11.0,8.0,0.0,0.0,4.0,1.0,6.3,6.3,3.4,9.8,77.0,44.0,201.0,0.27,0.1,0.37,0.27,0.37,0.23,0.12,0.35,0.23,0.35,Matches,2024-2025,Rayo Vallecano
Álvaro García,es ESP,"FW,MF",31,37,29,2640.0,29.3,4.0,5.0,9.0,4.0,0.0,0.0,4.0,0.0,7.6,7.6,5.0,12.6,68.0,71.0,245.0,0.14,0.17,0.31,0.14,0.31,0.27,0.18,0.44,0.27,0.44,Matches,2024-2025,Rayo Vallecano
Pep Chavarría,es ESP,"DF,FW",26,36,28,2607.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.2,1.2,1.9,3.1,59.0,114.0,133.0,0.0,0.03,0.03,0.0,0.03,0.04,0.07,0.11,0.04,0.11,Matches,2024-2025,Rayo Vallecano
Pathé Ciss,sn SEN,"MF,DF",30,35,26,2252.0,25.0,4.0,2.0,6.0,4.0,0.0,0.0,12.0,1.0,1.8,1.7,1.1,2.8,19.0,128.0,12.0,0.16,0.08,0.24,0.16,0.24,0.08,0.05,0.12,0.07,0.12,Matches,2024-2025,Rayo Vallecano
Isaac Palazón Camacho,es ESP,"MF,FW",29,38,25,2226.0,24.7,4.0,5.0,9.0,4.0,0.0,0.0,7.0,0.0,4.7,4.7,4.4,9.2,30.0,117.0,123.0,0.16,0.2,0.36,0.16,0.36,0.2,0.18,0.38,0.2,0.38,Matches,2024-2025,Rayo Vallecano
Abdul Mumin,gh GHA,DF,26,25,25,2107.0,23.4,2.0,1.0,3.0,2.0,0.0,0.0,6.0,1.0,0.6,0.6,0.2,0.8,12.0,40.0,6.0,0.09,0.04,0.13,0.09,0.13,0.03,0.01,0.03,0.03,0.03,Matches,2024-2025,Rayo Vallecano
Óscar Valentín,es ESP,MF,29,36,20,2015.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,0.9,1.3,13.0,86.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,Matches,2024-2025,Rayo Vallecano
Adri Embarba,es ESP,"FW,MF",32,39,20,1790.0,19.9,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,2.1,2.1,2.7,4.8,47.0,45.0,114.0,0.1,0.05,0.15,0.1,0.15,0.12,0.15,0.27,0.12,0.27,Matches,2024-2025,Rayo Vallecano
Unai López,es ESP,MF,28,34,23,1760.0,19.6,3.0,1.0,4.0,3.0,0.0,0.0,9.0,1.0,1.6,1.6,1.0,2.6,22.0,112.0,40.0,0.15,0.05,0.2,0.15,0.2,0.08,0.05,0.14,0.08,0.14,Matches,2024-2025,Rayo Vallecano
Iván Balliu,al ALB,DF,32,29,16,1532.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.5,8.0,46.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,2024-2025,Rayo Vallecano
Pedro Díaz,es ESP,MF,26,29,15,1455.0,16.2,4.0,0.0,4.0,4.0,0.0,1.0,2.0,0.0,2.4,1.6,2.1,3.7,27.0,62.0,49.0,0.25,0.0,0.25,0.25,0.25,0.18,0.16,0.33,0.12,0.27,Matches,2024-2025,Rayo Vallecano
Aridane Hernández,es ESP,DF,35,18,15,1357.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,0.0,1.0,2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,2024-2025,Rayo Vallecano
Randy Nteka,ao ANG,FW,26,28,19,1348.0,15.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,2.6,2.6,0.5,3.1,10.0,8.0,44.0,0.2,0.0,0.2,0.2,0.2,0.21,0.04,0.25,0.21,0.25,Matches,2024-2025,Rayo Vallecano
Sergio Camello,es ESP,FW,23,25,15,1231.0,13.7,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,4.1,4.1,2.0,6.1,20.0,27.0,68.0,0.22,0.15,0.37,0.22,0.37,0.32,0.16,0.48,0.32,0.48,Matches,2024-2025,Rayo Vallecano
Alfonso Espino,uy URU,DF,32,19,12,1076.0,12.0,1.0,2.0,3.0,1.0,0.0,0.0,7.0,1.0,0.4,0.4,0.6,1.1,10.0,39.0,29.0,0.08,0.17,0.25,0.08,0.25,0.05,0.07,0.12,0.05,0.12,Matches,2024-2025,Rayo Vallecano
Gerard Gumbau,es ESP,MF,29,25,10,1047.0,11.6,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.1,1.1,1.3,2.4,2.0,41.0,21.0,0.0,0.17,0.17,0.0,0.17,0.11,0.14,0.26,0.11,0.26,Matches,2024-2025,Rayo Vallecano
Cárdenas,es ESP,GK,27,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Rayo Vallecano
Óscar Trejo,ar ARG,MF,36,23,10,798.0,8.9,4.0,1.0,5.0,3.0,1.0,1.0,2.0,0.0,0.6,0.6,1.0,1.6,15.0,37.0,28.0,0.45,0.11,0.56,0.34,0.45,0.11,0.18,0.28,0.11,0.28,Matches,2024-2025,Rayo Vallecano
Sergi Guardiola,es ESP,FW,33,19,2,520.0,5.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.4,2.4,0.1,2.5,2.0,3.0,22.0,0.17,0.0,0.17,0.17,0.17,0.59,0.03,0.62,0.59,0.62,Matches,2024-2025,Rayo Vallecano
Pelayo Fernandez,es ESP,DF,21,4,3,235.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Rayo Vallecano
James Rodríguez,co COL,"MF,FW",33,7,2,208.0,2.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.2,0.5,3.0,13.0,7.0,0.0,0.43,0.43,0.0,0.43,0.19,0.11,0.29,0.19,0.29,Matches,2024-2025,Rayo Vallecano
Raúl de Tomás,es ESP,"DF,FW",29,3,1,112.0,1.2,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.61,0.0,1.61,0.8,0.8,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Rayo Vallecano
Etienne Eto'o,cm CMR,FW,21,3,0,56.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.61,0.0,1.61,1.61,1.61,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Rayo Vallecano
Marco de las Sías,es ESP,DF,18,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2024-2025,Rayo Vallecano
Joni Montiel,es ESP,MF,25,1,0,28.0,0.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,3.21,3.21,0.0,3.21,,,,,,Matches,2024-2025,Rayo Vallecano
Diego Méndez,es ESP,MF,20,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2024-2025,Rayo Vallecano
Morro,es ESP,GK,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Rayo Vallecano
Juanpe,es ESP,GK,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Rayo Vallecano
Sergio Lozano,es ESP,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Rayo Vallecano
Adrián Molina,es ESP,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Rayo Vallecano
Miguel Benedi,es ESP,GK,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Rayo Vallecano
