Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Keylor Navas,cr CRC,GK,30,42,42,3780.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Real Madrid
Casemiro,br BRA,MF,25,46,43,3763.0,41.8,7.0,3.0,10.0,7.0,0.0,0.0,12.0,0.0,3.6,3.6,3.9,7.5,29.0,187.0,63.0,0.17,0.07,0.25,0.17,0.25,0.09,0.1,0.19,0.09,0.19,Matches,2017-2018,Real Madrid
Sergio Ramos,es ESP,DF,31,41,41,3639.0,40.4,5.0,1.0,6.0,3.0,2.0,3.0,14.0,2.0,7.9,5.5,2.0,7.5,26.0,193.0,13.0,0.12,0.03,0.16,0.07,0.1,0.22,0.06,0.27,0.15,0.21,Matches,2017-2018,Real Madrid
Raphaël Varane,fr FRA,DF,24,42,42,3620.0,40.2,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.7,1.7,0.6,2.3,17.0,91.0,5.0,0.0,0.05,0.05,0.0,0.05,0.05,0.02,0.06,0.05,0.06,Matches,2017-2018,Real Madrid
Marcelo,br BRA,DF,29,42,40,3488.0,38.8,5.0,9.0,14.0,5.0,0.0,0.0,4.0,1.0,2.7,2.7,8.9,11.6,140.0,344.0,356.0,0.13,0.24,0.38,0.13,0.38,0.08,0.25,0.33,0.08,0.33,Matches,2017-2018,Real Madrid
Cristiano Ronaldo,pt POR,FW,32,42,40,3487.0,38.7,42.0,7.0,48.0,35.0,7.0,8.0,5.0,1.0,40.0,33.6,8.3,41.9,182.0,131.0,461.0,1.08,0.18,1.25,0.9,1.07,1.04,0.22,1.26,0.88,1.09,Matches,2017-2018,Real Madrid
Toni Kroos,de GER,MF,27,42,39,3472.0,38.6,5.0,8.0,13.0,5.0,0.0,0.0,4.0,0.0,2.7,2.7,7.7,10.3,89.0,394.0,88.0,0.13,0.22,0.35,0.13,0.35,0.07,0.21,0.29,0.07,0.29,Matches,2017-2018,Real Madrid
Dani Carvajal,es ESP,DF,25,40,39,3384.0,37.6,0.0,7.0,7.0,0.0,0.0,0.0,17.0,1.0,1.5,1.5,5.5,7.0,98.0,182.0,266.0,0.0,0.2,0.2,0.0,0.2,0.05,0.17,0.22,0.05,0.22,Matches,2017-2018,Real Madrid
Nacho,es ESP,DF,27,41,33,3195.0,35.5,4.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,2.1,2.1,0.4,2.6,25.0,84.0,85.0,0.11,0.0,0.11,0.11,0.11,0.07,0.01,0.09,0.07,0.09,Matches,2017-2018,Real Madrid
Luka Modrić,hr CRO,MF,31,41,36,3154.0,35.0,2.0,7.0,9.0,2.0,0.0,0.0,5.0,0.0,2.5,2.5,5.6,8.1,104.0,352.0,112.0,0.06,0.21,0.26,0.06,0.26,0.08,0.17,0.25,0.08,0.25,Matches,2017-2018,Real Madrid
Karim Benzema,fr FRA,FW,29,45,37,3069.0,34.1,12.0,10.0,21.0,10.0,2.0,2.0,0.0,0.0,17.1,15.5,7.8,23.3,93.0,116.0,241.0,0.35,0.31,0.65,0.29,0.59,0.56,0.25,0.82,0.51,0.76,Matches,2017-2018,Real Madrid
Marco Asensio,es ESP,"MF,FW",21,52,28,2846.0,31.6,11.0,7.0,16.0,10.0,1.0,1.0,2.0,0.0,5.7,5.7,7.6,13.3,166.0,187.0,261.0,0.35,0.23,0.52,0.32,0.49,0.22,0.3,0.52,0.22,0.52,Matches,2017-2018,Real Madrid
Isco,es ESP,MF,25,47,34,2812.0,31.2,9.0,9.0,18.0,8.0,1.0,1.0,2.0,0.0,7.7,7.7,8.5,16.2,190.0,301.0,307.0,0.29,0.3,0.6,0.26,0.56,0.28,0.31,0.58,0.28,0.58,Matches,2017-2018,Real Madrid
Lucas Vázquez,es ESP,"MF,DF",26,51,27,2789.0,31.0,8.0,10.0,18.0,7.0,1.0,1.0,4.0,0.0,5.7,5.7,7.9,13.6,88.0,121.0,291.0,0.26,0.33,0.6,0.23,0.57,0.23,0.32,0.55,0.23,0.55,Matches,2017-2018,Real Madrid
Gareth Bale,wls WAL,"FW,MF",28,37,26,2338.0,26.0,20.0,6.0,26.0,18.0,2.0,2.0,7.0,0.0,13.1,12.3,7.4,19.8,83.0,103.0,257.0,0.77,0.24,1.04,0.69,0.96,0.56,0.32,0.88,0.53,0.85,Matches,2017-2018,Real Madrid
Mateo Kovačić,hr CRO,MF,23,35,20,1757.0,19.5,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,0.5,0.9,34.0,101.0,19.0,0.0,0.11,0.11,0.0,0.11,0.03,0.03,0.07,0.03,0.07,Matches,2017-2018,Real Madrid
Theo Hernández,fr FRA,DF,19,23,17,1650.0,18.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,2.0,2.2,56.0,56.0,131.0,0.0,0.06,0.06,0.0,0.06,0.02,0.17,0.18,0.02,0.18,Matches,2017-2018,Real Madrid
Kiko Casilla,es ESP,GK,30,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Real Madrid
Achraf Hakimi,ma MAR,DF,18,16,13,1225.0,13.6,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.3,0.3,0.6,0.9,36.0,39.0,88.0,0.15,0.07,0.22,0.15,0.22,0.03,0.06,0.09,0.03,0.09,Matches,2017-2018,Real Madrid
Marcos Llorente,es ESP,MF,22,20,11,1067.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,8.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,Matches,2017-2018,Real Madrid
Jesús Vallejo,es ESP,DF,20,12,12,1002.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Real Madrid
Borja Mayoral,es ESP,FW,20,24,9,936.0,10.4,7.0,2.0,9.0,7.0,0.0,0.0,0.0,0.0,4.5,4.5,1.3,5.9,9.0,16.0,24.0,0.67,0.19,0.87,0.67,0.87,0.83,0.25,1.08,0.83,1.08,Matches,2017-2018,Real Madrid
Dani Ceballos,es ESP,"MF,FW",20,22,9,903.0,10.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.9,18.0,51.0,25.0,0.2,0.0,0.2,0.2,0.2,0.12,0.04,0.16,0.12,0.16,Matches,2017-2018,Real Madrid
Álvaro Tejero,es ESP,DF,21,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2017-2018,Real Madrid
Luca Zidane,fr FRA,GK,19,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Real Madrid
Óscar Rodríguez Arnaiz,es ESP,"FW,MF",19,1,1,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2017-2018,Real Madrid
Franchu Feuillassier,ar ARG,MF,19,2,1,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2017-2018,Real Madrid
Luismi Quezada,do DOM,DF,21,1,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2017-2018,Real Madrid
Jaime Seoane,es ESP,MF,20,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2017-2018,Real Madrid
Moha,es ESP,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2017-2018,Real Madrid
Manu Hernando,es ESP,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2017-2018,Real Madrid
Cristo González,es ESP,"FW,MF",19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2017-2018,Real Madrid
