Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Federico Valverde,uy URU,"MF,DF",26-308,58,55,4938.0,54.9,9.0,8.0,17.0,9.0,0.0,0.0,5.0,0.0,3.0,3.0,5.8,8.8,90.0,304.0,99.0,0.16,0.15,0.31,0.16,0.31,0.06,0.12,0.19,0.06,0.19,Matches,2024-2025,Real Madrid
Kylian Mbappé,fr FRA,FW,26-157,55,51,4532.0,50.4,42.0,4.0,46.0,35.0,7.0,10.0,3.0,1.0,35.0,27.0,8.7,35.7,203.0,175.0,503.0,0.83,0.08,0.91,0.7,0.77,0.79,0.19,0.98,0.61,0.8,Matches,2024-2025,Real Madrid
Jude Bellingham,eng ENG,MF,21-331,51,48,4247.0,47.2,14.0,13.0,27.0,13.0,1.0,2.0,11.0,2.0,15.2,13.7,6.1,19.7,97.0,277.0,190.0,0.3,0.28,0.57,0.28,0.55,0.38,0.15,0.53,0.34,0.5,Matches,2024-2025,Real Madrid
Aurélien Tchouaméni,fr FRA,"MF,DF",25-119,51,49,4233.0,47.0,2.0,1.0,3.0,2.0,0.0,0.0,10.0,0.0,1.9,1.9,0.8,2.7,24.0,202.0,15.0,0.04,0.02,0.06,0.04,0.06,0.05,0.02,0.07,0.05,0.07,Matches,2024-2025,Real Madrid
Thibaut Courtois,be BEL,GK,33-015,46,46,4200.0,46.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Real Madrid
Antonio Rüdiger,de GER,DF,32-084,49,45,4098.0,45.5,3.0,0.0,3.0,3.0,0.0,0.0,7.0,1.0,3.4,3.4,0.8,4.2,27.0,129.0,6.0,0.07,0.0,0.07,0.07,0.07,0.09,0.02,0.11,0.09,0.11,Matches,2024-2025,Real Madrid
Vinicius Júnior,br BRA,FW,24-318,51,43,4073.0,45.3,20.0,14.0,34.0,17.0,3.0,5.0,15.0,1.0,17.0,13.3,11.8,25.1,251.0,113.0,378.0,0.44,0.31,0.75,0.38,0.68,0.46,0.32,0.77,0.36,0.67,Matches,2024-2025,Real Madrid
Rodrygo,br BRA,"MF,FW",24-137,50,38,3275.0,36.4,13.0,9.0,22.0,13.0,0.0,0.0,0.0,0.0,6.3,6.2,5.4,11.5,158.0,146.0,353.0,0.36,0.25,0.6,0.36,0.6,0.2,0.17,0.37,0.2,0.37,Matches,2024-2025,Real Madrid
Lucas Vázquez,es ESP,DF,33-329,50,36,3232.0,35.9,2.0,7.0,9.0,2.0,0.0,0.0,9.0,1.0,2.0,2.0,5.7,7.7,44.0,124.0,241.0,0.06,0.19,0.25,0.06,0.25,0.06,0.19,0.25,0.06,0.25,Matches,2024-2025,Real Madrid
Raúl Asencio,es ESP,DF,22-102,41,32,3063.0,34.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,0.2,0.2,0.6,0.8,8.0,34.0,6.0,0.0,0.06,0.06,0.0,0.06,0.01,0.02,0.03,0.01,0.03,Matches,2024-2025,Real Madrid
Fran Garcia,es ESP,DF,25-285,47,28,2873.0,31.9,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,2.1,2.9,86.0,132.0,197.0,0.0,0.13,0.13,0.0,0.13,0.03,0.08,0.11,0.03,0.11,Matches,2024-2025,Real Madrid
Luka Modrić,hr CRO,MF,39-259,56,27,2854.0,31.7,4.0,9.0,13.0,4.0,0.0,0.0,11.0,0.0,1.7,1.7,8.5,10.2,73.0,271.0,77.0,0.13,0.28,0.41,0.13,0.41,0.06,0.31,0.37,0.06,0.37,Matches,2024-2025,Real Madrid
Ferland Mendy,fr FRA,DF,29-352,31,28,2238.0,24.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.5,0.5,0.7,1.2,18.0,59.0,62.0,0.0,0.08,0.08,0.0,0.08,0.02,0.03,0.06,0.02,0.06,Matches,2024-2025,Real Madrid
