Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Álex Remiro,es ESP,GK,28,49,49,4385.0,48.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Real Sociedad
Martín Zubimendi,es ESP,MF,24,45,41,3735.0,41.5,4.0,1.0,5.0,4.0,0.0,0.0,5.0,0.0,3.3,3.3,1.6,4.9,40.0,195.0,35.0,0.1,0.02,0.12,0.1,0.12,0.09,0.04,0.13,0.09,0.13,Matches,2023-2024,Real Sociedad
Igor Zubeldia,es ESP,DF,26,43,42,3690.0,41.0,0.0,2.0,2.0,0.0,0.0,0.0,15.0,1.0,0.9,0.9,1.2,2.1,32.0,162.0,0.0,0.0,0.05,0.05,0.0,0.05,0.03,0.03,0.06,0.03,0.06,Matches,2023-2024,Real Sociedad
Robin Le Normand,es ESP,DF,26,43,41,3620.0,40.2,2.0,0.0,2.0,2.0,0.0,0.0,17.0,0.0,1.7,1.7,0.1,1.8,23.0,121.0,1.0,0.05,0.0,0.05,0.05,0.05,0.05,0.0,0.05,0.05,0.05,Matches,2023-2024,Real Sociedad
Mikel Merino,es ESP,MF,27,45,39,3596.0,40.0,8.0,5.0,13.0,8.0,0.0,0.0,14.0,0.0,5.4,5.4,2.6,8.0,32.0,211.0,117.0,0.2,0.13,0.33,0.2,0.33,0.16,0.08,0.23,0.16,0.23,Matches,2023-2024,Real Sociedad
Brais Méndez,es ESP,MF,26,44,38,3305.0,36.7,8.0,9.0,17.0,8.0,0.0,3.0,8.0,0.0,6.1,5.3,4.9,10.3,54.0,149.0,140.0,0.22,0.25,0.46,0.22,0.46,0.19,0.15,0.34,0.16,0.31,Matches,2023-2024,Real Sociedad
Mikel Oyarzabal,es ESP,"FW,MF",26,44,33,3050.0,33.9,14.0,3.0,17.0,11.0,3.0,3.0,3.0,0.0,11.3,9.8,2.2,11.9,36.0,47.0,168.0,0.41,0.09,0.5,0.32,0.41,0.37,0.07,0.44,0.32,0.39,Matches,2023-2024,Real Sociedad
Hamari Traoré,ml MLI,DF,31,40,35,3031.0,33.7,0.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,0.6,0.6,1.8,2.4,56.0,161.0,101.0,0.0,0.06,0.06,0.0,0.06,0.02,0.06,0.08,0.02,0.08,Matches,2023-2024,Real Sociedad
Takefusa Kubo,jp JPN,"FW,MF",22,41,33,2924.0,32.5,7.0,5.0,12.0,7.0,0.0,0.0,3.0,0.0,3.9,3.9,8.6,12.6,167.0,112.0,298.0,0.22,0.15,0.37,0.22,0.37,0.13,0.29,0.42,0.13,0.42,Matches,2023-2024,Real Sociedad
Beñat Turrientes,es ESP,MF,21,41,22,2178.0,24.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.7,1.7,0.8,2.5,30.0,58.0,42.0,0.0,0.04,0.04,0.0,0.04,0.08,0.04,0.12,0.08,0.12,Matches,2023-2024,Real Sociedad
Ander Barrenetxea,es ESP,"FW,MF",21,39,28,2043.0,22.7,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,4.0,4.0,2.5,6.5,78.0,60.0,227.0,0.22,0.09,0.31,0.22,0.31,0.2,0.12,0.32,0.2,0.32,Matches,2023-2024,Real Sociedad
Arsen Zakharyan,ru RUS,"FW,MF",20,40,22,1860.0,20.7,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.7,2.7,2.2,5.0,33.0,60.0,107.0,0.05,0.1,0.15,0.05,0.15,0.17,0.14,0.31,0.17,0.31,Matches,2023-2024,Real Sociedad
Jon Pacheco,es ESP,DF,22,31,18,1842.0,20.5,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,1.1,1.1,0.2,1.4,10.0,61.0,1.0,0.05,0.05,0.1,0.05,0.1,0.06,0.01,0.07,0.06,0.07,Matches,2023-2024,Real Sociedad
Aihen Muñoz,es ESP,DF,25,29,18,1769.0,19.7,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,2.8,3.1,34.0,79.0,39.0,0.0,0.15,0.15,0.0,0.15,0.02,0.16,0.18,0.02,0.18,Matches,2023-2024,Real Sociedad
Kieran Tierney,sct SCO,DF,26,26,17,1474.0,16.4,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.7,0.9,23.0,82.0,42.0,0.0,0.12,0.12,0.0,0.12,0.02,0.05,0.07,0.02,0.07,Matches,2023-2024,Real Sociedad
Javi Galán,es ESP,DF,28,18,17,1432.0,15.9,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.8,0.9,50.0,50.0,73.0,0.0,0.06,0.06,0.0,0.06,0.01,0.06,0.07,0.01,0.07,Matches,2023-2024,Real Sociedad
Umar Sadiq,ng NGA,FW,26,36,15,1371.0,15.2,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,3.7,3.7,1.1,4.8,19.0,13.0,79.0,0.2,0.07,0.26,0.2,0.26,0.28,0.09,0.37,0.28,0.37,Matches,2023-2024,Real Sociedad
