Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Álex Remiro,es ESP,GK,29,49,49,4440.0,49.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Real Sociedad
Martín Zubimendi,es ESP,MF,25,48,44,3954.0,43.9,2.0,1.0,3.0,2.0,0.0,0.0,11.0,0.0,2.9,2.9,1.2,4.0,43.0,218.0,51.0,0.05,0.02,0.07,0.05,0.07,0.07,0.03,0.1,0.07,0.1,Matches,2024-2025,Real Sociedad
Takefusa Kubo,jp JPN,"MF,FW",23,52,40,3474.0,38.6,7.0,4.0,11.0,7.0,0.0,0.0,6.0,0.0,4.4,4.4,6.6,11.0,177.0,150.0,288.0,0.18,0.1,0.28,0.18,0.28,0.13,0.19,0.32,0.13,0.32,Matches,2024-2025,Real Sociedad
Mikel Oyarzabal,es ESP,FW,27,53,42,3431.0,38.1,18.0,8.0,26.0,11.0,7.0,8.0,8.0,1.0,16.3,9.9,3.5,13.4,48.0,41.0,185.0,0.47,0.21,0.68,0.29,0.5,0.49,0.1,0.6,0.3,0.4,Matches,2024-2025,Real Sociedad
Igor Zubeldia,es ESP,DF,27,41,40,3393.0,37.7,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.9,0.9,0.6,1.5,23.0,119.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.04,0.03,0.04,Matches,2024-2025,Real Sociedad
Jon Aramburu,ve VEN,DF,22,49,37,3352.0,37.2,1.0,1.0,2.0,1.0,0.0,0.0,12.0,1.0,0.8,0.8,1.4,2.2,37.0,131.0,68.0,0.03,0.03,0.05,0.03,0.05,0.02,0.04,0.07,0.02,0.07,Matches,2024-2025,Real Sociedad
Sergio Gómez,es ESP,"MF,DF",23,49,35,3299.0,36.7,5.0,7.0,12.0,5.0,0.0,0.0,4.0,0.0,2.3,2.3,9.3,11.6,47.0,107.0,163.0,0.14,0.19,0.33,0.14,0.33,0.07,0.28,0.35,0.07,0.35,Matches,2024-2025,Real Sociedad
Nayef Aguerd,ma MAR,DF,28,36,34,2922.0,32.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.6,2.6,0.2,2.8,26.0,108.0,3.0,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.1,0.09,0.1,Matches,2024-2025,Real Sociedad
Brais Méndez,es ESP,MF,27,44,33,2733.0,30.4,8.0,5.0,13.0,7.0,1.0,1.0,6.0,0.0,6.2,5.4,3.6,9.0,46.0,144.0,135.0,0.26,0.16,0.43,0.23,0.4,0.23,0.13,0.37,0.2,0.34,Matches,2024-2025,Real Sociedad
Luka Sučić,hr CRO,MF,21,40,29,2484.0,27.6,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,4.2,4.2,3.0,7.2,38.0,102.0,67.0,0.11,0.04,0.14,0.11,0.14,0.17,0.12,0.3,0.17,0.3,Matches,2024-2025,Real Sociedad
Javi López,es ESP,DF,22,38,25,2423.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.2,0.2,0.4,0.7,46.0,81.0,78.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,2024-2025,Real Sociedad
Aritz Elustondo,es ESP,DF,30,35,24,2269.0,25.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.2,1.2,0.4,1.6,24.0,78.0,9.0,0.0,0.04,0.04,0.0,0.04,0.05,0.02,0.07,0.05,0.07,Matches,2024-2025,Real Sociedad
Pablo Marín,es ESP,MF,21,38,23,2164.0,24.0,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,2.6,2.6,1.1,3.7,30.0,68.0,62.0,0.08,0.12,0.21,0.08,0.21,0.13,0.05,0.18,0.13,0.18,Matches,2024-2025,Real Sociedad
Aihen Muñoz,es ESP,DF,26,35,25,2163.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.2,0.2,0.5,0.7,39.0,60.0,43.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,2024-2025,Real Sociedad
Ander Barrenetxea,es ESP,"MF,FW",22,47,24,2126.0,23.6,8.0,6.0,14.0,8.0,0.0,0.0,7.0,0.0,3.3,3.3,3.6,6.9,61.0,60.0,194.0,0.34,0.25,0.59,0.34,0.59,0.17,0.19,0.36,0.17,0.36,Matches,2024-2025,Real Sociedad
Sheraldo Becker,sr SUR,"FW,MF",29,36,17,1611.0,17.9,3.0,3.0,6.0,3.0,0.0,0.0,1.0,1.0,2.9,2.9,4.0,6.8,77.0,29.0,167.0,0.17,0.17,0.34,0.17,0.34,0.17,0.24,0.41,0.17,0.41,Matches,2024-2025,Real Sociedad
Orri Steinn Óskarsson,is ISL,FW,19,37,14,1467.0,16.3,7.0,0.0,7.0,7.0,0.0,0.0,2.0,0.0,8.4,8.4,0.7,9.1,7.0,13.0,73.0,0.43,0.0,0.43,0.43,0.43,0.56,0.04,0.61,0.56,0.61,Matches,2024-2025,Real Sociedad
Jon Pacheco,es ESP,DF,23,22,16,1444.0,16.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.3,0.3,0.1,0.4,13.0,39.0,0.0,0.06,0.06,0.12,0.06,0.12,0.02,0.01,0.03,0.02,0.03,Matches,2024-2025,Real Sociedad
Olasagasti,es ESP,MF,23,34,14,1432.0,15.9,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,1.5,1.5,1.4,2.9,13.0,60.0,46.0,0.13,0.13,0.25,0.13,0.25,0.12,0.12,0.24,0.12,0.24,Matches,2024-2025,Real Sociedad
Beñat Turrientes,es ESP,MF,22,31,15,1427.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,0.5,1.2,20.0,62.0,37.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.08,0.05,0.08,Matches,2024-2025,Real Sociedad
Jon Martin,es ESP,DF,18,17,9,1249.0,13.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.2,0.9,5.0,38.0,0.0,0.0,0.07,0.07,0.0,0.07,0.05,0.01,0.07,0.05,0.07,Matches,2024-2025,Real Sociedad
Hamari Traoré,ml MLI,DF,32,13,9,755.0,8.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,12.0,27.0,20.0,0.0,0.12,0.12,0.0,0.12,0.01,0.03,0.04,0.01,0.04,Matches,2024-2025,Real Sociedad
Unai Marrero,es ESP,GK,22,8,8,750.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Real Sociedad
Umar Sadiq,ng NGA,FW,27,11,5,486.0,5.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.6,1.1,6.0,8.0,26.0,0.0,0.19,0.19,0.0,0.19,0.13,0.14,0.28,0.13,0.28,Matches,2024-2025,Real Sociedad
Álvaro Odriozola,es ESP,DF,28,8,5,419.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.1,4.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,2024-2025,Real Sociedad
Arkaitz Mariezkurrena,es ESP,"FW,MF",19,12,1,316.0,3.5,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.1,1.1,3.0,4.0,12.0,0.57,0.0,0.57,0.57,0.57,0.36,0.06,0.41,0.36,0.41,Matches,2024-2025,Real Sociedad
Urko González,es ESP,MF,23,4,4,302.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.21,Matches,2024-2025,Real Sociedad
Jon Magunazelaia,es ESP,MF,23,5,2,191.0,2.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,2.0,3.0,0.47,0.0,0.47,0.47,0.47,0.09,0.03,0.12,0.09,0.12,Matches,2024-2025,Real Sociedad
Luken Beitia,es ESP,DF,20,2,1,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Real Sociedad
Jon Balda,es ESP,DF,22,2,2,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Real Sociedad
Arsen Zakharyan,ru RUS,"MF,FW",21,4,1,81.0,0.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.7,0.9,0.0,3.0,6.0,1.11,1.11,2.22,1.11,2.22,0.22,0.8,1.01,0.22,1.01,Matches,2024-2025,Real Sociedad
Mikel Goti,es ESP,MF,22,1,0,24.0,0.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,3.75,0.0,3.75,3.75,3.75,,,,,,Matches,2024-2025,Real Sociedad
Daniel Díaz,es ESP,MF,18,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Real Sociedad
Iñaki Rupérez,es ESP,DF,21,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2024-2025,Real Sociedad
Mikel Rodriguez,es ESP,MF,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Real Sociedad
Ekain Orobengoa,es ESP,FW,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Real Sociedad
Alex Marchal,es ESP,MF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Real Sociedad
Aitor Fraga,es ESP,GK,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Real Sociedad
Egoitz Arana,es ESP,GK,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Real Sociedad
