Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Romain Métanire,mg MAD,DF,27,40,40,3626.0,40.3,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,2017-2018,Reims
Yunis Abdelhamid,ma MAR,DF,29,38,38,3337.0,37.1,4.0,0.0,4.0,4.0,0.0,0.0,5.0,1.0,0.11,0.0,0.11,0.11,0.11,Matches,2017-2018,Reims
Julian Jeanvier,gn GUI,DF,25,37,37,3302.0,36.7,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.05,0.05,0.11,0.05,0.11,Matches,2017-2018,Reims
Xavier Chavalerin,fr FRA,MF,26,37,37,3290.0,36.6,5.0,2.0,7.0,5.0,0.0,0.0,7.0,0.0,0.14,0.05,0.19,0.14,0.19,Matches,2017-2018,Reims
Pablo Chavarría,ar ARG,"MF,FW",29,40,37,3245.0,36.1,14.0,8.0,22.0,13.0,1.0,1.0,6.0,0.0,0.39,0.22,0.61,0.36,0.58,Matches,2017-2018,Reims
Danilson da Cruz,cv CPV,MF,31,36,36,3193.0,35.5,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,0.06,0.08,0.14,0.06,0.14,Matches,2017-2018,Reims
Edouard Mendy,sn SEN,GK,25,34,34,2989.0,33.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Reims
Jordan Pefok,us USA,FW,21,38,31,2728.0,30.3,18.0,5.0,23.0,16.0,2.0,2.0,4.0,0.0,0.59,0.16,0.76,0.53,0.69,Matches,2017-2018,Reims
Diego,br BRA,"MF,FW",29,35,31,2655.0,29.5,9.0,13.0,22.0,8.0,1.0,1.0,4.0,0.0,0.31,0.44,0.75,0.27,0.71,Matches,2017-2018,Reims
Youssouf Koné,ml MLI,DF,22,20,20,1771.0,19.7,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.05,0.05,0.1,0.05,0.1,Matches,2017-2018,Reims
Remi Oudin,fr FRA,"MF,FW",20,27,20,1718.0,19.1,8.0,6.0,14.0,8.0,0.0,0.0,3.0,0.0,0.42,0.31,0.73,0.42,0.73,Matches,2017-2018,Reims
Anatole Ngamukol,cd COD,"FW,MF",29,29,14,1304.0,14.5,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,2017-2018,Reims
Axel Disasi,fr FRA,DF,19,15,12,1245.0,13.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,2017-2018,Reims
Hassane Kamara,ci CIV,"DF,MF",23,26,11,1236.0,13.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,2017-2018,Reims
Grejohn Kyei,fr FRA,FW,21,31,12,1210.0,13.4,3.0,0.0,3.0,2.0,1.0,1.0,3.0,0.0,0.22,0.0,0.22,0.15,0.15,Matches,2017-2018,Reims
Aly Ndom,fr FRA,MF,21,29,8,983.0,10.9,3.0,1.0,4.0,3.0,0.0,0.0,3.0,2.0,0.27,0.09,0.37,0.27,0.37,Matches,2017-2018,Reims
Samuel Bouhours,fr FRA,DF,30,11,10,863.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Reims
Nolan Mbemba,cg CGO,"MF,DF",22,16,9,820.0,9.1,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.11,0.22,0.33,0.11,0.33,Matches,2017-2018,Reims
Marvin Martin,fr FRA,MF,29,18,9,786.0,8.7,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.11,0.23,0.34,0.11,0.34,Matches,2017-2018,Reims
Johann Carrasso,fr FRA,GK,29,7,6,641.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Reims
Gregory Berthier,fr FRA,FW,21,8,3,280.0,3.1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.32,0.32,0.64,0.32,0.64,Matches,2017-2018,Reims
Nicolas Lemaître,fr FRA,GK,20,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Reims
Lenny Vallier,fr FRA,DF,18,2,2,164.0,1.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.0,0.55,Matches,2017-2018,Reims
Mathieu Cafaro,fr FRA,"FW,MF",20,2,1,101.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Reims
Hendrick Cakin,fr FRA,DF,25,2,1,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Reims
Paul Perrin,fr FRA,MF,21,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Reims
Scott-Beckam Kyei,fr FRA,FW,18,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Reims
Steve Shamal,fr FRA,FW,21,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Reims
Yohan Roche,bj BEN,DF,20,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Reims
Judicaël Boizart,fr FRA,GK,18,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Reims
Moussa Bana,cm CMR,DF,19,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Reims
Logan Costa,cv CPV,DF,16,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Reims
Mouhamadou Drammeh,fr FRA,MF,18,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Reims
