Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Yunis Abdelhamid,ma MAR,DF,31,33,33,3000.0,33.3,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.7,1.7,1.2,2.9,21.0,96.0,6.0,0.09,0.0,0.09,0.09,0.09,0.06,0.04,0.1,0.06,0.1,Matches,2019-2020,Reims
Axel Disasi,fr FRA,DF,21,32,32,2910.0,32.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2.8,2.8,0.4,3.2,42.0,114.0,3.0,0.03,0.0,0.03,0.03,0.03,0.1,0.01,0.12,0.1,0.12,Matches,2019-2020,Reims
Thomas Foket,be BEL,DF,24,32,32,2878.0,32.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,1.3,1.9,69.0,89.0,110.0,0.0,0.03,0.03,0.0,0.03,0.02,0.05,0.07,0.02,0.07,Matches,2019-2020,Reims
Predrag Rajković,rs SRB,GK,23,30,30,2730.0,30.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Reims
Xavier Chavalerin,fr FRA,MF,28,28,28,2537.0,28.2,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,0.9,0.9,3.1,4.0,17.0,112.0,53.0,0.04,0.11,0.14,0.04,0.14,0.04,0.13,0.17,0.04,0.17,Matches,2019-2020,Reims
Hassane Kamara,ci CIV,"DF,FW",25,28,23,2189.0,24.3,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,1.9,1.9,0.6,2.5,85.0,81.0,82.0,0.08,0.0,0.08,0.08,0.08,0.1,0.03,0.13,0.1,0.13,Matches,2019-2020,Reims
Moussa Doumbia,ml MLI,"FW,MF",24,31,26,2043.0,22.7,3.0,1.0,4.0,2.0,1.0,1.0,8.0,1.0,3.4,2.6,2.1,4.7,102.0,79.0,159.0,0.13,0.04,0.18,0.09,0.13,0.18,0.11,0.29,0.14,0.24,Matches,2019-2020,Reims
Boulaye Dia,sn SEN,FW,22,28,23,2023.0,22.5,8.0,1.0,9.0,7.0,1.0,1.0,0.0,0.0,5.7,5.0,2.8,7.8,32.0,21.0,115.0,0.36,0.04,0.4,0.31,0.36,0.29,0.14,0.42,0.25,0.39,Matches,2019-2020,Reims
Alaixys Romao,tg TOG,MF,35,25,24,1985.0,22.1,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.6,0.6,0.6,1.2,14.0,102.0,15.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,2019-2020,Reims
