Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Benjamin André,fr FRA,MF,26,39,39,3491.0,38.8,4.0,3.0,7.0,4.0,0.0,0.0,11.0,1.0,4.3,4.3,1.9,6.2,48.0,234.0,117.0,0.1,0.08,0.18,0.1,0.18,0.13,0.06,0.19,0.13,0.19,Matches,2017-2018,Rennes
Benjamin Bourigeaud,fr FRA,"MF,FW",23,41,39,3471.0,38.6,12.0,8.0,20.0,8.0,4.0,4.0,3.0,0.0,8.8,6.5,8.7,15.1,63.0,170.0,195.0,0.31,0.21,0.52,0.21,0.41,0.26,0.25,0.51,0.19,0.44,Matches,2017-2018,Rennes
Joris Gnagnon,fr FRA,DF,20,41,37,3354.0,37.3,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,2.6,2.6,0.2,2.7,10.0,70.0,7.0,0.05,0.05,0.11,0.05,0.11,0.08,0.01,0.08,0.08,0.08,Matches,2017-2018,Rennes
Tomáš Koubek,cz CZE,GK,24,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Rennes
Hamari Traoré,ml MLI,DF,25,33,33,2937.0,32.6,0.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,0.4,0.4,1.3,1.8,55.0,134.0,90.0,0.0,0.03,0.03,0.0,0.03,0.02,0.05,0.06,0.02,0.06,Matches,2017-2018,Rennes
Jérémy Gélin,fr FRA,"DF,MF",20,33,29,2750.0,30.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.6,0.8,12.0,139.0,7.0,0.0,0.07,0.07,0.0,0.07,0.01,0.02,0.03,0.01,0.03,Matches,2017-2018,Rennes
Ramy Bensebaini,dz ALG,DF,22,33,29,2696.0,30.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,1.3,1.3,2.1,3.4,45.0,107.0,77.0,0.0,0.03,0.03,0.0,0.03,0.05,0.08,0.13,0.05,0.13,Matches,2017-2018,Rennes
Wahbi Khazri,tn TUN,"FW,MF",26,29,28,2332.0,25.9,11.0,4.0,15.0,8.0,3.0,4.0,8.0,1.0,7.8,4.6,3.8,8.4,54.0,64.0,146.0,0.42,0.15,0.58,0.31,0.46,0.36,0.18,0.54,0.22,0.39,Matches,2017-2018,Rennes
James Lea Siliki,cm CMR,MF,21,36,22,2064.0,22.9,3.0,2.0,5.0,3.0,0.0,0.0,7.0,1.0,2.6,2.6,3.0,5.6,47.0,89.0,66.0,0.13,0.09,0.22,0.13,0.22,0.13,0.15,0.28,0.13,0.28,Matches,2017-2018,Rennes
Ismaila Sarr,sn SEN,"FW,MF",19,27,23,1969.0,21.9,5.0,3.0,8.0,5.0,0.0,0.0,3.0,0.0,4.8,4.8,2.8,7.6,80.0,34.0,205.0,0.23,0.14,0.37,0.23,0.37,0.23,0.13,0.37,0.23,0.37,Matches,2017-2018,Rennes
Sanjin Prcić,ba BIH,MF,23,20,19,1655.0,18.4,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.5,0.5,0.4,0.9,16.0,118.0,17.0,0.11,0.11,0.22,0.11,0.22,0.03,0.02,0.05,0.03,0.05,Matches,2017-2018,Rennes
Adrien Hunou,fr FRA,"FW,MF",23,28,18,1585.0,17.6,8.0,1.0,9.0,8.0,0.0,0.0,1.0,0.0,3.9,3.9,0.4,4.4,18.0,33.0,124.0,0.45,0.06,0.51,0.45,0.51,0.24,0.03,0.27,0.24,0.27,Matches,2017-2018,Rennes
