Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Rui Patrício,pt POR,GK,34,51,51,4650.0,51.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Roma
Bryan Cristante,it ITA,"MF,DF",27,53,49,4317.0,48.0,1.0,1.0,2.0,1.0,0.0,1.0,11.0,1.0,4.9,4.1,2.7,6.8,23.0,195.0,48.0,0.02,0.02,0.04,0.02,0.04,0.11,0.06,0.16,0.09,0.15,Matches,2022-2023,Roma
Gianluca Mancini,it ITA,DF,26,51,49,4297.0,47.7,1.0,4.0,5.0,1.0,0.0,0.0,14.0,0.0,3.9,3.9,3.1,7.0,32.0,146.0,24.0,0.02,0.08,0.1,0.02,0.1,0.08,0.07,0.15,0.08,0.15,Matches,2022-2023,Roma
Roger Ibanez,br BRA,DF,23,48,46,4090.0,45.4,3.0,0.0,3.0,3.0,0.0,0.0,16.0,1.0,4.7,4.7,0.8,5.5,32.0,102.0,10.0,0.07,0.0,0.07,0.07,0.07,0.11,0.02,0.13,0.11,0.13,Matches,2022-2023,Roma
Chris Smalling,eng ENG,DF,32,47,43,4008.0,44.5,3.0,1.0,4.0,3.0,0.0,0.0,8.0,0.0,2.0,2.0,1.6,3.7,7.0,68.0,8.0,0.07,0.02,0.09,0.07,0.09,0.05,0.04,0.08,0.05,0.08,Matches,2022-2023,Roma
Lorenzo Pellegrini,it ITA,MF,26,48,45,3840.0,42.7,8.0,9.0,17.0,4.0,4.0,6.0,7.0,0.0,14.4,9.7,9.8,19.5,78.0,143.0,172.0,0.19,0.21,0.4,0.09,0.3,0.35,0.24,0.59,0.24,0.48,Matches,2022-2023,Roma
Tammy Abraham,eng ENG,FW,24,54,35,3181.0,35.3,9.0,8.0,17.0,9.0,0.0,0.0,5.0,0.0,14.5,14.5,5.1,19.6,49.0,69.0,193.0,0.25,0.23,0.48,0.25,0.48,0.43,0.15,0.58,0.43,0.58,Matches,2022-2023,Roma
Nicola Zalewski,pl POL,DF,20,47,35,3174.0,35.3,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.6,1.6,2.3,3.8,125.0,113.0,131.0,0.06,0.03,0.09,0.06,0.09,0.05,0.07,0.11,0.05,0.11,Matches,2022-2023,Roma
Nemanja Matić,rs SRB,MF,33,50,30,3126.0,34.7,2.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,1.1,1.1,3.3,4.4,77.0,220.0,30.0,0.06,0.06,0.12,0.06,0.12,0.03,0.1,0.13,0.03,0.13,Matches,2022-2023,Roma
Leonardo Spinazzola,it ITA,DF,29,40,27,2596.0,28.8,2.0,5.0,7.0,2.0,0.0,0.0,6.0,0.0,1.4,1.4,2.7,4.1,157.0,86.0,149.0,0.07,0.17,0.24,0.07,0.24,0.05,0.1,0.14,0.05,0.14,Matches,2022-2023,Roma
Paulo Dybala,ar ARG,"MF,FW",28,38,29,2494.0,27.7,18.0,7.0,25.0,12.0,6.0,6.0,6.0,0.0,12.4,7.6,9.5,17.1,72.0,112.0,156.0,0.65,0.25,0.9,0.43,0.69,0.47,0.36,0.83,0.29,0.65,Matches,2022-2023,Roma
Stephan El Shaarawy,it ITA,"DF,MF",29,42,20,2197.0,24.4,9.0,2.0,11.0,9.0,0.0,0.0,3.0,0.0,7.8,7.8,2.4,10.1,84.0,86.0,181.0,0.37,0.08,0.45,0.37,0.45,0.35,0.1,0.45,0.35,0.45,Matches,2022-2023,Roma
Zeki Çelik,tr TUR,DF,25,34,22,2032.0,22.6,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.4,0.4,1.7,2.2,35.0,77.0,90.0,0.0,0.04,0.04,0.0,0.04,0.02,0.08,0.1,0.02,0.1,Matches,2022-2023,Roma
