Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Obite N'Dicka,ci CIV,DF,24,51,51,4590.0,51.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.8,2.9,33.0,147.0,6.0,0.02,0.02,0.04,0.02,0.04,0.04,0.02,0.06,0.04,0.06,Matches,2024-2025,Roma
Mile Svilar,rs SRB,GK,24,51,51,4590.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Roma
Angeliño,es ESP,DF,27,51,49,4347.0,48.3,4.0,5.0,9.0,4.0,0.0,0.0,2.0,0.0,2.1,2.1,7.4,9.5,82.0,210.0,264.0,0.08,0.1,0.19,0.08,0.19,0.05,0.16,0.21,0.05,0.21,Matches,2024-2025,Roma
Gianluca Mancini,it ITA,DF,28,46,45,3953.0,43.9,3.0,1.0,4.0,3.0,0.0,0.0,8.0,0.0,2.3,2.3,2.0,4.3,49.0,161.0,34.0,0.07,0.02,0.09,0.07,0.09,0.05,0.04,0.1,0.05,0.1,Matches,2024-2025,Roma
Manu Koné,fr FRA,MF,23,45,41,3430.0,38.1,2.0,3.0,5.0,2.0,0.0,0.0,9.0,0.0,3.5,3.5,2.6,6.1,87.0,173.0,63.0,0.05,0.08,0.13,0.05,0.13,0.1,0.07,0.17,0.1,0.17,Matches,2024-2025,Roma
Artem Dovbyk,ua UKR,FW,27,45,36,3176.0,35.3,17.0,3.0,20.0,14.0,3.0,3.0,1.0,0.0,14.3,12.1,3.4,15.5,29.0,18.0,209.0,0.48,0.09,0.57,0.4,0.48,0.42,0.1,0.52,0.36,0.46,Matches,2024-2025,Roma
Zeki Çelik,tr TUR,DF,27,43,38,3165.0,35.2,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,0.8,0.8,2.1,2.9,44.0,158.0,126.0,0.03,0.09,0.11,0.03,0.11,0.02,0.06,0.09,0.02,0.09,Matches,2024-2025,Roma
Bryan Cristante,it ITA,MF,29,38,28,2543.0,28.3,4.0,2.0,6.0,4.0,0.0,0.0,10.0,1.0,2.5,2.5,1.5,4.0,28.0,167.0,47.0,0.14,0.07,0.21,0.14,0.21,0.09,0.05,0.14,0.09,0.14,Matches,2024-2025,Roma
Matìas Soulé,ar ARG,"MF,DF",21,39,24,2219.0,24.7,5.0,5.0,10.0,5.0,0.0,0.0,4.0,0.0,4.5,4.5,5.4,9.9,112.0,116.0,221.0,0.2,0.2,0.41,0.2,0.41,0.18,0.22,0.41,0.18,0.41,Matches,2024-2025,Roma
