Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Mahdi Camara,fr FRA,"MF,DF",22,38,37,3320.0,36.9,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,3.2,3.2,1.3,4.5,55.0,141.0,57.0,0.08,0.05,0.14,0.08,0.14,0.09,0.04,0.12,0.09,0.12,Matches,2020-2021,Saint-Etienne
Denis Bouanga,ga GAB,"MF,FW",25,36,30,2720.0,30.2,7.0,4.0,11.0,4.0,3.0,4.0,7.0,0.0,12.8,9.6,3.1,12.7,85.0,51.0,222.0,0.23,0.13,0.36,0.13,0.26,0.42,0.1,0.53,0.32,0.42,Matches,2020-2021,Saint-Etienne
Jessy Moulin,fr FRA,GK,34,29,29,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Saint-Etienne
Yvan Neyou,cm CMR,MF,23,31,29,2438.0,27.1,1.0,2.0,3.0,1.0,0.0,0.0,9.0,0.0,1.3,1.3,2.2,3.5,45.0,118.0,35.0,0.04,0.07,0.11,0.04,0.11,0.05,0.08,0.13,0.05,0.13,Matches,2020-2021,Saint-Etienne
Harold Moukoudi,cm CMR,DF,22,26,26,2276.0,25.3,3.0,1.0,4.0,3.0,0.0,0.0,6.0,0.0,2.2,2.2,0.9,3.1,13.0,63.0,5.0,0.12,0.04,0.16,0.12,0.16,0.09,0.04,0.12,0.09,0.12,Matches,2020-2021,Saint-Etienne
Timothée Kolodziejczak,fr FRA,DF,28,25,24,2126.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.8,0.8,0.4,1.2,12.0,89.0,5.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.05,0.04,0.05,Matches,2020-2021,Saint-Etienne
Miguel Trauco,pe PER,DF,27,27,23,2125.0,23.6,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,3.1,3.3,18.0,90.0,82.0,0.0,0.08,0.08,0.0,0.08,0.01,0.14,0.15,0.01,0.15,Matches,2020-2021,Saint-Etienne
Mathieu Debuchy,fr FRA,DF,35,26,25,2103.0,23.4,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,2.7,2.7,1.5,4.2,33.0,80.0,91.0,0.09,0.04,0.13,0.09,0.13,0.12,0.07,0.18,0.12,0.18,Matches,2020-2021,Saint-Etienne
Arnaud Nordin,fr FRA,"MF,FW",22,33,21,1842.0,20.5,4.0,4.0,8.0,4.0,0.0,0.0,1.0,0.0,3.9,3.9,2.9,6.9,55.0,46.0,101.0,0.2,0.2,0.39,0.2,0.39,0.2,0.15,0.35,0.2,0.35,Matches,2020-2021,Saint-Etienne
Romain Hamouma,fr FRA,"FW,MF",33,29,19,1769.0,19.7,6.0,1.0,7.0,6.0,0.0,0.0,5.0,0.0,4.8,4.7,3.5,8.1,62.0,59.0,165.0,0.31,0.05,0.36,0.31,0.36,0.24,0.18,0.42,0.24,0.41,Matches,2020-2021,Saint-Etienne
Adil Aouchiche,fr FRA,"MF,FW",18,35,21,1750.0,19.4,2.0,5.0,7.0,2.0,0.0,0.0,2.0,0.0,3.4,3.4,5.8,9.2,56.0,87.0,92.0,0.1,0.26,0.36,0.1,0.36,0.17,0.3,0.48,0.17,0.48,Matches,2020-2021,Saint-Etienne
Lucas Gourna-Douath,fr FRA,MF,16,30,13,1327.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.5,0.5,0.1,0.6,17.0,50.0,6.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,2020-2021,Saint-Etienne
Pape Abou Cissé,sn SEN,DF,24,15,15,1320.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.4,1.4,0.1,1.5,2.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.11,0.1,0.11,Matches,2020-2021,Saint-Etienne
Zaydou Youssouf,km COM,MF,21,30,15,1319.0,14.7,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.4,1.4,0.6,2.0,14.0,48.0,28.0,0.07,0.07,0.14,0.07,0.14,0.1,0.05,0.14,0.1,0.14,Matches,2020-2021,Saint-Etienne
Wahbi Khazri,tn TUN,FW,29,23,16,1211.0,13.5,7.0,1.0,8.0,4.0,3.0,3.0,5.0,1.0,4.8,2.4,1.5,3.9,36.0,56.0,64.0,0.52,0.07,0.59,0.3,0.37,0.36,0.11,0.48,0.18,0.3,Matches,2020-2021,Saint-Etienne
Saidou Sow,gn GUI,DF,18,16,11,1090.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,2.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,2020-2021,Saint-Etienne
Charles Abi,fr FRA,"FW,MF",20,25,10,998.0,11.1,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,2.1,2.1,0.3,2.4,13.0,21.0,48.0,0.27,0.18,0.45,0.27,0.45,0.21,0.03,0.24,0.21,0.24,Matches,2020-2021,Saint-Etienne
Aimen Moueffek,fr FRA,"DF,MF",19,20,7,833.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.4,0.4,17.0,33.0,12.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.05,0.01,0.05,Matches,2020-2021,Saint-Etienne
Etienne Green,eng ENG,GK,20,8,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Saint-Etienne
Ryad Boudebouz,dz ALG,"MF,FW",30,15,8,711.0,7.9,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,2.1,0.5,2.8,3.3,20.0,49.0,36.0,0.0,0.13,0.13,0.0,0.13,0.29,0.39,0.68,0.07,0.46,Matches,2020-2021,Saint-Etienne
Kévin Monnet-Paquet,fr FRA,"MF,FW",31,17,8,624.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,12.0,11.0,46.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,Matches,2020-2021,Saint-Etienne
Yvann Macon,fr FRA,DF,21,6,6,539.0,6.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.1,16.0,17.0,17.0,0.17,0.17,0.33,0.17,0.33,0.01,0.01,0.02,0.01,0.02,Matches,2020-2021,Saint-Etienne
Nelson Sissoko,fr FRA,DF,23,9,6,474.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,10.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,2020-2021,Saint-Etienne
Gabriel Silva,br BRA,DF,29,4,4,355.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,4.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,2020-2021,Saint-Etienne
Anthony Modeste,fr FRA,"FW,MF",32,8,3,323.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.2,0.9,3.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.23,0.06,0.29,0.23,0.29,Matches,2020-2021,Saint-Etienne
Wesley Fofana,fr FRA,DF,19,4,3,315.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,2020-2021,Saint-Etienne
Panagiotis Retsos,gr GRE,DF,21,4,4,272.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.1,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04,Matches,2020-2021,Saint-Etienne
Maxence Rivera,fr FRA,"MF,FW",18,18,1,243.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,6.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches,2020-2021,Saint-Etienne
Jean-Philippe Krasso,ci CIV,FW,23,6,2,223.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,1.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.12,0.03,0.15,0.12,0.15,Matches,2020-2021,Saint-Etienne
Stefan Bajic,fr FRA,GK,18,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Saint-Etienne
Baptiste Gabard,fr FRA,MF,20,2,2,133.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,2020-2021,Saint-Etienne
Bilal Benkhedim,fr FRA,FW,19,3,1,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,2020-2021,Saint-Etienne
Marvin Tshibuabua,fr FRA,DF,18,1,0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.32,0.32,0.32,Matches,2020-2021,Saint-Etienne
Yanis Lhery,fr FRA,MF,17,1,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,2020-2021,Saint-Etienne
Tyron Tormin,fr FRA,"FW,MF",19,3,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,2020-2021,Saint-Etienne
Yann M'Vila,fr FRA,MF,30,1,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Saint-Etienne
