Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Jean-Philippe Krasso,ci CIV,FW,25,35,33,2981.0,33.1,17.0,12.0,29.0,10.0,7.0,8.0,5.0,1.0,0.51,0.36,0.88,0.3,0.66,Matches,2022-2023,Saint-Etienne
Léo Pétrot,fr FRA,DF,25,30,28,2537.0,28.2,1.0,3.0,4.0,1.0,0.0,0.0,3.0,1.0,0.04,0.11,0.14,0.04,0.14,Matches,2022-2023,Saint-Etienne
Victor Lobry,fr FRA,MF,27,37,25,2191.0,24.3,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.04,0.08,0.12,0.04,0.12,Matches,2022-2023,Saint-Etienne
Benjamin Bouchouari,ma MAR,MF,20,34,26,2185.0,24.3,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,2022-2023,Saint-Etienne
Ibrahima Wadji,sn SEN,FW,27,31,23,2172.0,24.1,12.0,2.0,14.0,11.0,1.0,1.0,3.0,0.0,0.5,0.08,0.58,0.46,0.54,Matches,2022-2023,Saint-Etienne
Anthony Briançon,fr FRA,DF,27,25,25,2089.0,23.2,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.04,0.0,0.04,0.04,0.04,Matches,2022-2023,Saint-Etienne
Mathieu Cafaro,fr FRA,"MF,FW",25,33,26,2064.0,22.9,5.0,3.0,8.0,5.0,0.0,0.0,7.0,1.0,0.22,0.13,0.35,0.22,0.35,Matches,2022-2023,Saint-Etienne
Saidou Sow,gn GUI,DF,20,26,19,1941.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Saint-Etienne
Gautier Larsonneur,fr FRA,GK,25,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Saint-Etienne
Niels Nkounkou,fr FRA,"MF,DF",21,20,19,1681.0,18.7,6.0,7.0,13.0,6.0,0.0,0.0,4.0,0.0,0.32,0.37,0.7,0.32,0.7,Matches,2022-2023,Saint-Etienne
Dennis Appiah,fr FRA,"DF,MF",30,19,19,1675.0,18.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,2022-2023,Saint-Etienne
Thomas Monconduit,fr FRA,MF,31,24,17,1616.0,18.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,2022-2023,Saint-Etienne
Jimmy Giraudon,fr FRA,DF,30,17,15,1342.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Saint-Etienne
Dylan Chambost,fr FRA,"MF,FW",24,29,17,1296.0,14.4,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,0.21,0.21,0.42,0.21,0.42,Matches,2022-2023,Saint-Etienne
Aimen Moueffek,fr FRA,MF,21,24,12,1153.0,12.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.08,0.08,0.16,0.08,0.16,Matches,2022-2023,Saint-Etienne
Yvann Macon,fr FRA,"MF,DF",23,13,10,915.0,10.2,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,0.3,0.1,0.39,0.3,0.39,Matches,2022-2023,Saint-Etienne
Lamine Fomba,fr FRA,MF,24,16,10,900.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,2022-2023,Saint-Etienne
Matthieu Dreyer,fr FRA,GK,33,10,9,866.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Saint-Etienne
Mickael Nade,fr FRA,DF,23,16,8,850.0,9.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.11,0.0,0.11,0.11,0.11,Matches,2022-2023,Saint-Etienne
Lenny Pintor,fr FRA,"MF,FW",21,22,7,738.0,8.2,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.12,0.0,0.12,0.0,0.0,Matches,2022-2023,Saint-Etienne
Louis Mouton,fr FRA,MF,20,16,6,713.0,7.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,2022-2023,Saint-Etienne
Etienne Green,eng ENG,GK,22,8,8,667.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Saint-Etienne
Sergi Palencia,es ESP,"DF,MF",26,9,7,608.0,6.8,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches,2022-2023,Saint-Etienne
