Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Lucas Ocampos,ar ARG,FW,29,45,42,3603.0,40.0,5.0,4.0,9.0,4.0,1.0,1.0,12.0,1.0,6.1,5.3,5.0,10.3,130.0,143.0,293.0,0.12,0.1,0.22,0.1,0.2,0.17,0.14,0.31,0.15,0.29,Matches,2023-2024,Sevilla
Sergio Ramos,es ESP,DF,37,37,37,3300.0,36.7,7.0,1.0,8.0,5.0,2.0,2.0,10.0,1.0,3.7,2.9,0.3,3.2,14.0,98.0,6.0,0.19,0.03,0.22,0.14,0.16,0.11,0.01,0.12,0.09,0.1,Matches,2023-2024,Sevilla
Youssef En-Nesyri,ma MAR,FW,26,41,36,3233.0,35.9,20.0,2.0,22.0,19.0,1.0,1.0,4.0,0.0,12.6,11.8,1.3,13.1,20.0,21.0,96.0,0.56,0.06,0.61,0.53,0.58,0.37,0.04,0.41,0.35,0.38,Matches,2023-2024,Sevilla
Boubakary Soumaré,fr FRA,MF,24,34,30,2682.0,29.8,0.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.9,1.0,33.0,114.0,26.0,0.0,0.03,0.03,0.0,0.03,0.0,0.03,0.03,0.0,0.03,Matches,2023-2024,Sevilla
Loïc Bade,fr FRA,DF,23,33,31,2614.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.9,0.9,0.5,1.3,15.0,76.0,3.0,0.0,0.03,0.03,0.0,0.03,0.03,0.02,0.05,0.03,0.05,Matches,2023-2024,Sevilla
Ørjan Nyland,no NOR,GK,32,28,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,2023-2024,Sevilla
Adrià Pedrosa,es ESP,"DF,FW",25,40,24,2490.0,27.7,2.0,4.0,6.0,2.0,0.0,0.0,2.0,0.0,0.8,0.8,3.2,4.0,49.0,67.0,129.0,0.07,0.14,0.22,0.07,0.22,0.03,0.14,0.17,0.03,0.17,Matches,2023-2024,Sevilla
Jesús Navas,es ESP,DF,37,36,30,2417.0,26.9,0.0,2.0,2.0,0.0,0.0,0.0,7.0,1.0,0.1,0.1,2.2,2.3,59.0,112.0,158.0,0.0,0.07,0.07,0.0,0.07,0.01,0.09,0.09,0.01,0.09,Matches,2023-2024,Sevilla
Nemanja Gudelj,rs SRB,DF,31,30,27,2399.0,26.7,3.0,1.0,4.0,3.0,0.0,0.0,8.0,0.0,1.2,1.2,0.5,1.7,30.0,89.0,5.0,0.11,0.04,0.15,0.11,0.15,0.05,0.02,0.07,0.05,0.07,Matches,2023-2024,Sevilla
Óliver Torres,es ESP,"FW,MF",28,35,24,2100.0,23.3,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,2.3,2.8,41.0,102.0,118.0,0.0,0.09,0.09,0.0,0.09,0.03,0.12,0.15,0.03,0.15,Matches,2023-2024,Sevilla
