Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
James Ward-Prowse,eng ENG,MF,27,45,44,3973.0,44.1,11.0,5.0,16.0,8.0,3.0,5.0,7.0,0.0,5.7,2.5,6.2,8.7,19.0,189.0,58.0,0.25,0.11,0.36,0.18,0.29,0.15,0.17,0.32,0.07,0.23,Matches,2022-2023,Southampton
Gavin Bazunu,ie IRL,GK,20,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Southampton
Kyle Walker-Peters,eng ENG,DF,25,38,35,3041.0,33.8,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,1.4,2.5,102.0,97.0,114.0,0.03,0.0,0.03,0.03,0.03,0.03,0.05,0.08,0.03,0.08,Matches,2022-2023,Southampton
Mohamed Elyounoussi,no NOR,"MF,FW",27,38,30,2492.0,27.7,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,3.5,3.5,2.1,5.6,56.0,50.0,98.0,0.04,0.07,0.11,0.04,0.11,0.15,0.09,0.23,0.15,0.23,Matches,2022-2023,Southampton
Roméo Lavia,be BEL,MF,18,34,29,2480.0,27.6,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,0.4,0.4,0.6,1.0,22.0,102.0,14.0,0.04,0.04,0.07,0.04,0.07,0.02,0.03,0.04,0.02,0.04,Matches,2022-2023,Southampton
Mohammed Salisu,gh GHA,DF,23,28,27,2437.0,27.1,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,1.5,1.5,0.6,2.1,5.0,82.0,4.0,0.0,0.04,0.04,0.0,0.04,0.07,0.03,0.1,0.07,0.1,Matches,2022-2023,Southampton
Che Adams,sct SCO,FW,26,35,27,2365.0,26.3,10.0,3.0,13.0,10.0,0.0,0.0,1.0,0.0,6.7,6.7,2.8,9.5,17.0,34.0,115.0,0.38,0.11,0.49,0.38,0.49,0.3,0.13,0.43,0.3,0.43,Matches,2022-2023,Southampton
Romain Perraud,fr FRA,DF,24,36,26,2349.0,26.1,4.0,2.0,6.0,4.0,0.0,0.0,6.0,0.0,1.3,1.3,1.9,3.2,33.0,62.0,122.0,0.15,0.08,0.23,0.15,0.23,0.06,0.09,0.16,0.06,0.16,Matches,2022-2023,Southampton
Armel Bella Kotchap,de GER,DF,20,26,26,2014.0,22.4,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,2.1,9.0,39.0,2.0,0.0,0.09,0.09,0.0,0.09,0.05,0.05,0.1,0.05,0.1,Matches,2022-2023,Southampton
Lyanco,br BRA,DF,25,30,20,1975.0,21.9,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,0.6,0.6,0.5,1.0,13.0,35.0,4.0,0.05,0.09,0.14,0.05,0.14,0.04,0.04,0.08,0.04,0.08,Matches,2022-2023,Southampton
Adam Armstrong,eng ENG,"FW,MF",25,39,21,1955.0,21.7,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,2.1,2.1,1.3,3.3,39.0,16.0,70.0,0.14,0.05,0.18,0.14,0.18,0.14,0.09,0.23,0.14,0.23,Matches,2022-2023,Southampton
Jan Bednarek,pl POL,DF,26,23,22,1855.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,0.1,0.5,8.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,2022-2023,Southampton
