Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Mateus Fernandes,pt POR,MF,20.0,42,39,3349.0,37.2,3.0,6.0,9.0,3.0,0.0,0.0,8.0,0.0,4.0,4.0,3.0,7.0,76.0,145.0,108.0,0.08,0.16,0.24,0.08,0.24,0.12,0.09,0.22,0.12,0.22,Matches,2024-2025,Southampton
Taylor Harwood-Bellis,eng ENG,DF,22.0,38,36,3185.0,35.4,3.0,0.0,3.0,3.0,0.0,0.0,9.0,0.0,1.8,1.8,1.0,2.8,29.0,125.0,9.0,0.08,0.0,0.08,0.08,0.08,0.06,0.03,0.09,0.06,0.09,Matches,2024-2025,Southampton
Kyle Walker-Peters,eng ENG,DF,27.0,35,35,3098.0,34.4,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,2.8,3.6,114.0,139.0,144.0,0.0,0.06,0.06,0.0,0.06,0.03,0.09,0.11,0.03,0.11,Matches,2024-2025,Southampton
Aaron Ramsdale,eng ENG,GK,26.0,32,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Southampton
Jan Bednarek,pl POL,DF,28.0,34,34,2856.0,31.7,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,0.7,0.7,0.5,1.2,5.0,60.0,2.0,0.06,0.0,0.06,0.06,0.06,0.02,0.02,0.04,0.02,0.04,Matches,2024-2025,Southampton
Joe Aribo,ng NGA,"MF,DF",28.0,37,26,2451.0,27.2,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,2.7,2.7,1.6,4.3,36.0,75.0,65.0,0.11,0.0,0.11,0.11,0.11,0.12,0.07,0.19,0.12,0.19,Matches,2024-2025,Southampton
Flynn Downes,eng ENG,MF,25.0,29,26,2252.0,25.0,1.0,0.0,1.0,1.0,0.0,0.0,13.0,0.0,0.6,0.6,1.1,1.7,29.0,66.0,29.0,0.04,0.0,0.04,0.04,0.04,0.03,0.05,0.07,0.03,0.07,Matches,2024-2025,Southampton
Tyler Dibling,eng ENG,"FW,MF",18.0,38,24,2213.0,24.6,4.0,2.0,6.0,4.0,0.0,0.0,7.0,0.0,2.5,2.5,1.5,4.1,69.0,64.0,96.0,0.16,0.08,0.24,0.16,0.24,0.12,0.07,0.2,0.12,0.2,Matches,2024-2025,Southampton
Lesley Ugochukwu,fr FRA,MF,20.0,31,23,2016.0,22.4,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,0.9,0.9,1.0,1.9,29.0,49.0,20.0,0.04,0.09,0.13,0.04,0.13,0.05,0.06,0.1,0.05,0.1,Matches,2024-2025,Southampton
Ryan Manning,ie IRL,"DF,MF",28.0,27,21,1732.0,19.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,3.2,3.6,14.0,35.0,74.0,0.0,0.05,0.05,0.0,0.05,0.02,0.2,0.22,0.02,0.22,Matches,2024-2025,Southampton
Cameron Archer,eng ENG,FW,23.0,40,16,1698.0,18.9,5.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,5.7,4.9,0.5,5.4,22.0,14.0,66.0,0.27,0.0,0.27,0.27,0.27,0.36,0.03,0.39,0.31,0.34,Matches,2024-2025,Southampton
Yukinari Sugawara,jp JPN,"DF,MF",24.0,32,17,1677.0,18.6,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,2.2,2.7,33.0,72.0,78.0,0.05,0.05,0.11,0.05,0.11,0.03,0.13,0.16,0.03,0.16,Matches,2024-2025,Southampton
James Bree,eng ENG,DF,26.0,23,19,1585.0,17.6,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.1,0.1,0.9,1.0,13.0,34.0,43.0,0.11,0.06,0.17,0.11,0.17,0.01,0.08,0.08,0.01,0.08,Matches,2024-2025,Southampton
Kamaldeen Sulemana,gh GHA,"FW,MF",22.0,30,19,1581.0,17.6,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,1.5,1.5,1.0,2.5,63.0,27.0,87.0,0.11,0.17,0.28,0.11,0.28,0.1,0.06,0.16,0.1,0.16,Matches,2024-2025,Southampton
Adam Armstrong,eng ENG,"FW,MF",27.0,23,17,1430.0,15.9,3.0,2.0,5.0,2.0,1.0,2.0,6.0,0.0,3.3,2.3,1.2,3.5,25.0,21.0,79.0,0.19,0.13,0.31,0.13,0.25,0.24,0.09,0.32,0.17,0.25,Matches,2024-2025,Southampton
Jack Stephens,eng ENG,DF,30.0,19,17,1389.0,15.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.6,0.6,0.2,0.7,14.0,63.0,2.0,0.06,0.0,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,Matches,2024-2025,Southampton
Paul Onuachu,ng NGA,FW,30.0,28,11,1116.0,12.4,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,3.6,3.6,0.5,4.1,7.0,13.0,40.0,0.32,0.08,0.4,0.32,0.4,0.31,0.04,0.35,0.31,0.35,Matches,2024-2025,Southampton
Nathan Wood-Gordon,eng ENG,DF,22.0,15,12,1061.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.3,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,2024-2025,Southampton
William Smallbone,ie IRL,MF,24.0,20,6,723.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.7,1.3,5.0,27.0,25.0,0.12,0.0,0.12,0.12,0.12,0.07,0.1,0.17,0.07,0.17,Matches,2024-2025,Southampton
Alex McCarthy,eng ENG,GK,34.0,8,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Southampton
Welington,br BRA,DF,23.0,11,7,572.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,5.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,2024-2025,Southampton
Charlie Taylor,eng ENG,DF,30.0,10,5,536.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,3.0,9.0,7.0,0.0,0.34,0.34,0.0,0.34,0.0,0.02,0.02,0.0,0.02,Matches,2024-2025,Southampton
Ben Brereton,cl CHI,FW,25.0,13,4,507.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,0.1,1.0,12.0,9.0,42.0,0.0,0.0,0.0,0.0,0.0,0.18,0.02,0.2,0.18,0.2,Matches,2024-2025,Southampton
Adam Lallana,eng ENG,MF,36.0,18,6,445.0,4.9,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.9,1.1,6.0,24.0,10.0,0.0,0.4,0.4,0.0,0.4,0.04,0.23,0.27,0.04,0.27,Matches,2024-2025,Southampton
Ryan Fraser,sct SCO,"FW,DF",30.0,10,6,404.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,10.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,2024-2025,Southampton
Ross Stewart,sct SCO,FW,28.0,13,4,401.0,4.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.0,1.1,3.0,2.0,10.0,0.22,0.0,0.22,0.22,0.22,0.25,0.0,0.25,0.25,0.25,Matches,2024-2025,Southampton
Joe Lumley,eng ENG,GK,29.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Southampton
Armel Bella Kotchap,de GER,DF,22.0,5,2,358.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,2024-2025,Southampton
Maxwel Cornet,ci CIV,FW,27.0,4,2,188.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,2024-2025,Southampton
Samuel Edozie,eng ENG,"DF,FW",21.0,3,1,155.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,6.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,2024-2025,Southampton
Albert Grønbaek,dk DEN,"FW,MF",23.0,5,2,148.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,Matches,2024-2025,Southampton
Jay Robinson,eng ENG,"MF,FW",17.0,4,1,137.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,3.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.03,0.44,0.47,0.03,0.47,Matches,2024-2025,Southampton
Samuel Amo-Ameyaw,eng ENG,"FW,DF",18.0,4,1,127.0,1.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,0.0,3.0,0.71,0.0,0.71,0.71,0.71,0.07,0.22,0.29,0.07,0.29,Matches,2024-2025,Southampton
Ronnie Edwards,eng ENG,DF,21.0,2,1,97.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Southampton
Joachim Kayi Sanda,fr FRA,DF,17.0,2,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Southampton
Carlos Alcaraz,ar ARG,MF,21.0,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.62,0.86,1.48,0.62,1.48,Matches,2024-2025,Southampton
Romeo Akachukwu,ie IRL,MF,18.0,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2024-2025,Southampton
Joe O'Brien-Whitmarsh,ie IRL,FW,,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2024-2025,Southampton
Juan Larios,es ESP,DF,20.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2024-2025,Southampton
Jayden Moore,,DF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Southampton
