Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Robin Himmelmann,de GER,GK,28,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,St. Pauli
Christopher Avevor,de GER,DF,25,33,32,2858.0,31.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,2017-2018,St. Pauli
Daniel Buballa,de GER,DF,27,31,30,2614.0,29.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,2017-2018,St. Pauli
Lasse Sobiech,de GER,DF,26,27,25,2280.0,25.3,3.0,0.0,3.0,2.0,1.0,1.0,4.0,0.0,0.12,0.0,0.12,0.08,0.08,Matches,2017-2018,St. Pauli
Sami Allagui,tn TUN,FW,31,32,26,2162.0,24.0,5.0,2.0,7.0,5.0,0.0,1.0,3.0,1.0,0.21,0.08,0.29,0.21,0.29,Matches,2017-2018,St. Pauli
Bernd Nehrig,de GER,MF,30,25,25,2017.0,22.4,0.0,1.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.04,0.04,0.0,0.04,Matches,2017-2018,St. Pauli
Waldemar Sobota,pl POL,MF,30,28,23,2014.0,22.4,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,0.18,0.04,0.22,0.18,0.22,Matches,2017-2018,St. Pauli
Jeremy Dudziak,tn TUN,"MF,DF",21,27,22,1904.0,21.2,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,0.05,0.14,0.19,0.05,0.19,Matches,2017-2018,St. Pauli
Aziz Bouhaddouz,ma MAR,FW,30,27,20,1890.0,21.0,4.0,1.0,5.0,3.0,1.0,2.0,4.0,1.0,0.19,0.05,0.24,0.14,0.19,Matches,2017-2018,St. Pauli
Johannes Flum,de GER,MF,29,30,18,1876.0,20.8,4.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,0.19,0.1,0.29,0.19,0.29,Matches,2017-2018,St. Pauli
Cenk Şahin,tr TUR,MF,22,24,17,1579.0,17.5,2.0,1.0,3.0,2.0,0.0,0.0,4.0,1.0,0.11,0.06,0.17,0.11,0.17,Matches,2017-2018,St. Pauli
Luca-Milan Zander,de GER,DF,21,18,16,1457.0,16.2,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,2017-2018,St. Pauli
Mats Møller Dæhli,no NOR,"MF,FW",22,22,16,1455.0,16.2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,2017-2018,St. Pauli
Christopher Buchtmann,de GER,"MF,FW",25,18,16,1420.0,15.8,4.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,0.25,0.13,0.38,0.25,0.38,Matches,2017-2018,St. Pauli
Park Yi-young,kr KOR,"DF,MF",23,15,13,1204.0,13.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,2017-2018,St. Pauli
Richard Neudecker,de GER,MF,20,20,13,1124.0,12.5,4.0,4.0,8.0,4.0,0.0,0.0,3.0,0.0,0.32,0.32,0.64,0.32,0.64,Matches,2017-2018,St. Pauli
Philipp Ziereis,de GER,DF,24,8,7,631.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,2017-2018,St. Pauli
Marc Hornschuh,de GER,DF,26,7,7,607.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,St. Pauli
Dimitris Diamantakos,gr GRE,FW,24,10,6,548.0,6.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.16,0.16,0.33,0.16,0.33,Matches,2017-2018,St. Pauli
Jan-Marc Schneider,de GER,FW,23,15,4,541.0,6.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,Matches,2017-2018,St. Pauli
Jan-Philipp Kalla,de GER,MF,30,12,6,506.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,St. Pauli
Maurice Litka,de GER,MF,21,11,5,462.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,St. Pauli
Brian Koglin,de GER,DF,20,2,2,174.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,St. Pauli
Philipp Heerwagen,de GER,GK,34,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,St. Pauli
Clemens Schoppenhauer,de GER,DF,25,2,1,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,St. Pauli
Ersin Zehir,de GER,MF,19,2,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,St. Pauli
Choi Kyoung-rok,kr KOR,"FW,MF",22,2,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,St. Pauli
Joël Keller,ch SUI,DF,22,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,St. Pauli
Florian Carstens,de GER,DF,18,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,St. Pauli
Svend Brodersen,de GER,GK,20,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,St. Pauli
Thibaud Verlinden,be BEL,"FW,MF",18,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,St. Pauli
