Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Daniel Kyereh,gh GHA,"MF,FW",24,35,34,2793.0,31.0,9.0,7.0,16.0,9.0,0.0,0.0,4.0,0.0,0.29,0.23,0.52,0.29,0.52,Matches,2020-2021,St. Pauli
Rodrigo Zalazar,uy URU,"MF,FW",20,35,32,2718.0,30.2,6.0,6.0,12.0,4.0,2.0,3.0,3.0,0.0,0.2,0.2,0.4,0.13,0.33,Matches,2020-2021,St. Pauli
Leart Paqarada,xk KVX,"DF,MF",25,31,29,2346.0,26.1,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,0.04,0.15,0.19,0.04,0.19,Matches,2020-2021,St. Pauli
Finn Ole Becker,de GER,MF,20,30,27,2120.0,23.6,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.04,0.08,0.13,0.04,0.13,Matches,2020-2021,St. Pauli
Philipp Ziereis,de GER,DF,27,27,26,2110.0,23.4,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,2020-2021,St. Pauli
Sebastian Ohlsson,se SWE,DF,27,24,24,2095.0,23.3,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,2020-2021,St. Pauli
Rico Benatelli,de GER,"MF,DF",28,27,23,1985.0,22.1,4.0,1.0,5.0,4.0,0.0,0.0,5.0,0.0,0.18,0.05,0.23,0.18,0.23,Matches,2020-2021,St. Pauli
Guido Burgstaller,at AUT,FW,31,22,20,1749.0,19.4,11.0,4.0,15.0,10.0,1.0,1.0,2.0,0.0,0.57,0.21,0.77,0.51,0.72,Matches,2020-2021,St. Pauli
Dejan Stojanović,at AUT,GK,27,19,19,1710.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,St. Pauli
Omar Marmoush,eg EGY,FW,21,21,19,1530.0,17.0,7.0,2.0,9.0,6.0,1.0,1.0,2.0,0.0,0.41,0.12,0.53,0.35,0.47,Matches,2020-2021,St. Pauli
James Lawrence,wls WAL,"MF,DF",27,19,17,1493.0,16.6,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.06,0.06,0.0,0.06,Matches,2020-2021,St. Pauli
Daniel Buballa,de GER,DF,30,21,15,1481.0,16.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.06,0.0,0.06,0.06,0.06,Matches,2020-2021,St. Pauli
Max Dittgen,de GER,"MF,FW",25,33,13,1341.0,14.9,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,0.2,0.07,0.27,0.2,0.27,Matches,2020-2021,St. Pauli
Luca-Milan Zander,de GER,"DF,MF",24,22,13,1157.0,12.9,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,0.23,0.08,0.31,0.23,0.31,Matches,2020-2021,St. Pauli
Robin Himmelmann,de GER,GK,31,11,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,St. Pauli
Simon Makienok,dk DEN,FW,29,19,9,882.0,9.8,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.2,0.31,0.51,0.2,0.51,Matches,2020-2021,St. Pauli
Marvin Knoll,de GER,"DF,MF",29,15,10,813.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.11,0.0,0.11,0.11,0.11,Matches,2020-2021,St. Pauli
Adam Dźwigała,pl POL,"DF,MF",24,13,6,611.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,St. Pauli
Aremu Afeez,ng NGA,"MF,DF",20,17,5,600.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,St. Pauli
Lukas Daschner,de GER,MF,21,25,2,599.0,6.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,Matches,2020-2021,St. Pauli
Christopher Avevor,de GER,DF,28,7,6,523.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,St. Pauli
Kevin Lankford,de GER,MF,21,9,4,432.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,St. Pauli
Tore Reginiussen,no NOR,DF,34,10,3,408.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,St. Pauli
Igor Matanovic,hr CRO,FW,17,18,3,397.0,4.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.23,0.0,0.23,0.23,0.23,Matches,2020-2021,St. Pauli
Svend Brodersen,de GER,GK,23,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,St. Pauli
Jannes Wieckhoff,de GER,MF,19,8,2,332.0,3.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27,Matches,2020-2021,St. Pauli
Eric Smith,se SWE,"DF,MF",23,5,4,291.0,3.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.31,0.31,0.0,0.31,Matches,2020-2021,St. Pauli
Borys Tashchy,ua UKR,MF,27,10,2,269.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,St. Pauli
Leon Flach,us USA,MF,19,9,0,120.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.75,Matches,2020-2021,St. Pauli
Christian Viet,de GER,MF,21,3,1,117.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,St. Pauli
Dennis Smarsch,de GER,GK,21,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,St. Pauli
Christopher Buchtmann,de GER,"DF,MF",28,2,0,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,St. Pauli
Marvin Senger,de GER,DF,20,1,1,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,St. Pauli
Ryo Miyaichi,jp JPN,"FW,MF",27,1,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,St. Pauli
Luis Coordes,do DOM,MF,21,0,0,,,,,,,,,,,,,,,,Matches,2020-2021,St. Pauli
Ersin Zehir,de GER,MF,22,0,0,,,,,,,,,,,,,,,,Matches,2020-2021,St. Pauli
