Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Jean-Eudes Aholou,ci CIV,MF,23,40,38,3273.0,36.4,5.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,2.2,2.2,1.0,3.3,32.0,131.0,22.0,0.14,0.0,0.14,0.14,0.14,0.07,0.03,0.1,0.07,0.1,Matches,2017-2018,Strasbourg
Kenny Lala,mg MAD,DF,25,37,34,3167.0,35.2,3.0,6.0,9.0,0.0,3.0,3.0,6.0,1.0,2.8,0.5,2.0,2.5,111.0,168.0,71.0,0.09,0.17,0.26,0.0,0.17,0.09,0.07,0.16,0.02,0.08,Matches,2017-2018,Strasbourg
Jonas Martin,fr FRA,MF,27,37,37,3113.0,34.6,4.0,2.0,6.0,1.0,3.0,3.0,6.0,0.0,3.8,1.4,2.9,4.3,41.0,163.0,98.0,0.12,0.06,0.17,0.03,0.09,0.11,0.09,0.2,0.04,0.13,Matches,2017-2018,Strasbourg
Bakary Koné,bf BFA,DF,29,33,32,2972.0,33.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,0.0,1.1,4.0,51.0,1.0,0.03,0.0,0.03,0.03,0.03,0.04,0.0,0.04,0.04,0.04,Matches,2017-2018,Strasbourg
Dimitri Liénard,fr FRA,"MF,FW",29,38,32,2932.0,32.6,5.0,6.0,11.0,4.0,1.0,1.0,7.0,0.0,3.4,2.6,7.2,9.9,75.0,142.0,118.0,0.15,0.18,0.34,0.12,0.31,0.12,0.25,0.37,0.09,0.34,Matches,2017-2018,Strasbourg
Ernest Seka,gn GUI,DF,30,32,30,2658.0,29.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,0.8,0.8,1.0,1.8,58.0,126.0,53.0,0.03,0.03,0.07,0.03,0.07,0.03,0.04,0.07,0.03,0.07,Matches,2017-2018,Strasbourg
Anthony Gonçalves,fr FRA,"MF,FW",31,35,23,2264.0,25.2,2.0,4.0,6.0,2.0,0.0,0.0,6.0,0.0,1.4,1.4,2.1,3.4,59.0,80.0,139.0,0.08,0.16,0.24,0.08,0.24,0.07,0.11,0.18,0.07,0.18,Matches,2017-2018,Strasbourg
Pablo Martinez,fr FRA,DF,28,25,25,2205.0,24.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.5,1.5,18.0,63.0,24.0,0.0,0.04,0.04,0.0,0.04,0.04,0.02,0.06,0.04,0.06,Matches,2017-2018,Strasbourg
Stéphane Bahoken,cm CMR,FW,25,32,24,2072.0,23.0,9.0,1.0,10.0,9.0,0.0,0.0,5.0,0.0,6.7,6.7,1.7,8.4,31.0,22.0,124.0,0.39,0.04,0.43,0.39,0.43,0.36,0.09,0.45,0.36,0.45,Matches,2017-2018,Strasbourg
Nuno da Costa,cv CPV,"FW,MF",26,28,24,1920.0,21.3,7.0,3.0,10.0,7.0,0.0,0.0,5.0,1.0,4.2,4.2,0.6,4.8,47.0,30.0,134.0,0.33,0.14,0.47,0.33,0.47,0.22,0.03,0.25,0.22,0.25,Matches,2017-2018,Strasbourg
Bingourou Kamara,sn SEN,GK,20,21,21,1871.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Strasbourg
Alexandre Oukidja,dz ALG,GK,29,21,20,1854.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Strasbourg
Martin Terrier,fr FRA,"FW,MF",20,29,20,1850.0,20.6,4.0,3.0,7.0,4.0,0.0,0.0,3.0,0.0,4.9,4.9,3.4,8.3,46.0,36.0,107.0,0.19,0.15,0.34,0.19,0.34,0.26,0.18,0.45,0.26,0.45,Matches,2017-2018,Strasbourg
