Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Pascal Stenzel,de GER,DF,23,37,34,3139.0,34.9,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,2019-2020,Stuttgart
Gregor Kobel,ch SUI,GK,21,31,31,2721.0,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Stuttgart
Gonzalo Castro,de GER,"MF,DF",32,31,27,2316.0,25.7,3.0,6.0,9.0,3.0,0.0,0.0,12.0,0.0,0.12,0.23,0.35,0.12,0.35,Matches,2019-2020,Stuttgart
Orel Mangala,be BEL,MF,21,32,25,2196.0,24.4,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.04,0.08,0.12,0.04,0.12,Matches,2019-2020,Stuttgart
Philipp Förster,de GER,"MF,FW",24,28,24,2159.0,24.0,3.0,3.0,6.0,3.0,0.0,0.0,5.0,0.0,0.13,0.13,0.25,0.13,0.25,Matches,2019-2020,Stuttgart
Nicolás González,ar ARG,"FW,MF",21,29,23,2070.0,23.0,15.0,4.0,19.0,10.0,5.0,5.0,8.0,0.0,0.65,0.17,0.83,0.43,0.61,Matches,2019-2020,Stuttgart
Atakan Karazor,,"MF,DF",22,25,22,2023.0,22.5,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,0.09,0.04,0.13,0.09,0.13,Matches,2019-2020,Stuttgart
Silas Katompa,cd COD,"MF,FW",20,31,19,1913.0,21.3,8.0,6.0,14.0,6.0,2.0,2.0,4.0,0.0,0.38,0.28,0.66,0.28,0.56,Matches,2019-2020,Stuttgart
Wataru Endo,jp JPN,MF,26,22,21,1892.0,21.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.05,0.05,0.1,0.05,0.1,Matches,2019-2020,Stuttgart
