Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Wataru Endo,jp JPN,MF,28,34,34,2989.0,33.2,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,5.0,4.8,1.3,6.2,34.0,165.0,63.0,0.12,0.06,0.18,0.12,0.18,0.16,0.04,0.2,0.15,0.19,Matches,2021-2022,Stuttgart
Konstantinos Mavropanos,gr GRE,DF,23,33,33,2848.0,31.6,5.0,0.0,5.0,5.0,0.0,0.0,3.0,0.0,2.7,2.7,0.4,3.1,33.0,124.0,18.0,0.16,0.0,0.16,0.16,0.16,0.09,0.01,0.1,0.09,0.1,Matches,2021-2022,Stuttgart
Florian Müller,de GER,GK,23,30,30,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Stuttgart
Borna Sosa,hr CRO,"DF,FW",23,30,30,2678.0,29.8,2.0,9.0,11.0,2.0,0.0,0.0,4.0,0.0,0.9,0.9,6.8,7.8,104.0,139.0,200.0,0.07,0.3,0.37,0.07,0.37,0.03,0.25,0.28,0.03,0.28,Matches,2021-2022,Stuttgart
Waldemar Anton,de GER,DF,25,30,29,2607.0,29.0,2.0,1.0,3.0,2.0,0.0,0.0,6.0,1.0,2.1,2.1,1.4,3.5,26.0,108.0,12.0,0.07,0.03,0.1,0.07,0.1,0.07,0.05,0.12,0.07,0.12,Matches,2021-2022,Stuttgart
Hiroki Ito,jp JPN,DF,22,31,28,2528.0,28.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,1.1,1.7,21.0,120.0,22.0,0.04,0.04,0.07,0.04,0.07,0.02,0.04,0.06,0.02,0.06,Matches,2021-2022,Stuttgart
Atakan Karazor,,MF,24,25,24,1988.0,22.1,0.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.3,0.3,1.2,1.5,11.0,82.0,24.0,0.0,0.05,0.05,0.0,0.05,0.01,0.06,0.07,0.01,0.07,Matches,2021-2022,Stuttgart
Orel Mangala,be BEL,MF,23,29,23,1943.0,21.6,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,2.1,2.1,2.4,4.5,34.0,71.0,56.0,0.05,0.14,0.19,0.05,0.19,0.1,0.11,0.22,0.1,0.22,Matches,2021-2022,Stuttgart
Chris Führich,de GER,"FW,MF",23,26,22,1792.0,19.9,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,3.2,3.2,4.2,7.4,61.0,69.0,102.0,0.15,0.1,0.25,0.15,0.25,0.17,0.22,0.39,0.17,0.39,Matches,2021-2022,Stuttgart
