Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Alexander Nübel,de GER,GK,28-238,46,46,4170.0,46.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.01,0.01,0.0,0.01,Matches,2024-2025,Stuttgart
Angelo Stiller,de GER,MF,24-052,47,45,3948.0,43.9,4.0,11.0,15.0,4.0,0.0,0.0,8.0,0.0,2.8,2.8,8.2,11.0,55.0,379.0,89.0,0.09,0.25,0.34,0.09,0.34,0.07,0.22,0.29,0.07,0.29,Matches,2024-2025,Stuttgart
Atakan Karazor,,MF,28-225,46,44,3766.0,41.8,3.0,4.0,7.0,2.0,1.0,1.0,11.0,1.0,2.3,2.1,2.9,5.1,21.0,177.0,39.0,0.07,0.1,0.17,0.05,0.14,0.07,0.08,0.15,0.06,0.14,Matches,2024-2025,Stuttgart
Maximilian Mittelstädt,de GER,DF,28-069,44,41,3550.0,39.4,1.0,10.0,11.0,1.0,0.0,0.0,6.0,0.0,1.5,1.5,5.8,7.3,76.0,220.0,202.0,0.03,0.25,0.28,0.03,0.28,0.04,0.16,0.21,0.04,0.21,Matches,2024-2025,Stuttgart
Julian Chabot,de GER,DF,27-103,45,39,3391.0,37.7,3.0,1.0,4.0,3.0,0.0,0.0,12.0,1.0,2.4,2.3,0.6,2.8,8.0,136.0,7.0,0.08,0.03,0.11,0.08,0.11,0.07,0.02,0.09,0.07,0.09,Matches,2024-2025,Stuttgart
Chris Führich,de GER,"FW,MF",27-137,46,35,2891.0,32.1,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,3.6,3.6,4.8,8.4,147.0,131.0,271.0,0.12,0.09,0.22,0.12,0.22,0.13,0.17,0.3,0.13,0.3,Matches,2024-2025,Stuttgart
Enzo Millot,fr FRA,"MF,FW",22-313,43,34,2874.0,31.9,12.0,8.0,20.0,12.0,0.0,2.0,12.0,0.0,10.3,8.6,5.9,14.5,55.0,160.0,179.0,0.38,0.25,0.63,0.38,0.63,0.37,0.21,0.57,0.31,0.52,Matches,2024-2025,Stuttgart
Ermedin Demirović,ba BIH,FW,27-062,49,29,2764.0,30.7,17.0,4.0,21.0,17.0,0.0,2.0,6.0,0.0,16.5,14.7,2.3,17.1,29.0,35.0,144.0,0.55,0.13,0.68,0.55,0.68,0.66,0.09,0.75,0.59,0.68,Matches,2024-2025,Stuttgart
Josha Vagnoman,de GER,"DF,FW",24-166,35,27,2469.0,27.4,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,2.2,2.2,2.4,4.7,29.0,63.0,123.0,0.07,0.07,0.15,0.07,0.15,0.09,0.09,0.18,0.09,0.18,Matches,2024-2025,Stuttgart
