Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Vanja Milinković-Savić,rs SRB,GK,27,39,39,3510.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Torino
Saúl Coco,gq EQG,DF,25,34,34,3021.0,33.6,2.0,0.0,2.0,2.0,0.0,0.0,11.0,0.0,1.2,1.2,0.0,1.2,17.0,70.0,3.0,0.06,0.0,0.06,0.06,0.06,0.04,0.0,0.04,0.04,0.04,Matches,2024-2025,Torino
Samuele Ricci,it ITA,MF,22,36,35,2946.0,32.7,1.0,1.0,2.0,1.0,0.0,0.0,9.0,1.0,1.3,1.3,0.6,1.8,43.0,116.0,30.0,0.03,0.03,0.06,0.03,0.06,0.04,0.02,0.06,0.04,0.06,Matches,2024-2025,Torino
Che Adams,sct SCO,FW,28,38,31,2768.0,30.8,10.0,4.0,14.0,10.0,0.0,1.0,2.0,0.0,9.0,8.2,2.0,10.2,23.0,40.0,153.0,0.33,0.13,0.46,0.33,0.46,0.31,0.07,0.37,0.28,0.35,Matches,2024-2025,Torino
Valentino Lazaro,at AUT,"DF,FW",28,35,28,2487.0,27.6,0.0,6.0,6.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,3.3,4.4,35.0,76.0,131.0,0.0,0.22,0.22,0.0,0.22,0.04,0.13,0.17,0.04,0.17,Matches,2024-2025,Torino
Guillermo Maripán,cl CHI,DF,30,29,28,2430.0,27.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,0.9,0.9,1.0,2.0,14.0,96.0,9.0,0.04,0.04,0.07,0.04,0.07,0.04,0.04,0.08,0.04,0.08,Matches,2024-2025,Torino
Nikola Vlašić,hr CRO,"MF,FW",26,30,23,2117.0,23.5,5.0,4.0,9.0,3.0,2.0,2.0,0.0,0.0,3.4,1.8,2.4,4.2,53.0,94.0,110.0,0.21,0.17,0.38,0.13,0.3,0.14,0.1,0.25,0.08,0.18,Matches,2024-2025,Torino
Adam Masina,ma MAR,DF,30,29,21,2005.0,22.3,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.7,0.7,0.3,1.0,15.0,73.0,10.0,0.04,0.09,0.13,0.04,0.13,0.03,0.01,0.05,0.03,0.05,Matches,2024-2025,Torino
Sebastian Walukiewicz,pl POL,DF,24,30,21,1706.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,0.3,0.7,25.0,80.0,31.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,2024-2025,Torino
Karol Linetty,pl POL,MF,29,30,20,1695.0,18.8,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.1,1.1,0.9,2.0,18.0,47.0,19.0,0.05,0.0,0.05,0.05,0.05,0.06,0.06,0.12,0.06,0.12,Matches,2024-2025,Torino
Gvidas Gineitis,lt LTU,MF,20,31,16,1475.0,16.4,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,1.3,1.3,2.0,3.3,15.0,36.0,43.0,0.18,0.06,0.24,0.18,0.24,0.08,0.13,0.21,0.08,0.21,Matches,2024-2025,Torino
Marcus Pedersen,no NOR,DF,24,30,16,1452.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.4,1.0,44.0,19.0,77.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.06,0.04,0.06,Matches,2024-2025,Torino
Antonio Sanabria,py PAR,FW,28,27,17,1382.0,15.4,2.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,2.9,2.1,0.5,2.6,6.0,18.0,54.0,0.13,0.07,0.2,0.13,0.2,0.2,0.03,0.23,0.14,0.18,Matches,2024-2025,Torino
