Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Toby Alderweireld,be BEL,DF,29,50,49,4422.0,49.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,1.1,3.0,35.0,207.0,6.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.07,0.04,0.07,Matches,2018-2019,Tottenham
Christian Eriksen,dk DEN,"MF,FW",26,51,45,4159.0,46.2,10.0,16.0,26.0,10.0,0.0,0.0,4.0,0.0,7.8,7.8,11.8,19.6,97.0,299.0,178.0,0.22,0.35,0.56,0.22,0.56,0.19,0.28,0.47,0.19,0.47,Matches,2018-2019,Tottenham
Hugo Lloris,fr FRA,GK,31,44,44,3948.0,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Tottenham
Moussa Sissoko,fr FRA,MF,28,44,39,3395.0,37.7,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,1.1,1.1,3.7,4.7,100.0,125.0,117.0,0.0,0.11,0.11,0.0,0.11,0.03,0.11,0.14,0.03,0.14,Matches,2018-2019,Tottenham
Harry Kane,eng ENG,FW,25,40,37,3339.0,37.1,24.0,6.0,30.0,19.0,5.0,5.0,6.0,0.0,17.6,14.5,5.2,19.7,83.0,103.0,262.0,0.65,0.16,0.81,0.51,0.67,0.5,0.15,0.64,0.41,0.55,Matches,2018-2019,Tottenham
Son Heung-min,kr KOR,FW,26,48,38,3306.0,36.7,20.0,9.0,29.0,20.0,0.0,0.0,5.0,1.0,10.6,10.6,3.9,14.5,147.0,108.0,295.0,0.54,0.25,0.79,0.54,0.79,0.32,0.12,0.44,0.32,0.44,Matches,2018-2019,Tottenham
Lucas Moura,br BRA,FW,25,49,37,3194.0,35.5,15.0,1.0,16.0,15.0,0.0,0.0,3.0,0.0,9.5,9.5,2.1,11.6,109.0,89.0,262.0,0.42,0.03,0.45,0.42,0.45,0.3,0.07,0.37,0.3,0.37,Matches,2018-2019,Tottenham
Kieran Trippier,eng ENG,DF,27,38,36,3171.0,35.2,1.0,5.0,6.0,1.0,0.0,1.0,3.0,0.0,0.5,0.5,7.1,7.7,48.0,217.0,238.0,0.03,0.14,0.17,0.03,0.17,0.02,0.22,0.24,0.02,0.24,Matches,2018-2019,Tottenham
Davinson Sánchez,co COL,DF,22,37,34,3082.0,34.2,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.6,1.6,1.1,2.7,8.0,86.0,4.0,0.03,0.03,0.06,0.03,0.06,0.06,0.04,0.09,0.06,0.09,Matches,2018-2019,Tottenham
