Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Guglielmo Vicario,it ITA,GK,26,40,40,3600.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Tottenham
Pedro Porro,es ESP,DF,23,37,37,3269.0,36.3,4.0,7.0,11.0,4.0,0.0,0.0,4.0,0.0,2.9,2.9,7.2,10.1,57.0,194.0,158.0,0.11,0.19,0.3,0.11,0.3,0.09,0.21,0.3,0.09,0.3,Matches,2023-2024,Tottenham
Dejan Kulusevski,se SWE,"FW,MF",23,39,33,2991.0,33.2,8.0,3.0,11.0,8.0,0.0,0.0,7.0,0.0,4.7,4.7,7.7,12.4,151.0,144.0,388.0,0.24,0.09,0.33,0.24,0.33,0.15,0.25,0.4,0.15,0.4,Matches,2023-2024,Tottenham
Son Heung-min,kr KOR,FW,31,36,34,2984.0,33.2,17.0,10.0,27.0,15.0,2.0,2.0,1.0,0.0,12.0,10.4,11.8,22.2,119.0,139.0,325.0,0.51,0.3,0.81,0.45,0.75,0.37,0.36,0.73,0.32,0.68,Matches,2023-2024,Tottenham
Cristian Romero,ar ARG,DF,25,34,34,2880.0,32.0,5.0,0.0,5.0,5.0,0.0,0.0,7.0,1.0,3.5,3.5,0.4,3.9,32.0,179.0,8.0,0.16,0.0,0.16,0.16,0.16,0.11,0.01,0.13,0.11,0.13,Matches,2023-2024,Tottenham
Destiny Udogie,it ITA,DF,20,30,30,2571.0,28.6,2.0,3.0,5.0,2.0,0.0,0.0,8.0,1.0,2.4,2.4,2.2,4.6,83.0,155.0,138.0,0.07,0.11,0.18,0.07,0.18,0.09,0.08,0.17,0.09,0.17,Matches,2023-2024,Tottenham
Micky van de Ven,nl NED,DF,22,29,29,2549.0,28.3,3.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,0.6,0.6,0.0,0.6,19.0,108.0,9.0,0.11,0.0,0.11,0.11,0.11,0.02,0.0,0.02,0.02,0.02,Matches,2023-2024,Tottenham
Brennan Johnson,wls WAL,FW,22,34,25,2238.0,24.9,5.0,10.0,15.0,5.0,0.0,0.0,3.0,0.0,10.3,10.3,8.1,18.3,97.0,72.0,293.0,0.2,0.4,0.6,0.2,0.6,0.44,0.35,0.79,0.44,0.79,Matches,2023-2024,Tottenham
James Maddison,eng ENG,MF,26,30,26,2192.0,24.4,4.0,9.0,13.0,4.0,0.0,0.0,5.0,0.0,6.4,6.4,5.9,12.4,58.0,224.0,156.0,0.16,0.37,0.53,0.16,0.53,0.27,0.25,0.52,0.27,0.52,Matches,2023-2024,Tottenham
Pape Matar Sarr,sn SEN,MF,20,35,27,2118.0,23.5,3.0,3.0,6.0,3.0,0.0,0.0,9.0,0.0,3.4,3.4,2.2,5.7,43.0,150.0,90.0,0.13,0.13,0.25,0.13,0.25,0.15,0.1,0.25,0.15,0.25,Matches,2023-2024,Tottenham
Yves Bissouma,ml MLI,MF,26,28,26,2068.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,1.4,1.4,0.4,1.8,43.0,169.0,13.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches,2023-2024,Tottenham
Richarlison,br BRA,FW,26,31,21,1734.0,19.3,12.0,4.0,16.0,12.0,0.0,0.0,3.0,0.0,9.6,9.6,2.1,11.7,26.0,38.0,106.0,0.62,0.21,0.83,0.62,0.83,0.58,0.13,0.7,0.58,0.7,Matches,2023-2024,Tottenham
Pierre Højbjerg,dk DEN,MF,27,39,10,1534.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,1.2,1.9,17.0,134.0,29.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,Matches,2023-2024,Tottenham
Emerson,br BRA,DF,24,24,13,1371.0,15.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.2,0.2,0.4,0.6,21.0,57.0,35.0,0.07,0.0,0.07,0.07,0.07,0.02,0.03,0.05,0.02,0.05,Matches,2023-2024,Tottenham
Ben Davies,wls WAL,DF,30,19,14,1300.0,14.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.3,2.3,0.4,2.7,13.0,71.0,20.0,0.07,0.0,0.07,0.07,0.07,0.19,0.03,0.23,0.19,0.23,Matches,2023-2024,Tottenham
Rodrigo Bentancur,uy URU,MF,26,25,15,1159.0,12.9,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.9,1.9,0.5,2.4,16.0,72.0,31.0,0.08,0.08,0.16,0.08,0.16,0.17,0.04,0.22,0.17,0.22,Matches,2023-2024,Tottenham
Timo Werner,de GER,FW,27,14,11,899.0,10.0,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,3.7,3.7,2.7,6.4,79.0,41.0,124.0,0.2,0.3,0.5,0.2,0.5,0.41,0.3,0.72,0.41,0.72,Matches,2023-2024,Tottenham
Oliver Skipp,eng ENG,"MF,DF",22,24,7,873.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,0.6,1.3,8.0,37.0,25.0,0.0,0.0,0.0,0.0,0.0,0.09,0.07,0.16,0.09,0.16,Matches,2023-2024,Tottenham
Giovani Lo Celso,ar ARG,MF,27,24,6,608.0,6.8,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.6,0.6,1.9,2.5,25.0,68.0,29.0,0.3,0.3,0.59,0.3,0.59,0.1,0.34,0.45,0.1,0.45,Matches,2023-2024,Tottenham
Radu Drăgușin,ro ROU,DF,21,9,4,429.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,5.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,2023-2024,Tottenham
Manor Solomon,il ISR,FW,24,6,3,280.0,3.1,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.8,1.2,17.0,11.0,44.0,0.0,0.64,0.64,0.0,0.64,0.19,0.38,0.56,0.19,0.56,Matches,2023-2024,Tottenham
Bryan Gil,es ESP,"FW,MF",22,12,2,242.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.2,1.0,11.0,16.0,49.0,0.0,0.0,0.0,0.0,0.0,0.32,0.09,0.41,0.32,0.41,Matches,2023-2024,Tottenham
