Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Alban Lafont,fr FRA,GK,18,42,42,3780.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.0,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Toulouse
Issa Diop,fr FRA,DF,20,39,39,3510.0,39.0,3.0,0.0,3.0,3.0,0.0,0.0,9.0,0.0,2.0,2.0,0.6,2.7,14.0,106.0,1.0,0.08,0.0,0.08,0.08,0.08,0.06,0.02,0.08,0.06,0.08,Matches,2017-2018,Toulouse
Kelvin Amian,fr FRA,DF,19,39,38,3424.0,38.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,1.4,1.4,1.1,2.4,41.0,107.0,83.0,0.03,0.03,0.05,0.03,0.05,0.04,0.03,0.07,0.04,0.07,Matches,2017-2018,Toulouse
Christopher Jullien,fr FRA,DF,24,34,34,2935.0,32.6,1.0,3.0,4.0,1.0,0.0,0.0,8.0,1.0,3.0,3.0,0.7,3.7,8.0,103.0,10.0,0.03,0.09,0.12,0.03,0.12,0.1,0.02,0.13,0.1,0.13,Matches,2017-2018,Toulouse
Max Gradel,ci CIV,"FW,MF",29,33,31,2711.0,30.1,10.0,3.0,13.0,5.0,5.0,6.0,5.0,1.0,8.1,4.1,4.5,8.6,136.0,96.0,316.0,0.33,0.1,0.43,0.17,0.27,0.3,0.17,0.47,0.15,0.32,Matches,2017-2018,Toulouse
Andy Delort,dz ALG,FW,25,36,28,2626.0,29.2,5.0,5.0,10.0,4.0,1.0,2.0,5.0,0.0,9.0,7.4,5.1,12.5,28.0,62.0,240.0,0.17,0.17,0.34,0.14,0.31,0.35,0.2,0.54,0.29,0.48,Matches,2017-2018,Toulouse
Giannelli Imbula,cd COD,MF,24,30,30,2423.0,26.9,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.6,1.6,2.1,3.7,74.0,159.0,40.0,0.04,0.04,0.07,0.04,0.07,0.06,0.08,0.15,0.06,0.15,Matches,2017-2018,Toulouse
Somália,br BRA,"MF,FW",28,29,25,2182.0,24.2,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.6,1.6,1.8,3.4,65.0,68.0,99.0,0.08,0.0,0.08,0.08,0.08,0.07,0.08,0.15,0.07,0.15,Matches,2017-2018,Toulouse
Alexis Blin,fr FRA,MF,20,28,22,2031.0,22.6,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,0.8,0.8,1.4,2.1,8.0,98.0,28.0,0.04,0.13,0.18,0.04,0.18,0.04,0.07,0.1,0.04,0.1,Matches,2017-2018,Toulouse
Corentin Jean,fr FRA,"FW,MF",22,38,22,2021.0,22.5,1.0,4.0,5.0,1.0,0.0,0.0,5.0,0.0,2.0,2.0,2.8,4.7,53.0,41.0,150.0,0.04,0.18,0.22,0.04,0.22,0.11,0.15,0.25,0.11,0.25,Matches,2017-2018,Toulouse
Steeve Yago,bf BFA,DF,24,26,21,1989.0,22.1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.6,0.6,19.0,67.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,2017-2018,Toulouse
François Moubandje,ch SUI,DF,27,23,22,1879.0,20.9,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.1,0.1,0.5,0.5,26.0,80.0,54.0,0.05,0.0,0.05,0.05,0.05,0.0,0.02,0.03,0.0,0.03,Matches,2017-2018,Toulouse
Issiaga Sylla,gn GUI,"DF,FW",23,28,19,1791.0,19.9,2.0,3.0,5.0,2.0,0.0,0.0,6.0,0.0,0.4,0.4,2.0,2.4,49.0,105.0,87.0,0.1,0.15,0.25,0.1,0.25,0.02,0.11,0.14,0.02,0.14,Matches,2017-2018,Toulouse
Yannick Cahuzac,fr FRA,MF,32,24,21,1779.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.3,0.3,0.4,0.8,9.0,47.0,11.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches,2017-2018,Toulouse
Ibrahim Sangaré,ci CIV,MF,19,22,20,1752.0,19.5,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,1.4,2.4,34.0,126.0,23.0,0.05,0.1,0.15,0.05,0.15,0.05,0.08,0.13,0.05,0.13,Matches,2017-2018,Toulouse
Yaya Sanogo,fr FRA,FW,24,31,18,1648.0,18.3,8.0,1.0,9.0,8.0,0.0,0.0,6.0,0.0,7.7,7.7,0.4,8.2,10.0,33.0,96.0,0.44,0.05,0.49,0.44,0.49,0.46,0.03,0.48,0.46,0.48,Matches,2017-2018,Toulouse
Jimmy Durmaz,se SWE,"MF,FW",28,23,13,1141.0,12.7,3.0,3.0,6.0,0.0,3.0,4.0,6.0,0.0,3.6,0.5,2.2,2.7,36.0,60.0,79.0,0.24,0.24,0.47,0.0,0.24,0.32,0.2,0.51,0.04,0.24,Matches,2017-2018,Toulouse
Ola Toivonen,se SWE,"FW,MF",31,26,11,1021.0,11.3,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,2.1,2.1,0.4,2.6,10.0,41.0,38.0,0.18,0.09,0.26,0.18,0.26,0.24,0.05,0.29,0.24,0.29,Matches,2017-2018,Toulouse
Ndombe Mubele,cd COD,"FW,MF",23,11,4,368.0,4.1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.1,1.1,0.4,1.5,26.0,14.0,39.0,0.24,0.24,0.49,0.24,0.49,0.27,0.11,0.38,0.27,0.38,Matches,2017-2018,Toulouse
Yann Bodiger,fr FRA,MF,22,9,3,352.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,3.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,2017-2018,Toulouse
Clément Michelin,fr FRA,DF,20,10,4,350.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.3,7.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.09,0.0,0.09,Matches,2017-2018,Toulouse
Quentin Boisgard,fr FRA,MF,20,9,2,297.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,2.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,Matches,2017-2018,Toulouse
Zinédine Machach,fr FRA,"FW,MF",21,4,2,193.0,2.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.3,0.5,6.0,7.0,14.0,0.47,0.0,0.47,0.47,0.47,0.09,0.16,0.25,0.09,0.25,Matches,2017-2018,Toulouse
Steven Fortes,cv CPV,DF,25,2,1,155.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Toulouse
Mauro Goicoechea,uy URU,GK,29,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2017-2018,Toulouse
Driss Khalid,ma MAR,FW,18,1,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.23,Matches,2017-2018,Toulouse
Marc Vidal,fr FRA,GK,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2017-2018,Toulouse
