Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Branco van den Boomen,nl NED,MF,26,41,40,3505.0,38.9,12.0,24.0,36.0,7.0,5.0,5.0,6.0,0.0,0.31,0.62,0.92,0.18,0.8,Matches,2021-2022,Toulouse
Mikkel Desler,dk DEN,"DF,MF",26,40,40,3454.0,38.4,1.0,5.0,6.0,1.0,0.0,0.0,6.0,1.0,0.03,0.13,0.16,0.03,0.16,Matches,2021-2022,Toulouse
Maxime Dupé,fr FRA,GK,28,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Toulouse
Rasmus Nicolaisen,dk DEN,DF,24,36,35,3159.0,35.1,4.0,2.0,6.0,4.0,0.0,0.0,6.0,0.0,0.11,0.06,0.17,0.11,0.17,Matches,2021-2022,Toulouse
Stijn Spierings,nl NED,MF,25,37,33,2934.0,32.6,1.0,6.0,7.0,1.0,0.0,0.0,13.0,0.0,0.03,0.18,0.21,0.03,0.21,Matches,2021-2022,Toulouse
Rhys Healey,wls WAL,FW,26,37,33,2838.0,31.5,21.0,4.0,25.0,21.0,0.0,0.0,9.0,0.0,0.67,0.13,0.79,0.67,0.79,Matches,2021-2022,Toulouse
Ado Onaiwu,jp JPN,"FW,MF",25,43,30,2826.0,31.4,12.0,4.0,16.0,12.0,0.0,0.0,3.0,0.0,0.38,0.13,0.51,0.38,0.51,Matches,2021-2022,Toulouse
Nathan N'Goumou,cm CMR,"FW,MF",21,37,28,2605.0,28.9,8.0,4.0,12.0,8.0,0.0,0.0,1.0,0.0,0.28,0.14,0.41,0.28,0.41,Matches,2021-2022,Toulouse
Anthony Rouault,fr FRA,DF,20,28,28,2443.0,27.1,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,0.15,0.04,0.18,0.15,0.18,Matches,2021-2022,Toulouse
Bafodé Diakité,fr FRA,DF,20,27,23,2132.0,23.7,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,2021-2022,Toulouse
Denis Genreau,au AUS,MF,22,37,22,2058.0,22.9,2.0,4.0,6.0,2.0,0.0,0.0,5.0,0.0,0.09,0.17,0.26,0.09,0.26,Matches,2021-2022,Toulouse
Issiaga Sylla,gn GUI,"DF,MF",27,26,22,1981.0,22.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,2021-2022,Toulouse
Brecht Dejaegere,be BEL,MF,30,30,25,1869.0,20.8,3.0,3.0,6.0,3.0,0.0,0.0,3.0,0.0,0.14,0.14,0.29,0.14,0.29,Matches,2021-2022,Toulouse
Rafael Ratão,br BRA,"FW,MF",25,30,20,1755.0,19.5,13.0,2.0,15.0,13.0,0.0,0.0,5.0,0.0,0.67,0.1,0.77,0.67,0.77,Matches,2021-2022,Toulouse
Moussa Diarra,ml MLI,"DF,MF",20,30,15,1492.0,16.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,2021-2022,Toulouse
Yanis Begraoui,ma MAR,"MF,FW",20,29,4,712.0,7.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches,2021-2022,Toulouse
Ruben Gabrielsen,no NOR,DF,29,6,6,540.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches,2021-2022,Toulouse
Sam Sanna,fr FRA,MF,22,18,3,515.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Toulouse
Naatan Skyttä,fi FIN,MF,19,17,5,511.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Toulouse
