Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Marco Silvestri,it ITA,GK,30,37,37,3360.0,37.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Udinese
Rodrigo Becão,br BRA,DF,25,36,36,3250.0,36.1,2.0,1.0,3.0,2.0,0.0,0.0,11.0,0.0,1.0,1.0,0.6,1.6,23.0,74.0,34.0,0.06,0.03,0.08,0.06,0.08,0.03,0.02,0.05,0.03,0.05,Matches,2021-2022,Udinese
Walace,br BRA,MF,26,38,35,3150.0,35.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,1.5,1.5,1.8,3.3,42.0,167.0,20.0,0.03,0.0,0.03,0.03,0.03,0.04,0.05,0.1,0.04,0.1,Matches,2021-2022,Udinese
Nahuel Molina,ar ARG,DF,23,37,32,2773.0,30.8,8.0,2.0,10.0,8.0,0.0,0.0,7.0,1.0,3.8,3.8,3.7,7.5,61.0,100.0,164.0,0.26,0.06,0.32,0.26,0.32,0.13,0.13,0.26,0.13,0.26,Matches,2021-2022,Udinese
Destiny Udogie,it ITA,DF,18,37,31,2687.0,29.9,5.0,3.0,8.0,5.0,0.0,0.0,4.0,0.0,4.4,4.4,2.3,6.7,56.0,89.0,113.0,0.17,0.1,0.27,0.17,0.27,0.16,0.08,0.24,0.16,0.24,Matches,2021-2022,Udinese
Gerard Deulofeu,es ESP,"FW,MF",27,35,31,2639.0,29.3,13.0,5.0,18.0,12.0,1.0,1.0,9.0,0.0,6.9,6.1,7.2,13.3,154.0,154.0,259.0,0.44,0.17,0.61,0.41,0.58,0.24,0.25,0.49,0.21,0.46,Matches,2021-2022,Udinese
Jean-Victor Makengo,fr FRA,MF,23,36,28,2502.0,27.8,1.0,3.0,4.0,1.0,0.0,0.0,7.0,1.0,3.0,3.0,2.2,5.2,55.0,95.0,61.0,0.04,0.11,0.14,0.04,0.14,0.11,0.08,0.2,0.11,0.2,Matches,2021-2022,Udinese
Beto,gw GNB,FW,23,29,24,2227.0,24.7,11.0,0.0,11.0,11.0,0.0,0.0,1.0,0.0,12.7,12.7,1.8,14.5,31.0,26.0,119.0,0.44,0.0,0.44,0.44,0.44,0.53,0.07,0.6,0.53,0.6,Matches,2021-2022,Udinese
Bram Nuytinck,nl NED,DF,31,29,24,2136.0,23.7,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,0.3,1.5,4.0,23.0,6.0,0.04,0.0,0.04,0.04,0.04,0.05,0.01,0.07,0.05,0.07,Matches,2021-2022,Udinese
