Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Danilho Doekhi,nl NED,DF,26-330,36,36,3240.0,36.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,2.6,2.6,1.4,4.0,13.0,96.0,14.0,0.03,0.03,0.06,0.03,0.06,0.08,0.04,0.12,0.08,0.12,Matches,2024-2025,Union Berlin
Rani Khedira,de GER,MF,31-119,34,33,2902.0,32.2,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.4,1.4,0.6,2.1,12.0,80.0,34.0,0.03,0.03,0.06,0.03,0.06,0.05,0.02,0.07,0.05,0.07,Matches,2024-2025,Union Berlin
Frederik Rønnow,dk DEN,GK,32-295,30,30,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Union Berlin
Benedict Hollerbach,de GER,"FW,MF",24-009,36,31,2650.0,29.4,9.0,2.0,11.0,9.0,0.0,0.0,4.0,0.0,7.0,7.0,1.6,8.6,103.0,68.0,214.0,0.31,0.07,0.37,0.31,0.37,0.25,0.06,0.31,0.25,0.31,Matches,2024-2025,Union Berlin
Diogo Leite,pt POR,DF,26-123,31,30,2636.0,29.3,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.4,1.4,1.0,2.4,20.0,116.0,16.0,0.03,0.07,0.1,0.03,0.1,0.05,0.04,0.08,0.05,0.08,Matches,2024-2025,Union Berlin
Janik Haberer,de GER,"MF,DF",31-054,30,23,1850.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.8,1.6,13.0,59.0,22.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches,2024-2025,Union Berlin
Leopold Querfeld,at AUT,DF,21-157,28,18,1837.0,20.4,2.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,1.1,1.1,1.0,2.2,3.0,49.0,5.0,0.1,0.1,0.2,0.1,0.2,0.06,0.05,0.11,0.06,0.11,Matches,2024-2025,Union Berlin
Christopher Trimmel,at AUT,"DF,MF",38-091,27,20,1766.0,19.6,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,2.1,2.3,18.0,73.0,45.0,0.0,0.15,0.15,0.0,0.15,0.01,0.11,0.12,0.01,0.12,Matches,2024-2025,Union Berlin
Tom Rothe,de GER,"DF,MF",20-209,27,19,1705.0,18.9,3.0,3.0,6.0,3.0,0.0,0.0,4.0,1.0,1.8,1.8,1.3,3.1,25.0,50.0,91.0,0.16,0.16,0.32,0.16,0.32,0.1,0.07,0.17,0.1,0.17,Matches,2024-2025,Union Berlin
