Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
José Luis García Vayá,es ESP,MF,24,39,39,3491.0,38.8,8.0,1.0,9.0,0.0,8.0,9.0,5.0,0.0,7.3,1.0,3.2,4.2,30.0,251.0,43.0,0.21,0.03,0.23,0.0,0.03,0.2,0.09,0.29,0.03,0.11,Matches,2023-2024,Valencia
Giorgi Mamardashvili,ge GEO,GK,22,37,37,3284.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2023-2024,Valencia
Cristhian Mosquera,es ESP,DF,19,38,35,3252.0,36.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.0,0.7,14.0,77.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,2023-2024,Valencia
Hugo Duro,es ESP,FW,23,39,36,3126.0,34.7,13.0,2.0,15.0,13.0,0.0,0.0,4.0,0.0,11.5,11.5,1.3,12.9,27.0,34.0,157.0,0.37,0.06,0.43,0.37,0.43,0.35,0.04,0.39,0.35,0.39,Matches,2023-2024,Valencia
Diego López,es ESP,"MF,FW",21,39,32,2830.0,31.4,4.0,6.0,10.0,4.0,0.0,0.0,2.0,0.0,3.7,3.7,5.4,9.1,75.0,73.0,180.0,0.13,0.19,0.32,0.13,0.32,0.12,0.18,0.31,0.12,0.31,Matches,2023-2024,Valencia
Javier Guerra,es ESP,MF,20,40,30,2730.0,30.3,4.0,1.0,5.0,4.0,0.0,0.0,3.0,1.0,2.7,2.7,0.9,3.6,47.0,81.0,68.0,0.13,0.03,0.16,0.13,0.16,0.1,0.03,0.13,0.1,0.13,Matches,2023-2024,Valencia
Thierry Correia,pt POR,DF,24,35,27,2377.0,26.4,0.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,0.6,0.6,2.1,2.7,40.0,80.0,56.0,0.0,0.08,0.08,0.0,0.08,0.03,0.09,0.11,0.03,0.11,Matches,2023-2024,Valencia
Francisco Perez,es ESP,"MF,FW",20,36,29,2221.0,24.7,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,1.1,1.1,2.6,3.6,59.0,41.0,145.0,0.04,0.16,0.2,0.04,0.2,0.05,0.11,0.16,0.05,0.16,Matches,2023-2024,Valencia
Dimitri Foulquier,fr FRA,"DF,MF",30,34,20,1932.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,1.2,1.8,42.0,72.0,64.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,Matches,2023-2024,Valencia
José Luis Gayà,es ESP,DF,28,27,22,1912.0,21.2,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,0.5,0.5,2.6,3.1,41.0,72.0,97.0,0.09,0.14,0.24,0.09,0.24,0.02,0.13,0.15,0.02,0.15,Matches,2023-2024,Valencia
Cenk Özkacar,tr TUR,DF,22,25,20,1808.0,20.1,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.1,0.3,17.0,56.0,5.0,0.0,0.05,0.05,0.0,0.05,0.01,0.0,0.02,0.01,0.02,Matches,2023-2024,Valencia
Hugo Guillamón,es ESP,MF,23,30,15,1568.0,17.4,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.2,0.2,0.4,0.6,6.0,65.0,10.0,0.06,0.0,0.06,0.06,0.06,0.01,0.03,0.04,0.01,0.04,Matches,2023-2024,Valencia
Gabriel Paulista,br BRA,DF,32,19,17,1488.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.4,0.4,0.2,0.6,2.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04,Matches,2023-2024,Valencia
Sergi Canós,es ESP,"MF,FW",26,31,17,1484.0,16.5,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,2.8,2.8,2.4,5.3,32.0,52.0,88.0,0.12,0.12,0.24,0.12,0.24,0.21,0.18,0.39,0.21,0.39,Matches,2023-2024,Valencia
Roman Yaremchuk,ua UKR,FW,27,29,13,1185.0,13.2,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,4.6,4.6,0.1,4.8,12.0,20.0,46.0,0.3,0.0,0.3,0.3,0.3,0.45,0.01,0.46,0.45,0.46,Matches,2023-2024,Valencia
