Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Jordi Masip,es ESP,GK,33,29,29,2597.0,28.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Valladolid
Javi Sánchez,es ESP,DF,25,34,30,2561.0,28.5,1.0,0.0,1.0,1.0,0.0,0.0,11.0,0.0,0.7,0.7,0.1,0.8,21.0,74.0,5.0,0.04,0.0,0.04,0.04,0.04,0.03,0.0,0.03,0.03,0.03,Matches,2022-2023,Valladolid
Kike Pérez,es ESP,MF,25,39,30,2508.0,27.9,2.0,3.0,5.0,2.0,0.0,1.0,11.0,0.0,2.3,2.3,2.2,4.5,54.0,134.0,82.0,0.07,0.11,0.18,0.07,0.18,0.09,0.09,0.17,0.09,0.17,Matches,2022-2023,Valladolid
Gonzalo Plata,ec ECU,FW,21,36,27,2417.0,26.9,1.0,5.0,6.0,1.0,0.0,0.0,2.0,0.0,3.7,3.7,3.1,6.8,97.0,54.0,213.0,0.04,0.19,0.22,0.04,0.22,0.15,0.12,0.27,0.15,0.27,Matches,2022-2023,Valladolid
Joaquín Fernández,es ESP,DF,26,29,26,2336.0,26.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.5,0.5,0.1,0.6,6.0,42.0,3.0,0.04,0.0,0.04,0.04,0.04,0.02,0.0,0.03,0.02,0.03,Matches,2022-2023,Valladolid
Óscar Plano,es ESP,"FW,MF",31,36,23,2199.0,24.4,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,2.8,2.8,1.6,4.4,30.0,73.0,95.0,0.04,0.08,0.12,0.04,0.12,0.12,0.07,0.19,0.12,0.19,Matches,2022-2023,Valladolid
Monchu,es ESP,MF,22,35,25,2186.0,24.3,3.0,2.0,5.0,3.0,0.0,0.0,11.0,0.0,2.4,2.4,2.0,4.4,17.0,111.0,25.0,0.12,0.08,0.21,0.12,0.21,0.11,0.09,0.2,0.11,0.2,Matches,2022-2023,Valladolid
Álvaro Aguado,es ESP,MF,26,36,20,2023.0,22.5,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,2.2,3.2,29.0,139.0,50.0,0.04,0.09,0.13,0.04,0.13,0.05,0.11,0.15,0.05,0.15,Matches,2022-2023,Valladolid
Iván Fresneda,es ESP,DF,17,24,18,1814.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,1.5,2.1,48.0,62.0,101.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.11,0.03,0.11,Matches,2022-2023,Valladolid
Roque Mesa,es ESP,MF,33,31,22,1797.0,20.0,2.0,1.0,3.0,2.0,0.0,0.0,12.0,1.0,1.4,1.4,1.0,2.4,29.0,116.0,24.0,0.1,0.05,0.15,0.1,0.15,0.08,0.06,0.13,0.08,0.13,Matches,2022-2023,Valladolid
Jawad El Yamiq,ma MAR,DF,30,25,19,1608.0,17.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.1,1.1,0.4,1.6,21.0,55.0,3.0,0.06,0.0,0.06,0.06,0.06,0.06,0.02,0.08,0.06,0.08,Matches,2022-2023,Valladolid
Sergio Escudero,es ESP,DF,32,24,18,1529.0,17.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.5,1.5,1.8,3.3,17.0,40.0,37.0,0.12,0.06,0.18,0.12,0.18,0.09,0.11,0.2,0.09,0.2,Matches,2022-2023,Valladolid
Lucas Olaza,uy URU,DF,28,23,16,1494.0,16.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,1.0,1.4,12.0,66.0,90.0,0.0,0.06,0.06,0.0,0.06,0.02,0.06,0.08,0.02,0.08,Matches,2022-2023,Valladolid
Cyle Larin,ca CAN,FW,27,19,16,1469.0,16.3,8.0,3.0,11.0,6.0,2.0,2.0,4.0,0.0,7.5,5.9,2.6,8.5,25.0,17.0,72.0,0.49,0.18,0.67,0.37,0.55,0.46,0.16,0.62,0.36,0.52,Matches,2022-2023,Valladolid
Sergio León,es ESP,FW,33,31,15,1448.0,16.1,8.0,1.0,9.0,7.0,1.0,2.0,0.0,1.0,3.9,2.3,1.2,3.5,21.0,22.0,75.0,0.5,0.06,0.56,0.44,0.5,0.26,0.08,0.34,0.16,0.23,Matches,2022-2023,Valladolid
Martin Hongla,cm CMR,"DF,MF",24,16,15,1306.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.3,0.3,6.0,50.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,2022-2023,Valladolid
Luis Pérez,es ESP,DF,27,20,16,1288.0,14.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.9,1.0,24.0,42.0,84.0,0.0,0.07,0.07,0.0,0.07,0.01,0.07,0.08,0.01,0.08,Matches,2022-2023,Valladolid
Iván Sánchez,es ESP,"MF,FW",29,27,15,1287.0,14.3,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.8,0.8,1.6,2.4,58.0,65.0,61.0,0.14,0.07,0.21,0.14,0.21,0.06,0.12,0.19,0.06,0.19,Matches,2022-2023,Valladolid
Lucas Oliveira Rosa,br BRA,DF,22,20,14,1126.0,12.5,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,1.0,1.4,24.0,22.0,61.0,0.0,0.16,0.16,0.0,0.16,0.03,0.1,0.13,0.03,0.13,Matches,2022-2023,Valladolid
Sergio Asenjo,es ESP,GK,33,12,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Valladolid
Shon Weissman,il ISR,FW,26,17,8,877.0,9.7,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.3,2.3,0.2,2.5,7.0,4.0,15.0,0.21,0.0,0.21,0.21,0.21,0.28,0.02,0.3,0.28,0.3,Matches,2022-2023,Valladolid
Darwin Machís,ve VEN,FW,29,11,7,599.0,6.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.1,1.1,2.1,3.3,29.0,10.0,53.0,0.0,0.15,0.15,0.0,0.15,0.17,0.32,0.49,0.17,0.49,Matches,2022-2023,Valladolid
