Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Monchu,es ESP,MF,23,42,42,3651.0,40.6,6.0,3.0,9.0,6.0,0.0,2.0,5.0,0.0,0.15,0.07,0.22,0.15,0.22,Matches,2023-2024,Valladolid
Luis Pérez,es ESP,DF,28,42,41,3593.0,39.9,0.0,5.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches,2023-2024,Valladolid
Enzo Boyomo,cm CMR,DF,21,39,33,2989.0,33.2,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.03,0.0,0.03,0.03,0.03,Matches,2023-2024,Valladolid
Jordi Masip,es ESP,GK,34,32,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Valladolid
Sergio Escudero,es ESP,DF,33,36,34,2647.0,29.4,3.0,3.0,6.0,3.0,0.0,0.0,9.0,0.0,0.1,0.1,0.2,0.1,0.2,Matches,2023-2024,Valladolid
Iván Sánchez,es ESP,"MF,FW",30,40,28,2436.0,27.1,0.0,7.0,7.0,0.0,0.0,0.0,10.0,0.0,0.0,0.26,0.26,0.0,0.26,Matches,2023-2024,Valladolid
Stanko Jurić,hr CRO,MF,26,38,23,2318.0,25.8,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,0.08,0.19,0.27,0.08,0.27,Matches,2023-2024,Valladolid
Víctor Meseguer,es ESP,"MF,FW",24,35,26,2308.0,25.6,9.0,4.0,13.0,9.0,0.0,0.0,6.0,0.0,0.35,0.16,0.51,0.35,0.51,Matches,2023-2024,Valladolid
Mamadou Sylla,sn SEN,FW,29,29,26,2235.0,24.8,8.0,2.0,10.0,7.0,1.0,1.0,6.0,0.0,0.32,0.08,0.4,0.28,0.36,Matches,2023-2024,Valladolid
