Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Marcello Falzerano,it ITA,"DF,MF",26,40,39,3477.0,38.6,4.0,9.0,13.0,4.0,0.0,0.0,3.0,1.0,0.1,0.23,0.34,0.1,0.34,Matches,2017-2018,Venezia
Maurizio Domizzi,it ITA,DF,37,38,38,3403.0,37.8,3.0,1.0,4.0,3.0,0.0,0.0,8.0,2.0,0.08,0.03,0.11,0.08,0.11,Matches,2017-2018,Venezia
Emil Audero,id IDN,GK,20,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Venezia
Marco Modolo,it ITA,DF,28,37,37,3096.0,34.4,3.0,1.0,4.0,3.0,0.0,0.0,8.0,0.0,0.09,0.03,0.12,0.09,0.12,Matches,2017-2018,Venezia
Siniša Anđelković,si SVN,DF,31,32,31,2736.0,30.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,2017-2018,Venezia
Agostino Garofalo,it ITA,"DF,MF",32,28,28,2392.0,26.6,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,0.04,0.08,0.11,0.04,0.11,Matches,2017-2018,Venezia
Marco Pinato,it ITA,"DF,MF",22,34,26,2224.0,24.7,3.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.12,0.12,0.24,0.12,0.24,Matches,2017-2018,Venezia
Simone Bentivoglio,it ITA,MF,32,22,22,1961.0,21.8,2.0,4.0,6.0,1.0,1.0,2.0,8.0,3.0,0.09,0.18,0.28,0.05,0.23,Matches,2017-2018,Venezia
Leo Štulac,si SVN,MF,22,21,21,1886.0,21.0,6.0,4.0,10.0,6.0,0.0,0.0,2.0,0.0,0.29,0.19,0.48,0.29,0.48,Matches,2017-2018,Venezia
Gianmarco Zigoni,it ITA,FW,26,40,20,1855.0,20.6,6.0,2.0,8.0,6.0,0.0,1.0,1.0,0.0,0.29,0.1,0.39,0.29,0.39,Matches,2017-2018,Venezia
Matteo Bruscagin,it ITA,"DF,MF",27,23,20,1848.0,20.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,2017-2018,Venezia
Giuseppe Zampano,it ITA,"DF,MF",23,21,21,1792.0,19.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,2017-2018,Venezia
Alexandre Geijo,es ESP,FW,35,32,16,1665.0,18.5,5.0,5.0,10.0,4.0,1.0,1.0,3.0,0.0,0.27,0.27,0.54,0.22,0.49,Matches,2017-2018,Venezia
Davide Marsura,it ITA,"FW,MF",23,31,18,1596.0,17.7,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,0.28,0.11,0.39,0.28,0.39,Matches,2017-2018,Venezia
Stefano Moreo,it ITA,"FW,MF",24,21,16,1414.0,15.7,4.0,3.0,7.0,4.0,0.0,0.0,3.0,0.0,0.25,0.19,0.45,0.25,0.45,Matches,2017-2018,Venezia
Sergiu Suciu,ro ROU,MF,27,26,15,1395.0,15.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,2017-2018,Venezia
Gianluca Litteri,it ITA,FW,29,19,16,1371.0,15.2,7.0,1.0,8.0,5.0,2.0,2.0,2.0,2.0,0.46,0.07,0.53,0.33,0.39,Matches,2017-2018,Venezia
Cristiano Del Grosso,it ITA,DF,34,20,14,1353.0,15.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches,2017-2018,Venezia
Nicolas Frey,fr FRA,DF,33,12,12,1015.0,11.3,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,2017-2018,Venezia
Francesco Cernuto,it ITA,DF,25,17,11,1010.0,11.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,2017-2018,Venezia
Gianni Fabiano,it ITA,MF,33,18,5,611.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Venezia
Guglielmo Vicario,it ITA,GK,20,7,6,557.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Venezia
Marco Firenze,it ITA,"FW,MF",24,7,2,260.0,2.9,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.69,0.0,0.69,0.69,0.69,Matches,2017-2018,Venezia
Francesco Signori,it ITA,MF,28,7,1,144.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Venezia
Danilo Russo,it ITA,GK,30,1,1,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Venezia
Evans Soligo,it ITA,MF,38,3,1,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Venezia
Vittorio Fabris,it ITA,MF,24,1,0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Venezia
Jan Mlakar,si SVN,"FW,MF",18,4,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Venezia
Filippo Serena,it ITA,MF,17,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Venezia
Nicolò Simeoni,it ITA,FW,18,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Venezia
Mattia Zennaro,it ITA,MF,16,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Venezia
Roberto Strechie,it ITA,MF,17,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Venezia
Domenico Rossi,it ITA,MF,17,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Venezia
Mattia Vitale,it ITA,MF,19,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Venezia
Pier Graziano Gori,it ITA,GK,37,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Venezia
Simone Tagliapietra,it ITA,DF,17,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Venezia
Emanuele Cigagna,it ITA,DF,18,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Venezia
Roberto Barlocco,it ITA,GK,17,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Venezia
