Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Luca Lezzerini,it ITA,GK,24,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Venezia
Luca Fiordilino,it ITA,MF,23,37,34,3074.0,34.2,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.4,1.4,1.0,2.3,51.0,212.0,45.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,Matches,2019-2020,Venezia
Alessandro Capello,it ITA,"FW,MF",23,40,34,2947.0,32.7,7.0,5.0,12.0,7.0,0.0,0.0,4.0,0.0,9.0,9.0,5.0,14.0,79.0,121.0,246.0,0.21,0.15,0.37,0.21,0.37,0.29,0.16,0.45,0.29,0.45,Matches,2019-2020,Venezia
Marco Modolo,it ITA,DF,30,34,32,2907.0,32.3,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.9,1.9,0.5,2.4,25.0,119.0,24.0,0.03,0.0,0.03,0.03,0.03,0.06,0.02,0.08,0.06,0.08,Matches,2019-2020,Venezia
Pietro Ceccaroni,it ITA,DF,23,33,28,2692.0,29.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,1.6,2.6,77.0,177.0,62.0,0.03,0.0,0.03,0.03,0.03,0.03,0.06,0.09,0.03,0.09,Matches,2019-2020,Venezia
Mattia Aramu,it ITA,MF,24,33,29,2443.0,27.1,13.0,4.0,17.0,8.0,5.0,6.0,6.0,2.0,10.4,6.5,9.2,15.7,47.0,66.0,190.0,0.48,0.15,0.63,0.29,0.44,0.41,0.37,0.78,0.26,0.62,Matches,2019-2020,Venezia
Youssef Maleh,ma MAR,MF,20,30,27,2167.0,24.1,1.0,2.0,3.0,1.0,0.0,0.0,10.0,1.0,2.3,2.3,2.2,4.5,43.0,75.0,135.0,0.04,0.08,0.12,0.04,0.12,0.1,0.1,0.2,0.1,0.2,Matches,2019-2020,Venezia
Alessandro Fiordaliso,it ITA,DF,20,28,23,2084.0,23.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.1,1.4,65.0,103.0,111.0,0.0,0.04,0.04,0.0,0.04,0.02,0.05,0.07,0.02,0.07,Matches,2019-2020,Venezia
Riccardo Bocalon,it ITA,FW,30,20,17,1561.0,17.3,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,4.1,4.1,2.1,6.2,10.0,22.0,94.0,0.17,0.12,0.29,0.17,0.29,0.27,0.14,0.4,0.27,0.4,Matches,2019-2020,Venezia
Michele Cremonesi,it ITA,DF,31,20,18,1559.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.6,1.6,0.0,1.6,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,2019-2020,Venezia
Ivan Lakićević,rs SRB,DF,26,18,16,1510.0,16.8,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.9,1.0,52.0,57.0,68.0,0.0,0.12,0.12,0.0,0.12,0.01,0.05,0.06,0.01,0.06,Matches,2019-2020,Venezia
Nicolò Casale,it ITA,DF,21,20,16,1455.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,0.3,1.5,18.0,118.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,Matches,2019-2020,Venezia
Lorenzo Lollo,it ITA,MF,28,28,15,1362.0,15.1,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.5,0.5,1.5,2.0,20.0,54.0,27.0,0.0,0.07,0.07,0.0,0.07,0.04,0.1,0.13,0.04,0.13,Matches,2019-2020,Venezia
Samuele Longo,it ITA,FW,27,17,15,1343.0,14.9,4.0,0.0,4.0,3.0,1.0,2.0,3.0,0.0,5.7,4.1,1.7,5.8,28.0,19.0,94.0,0.27,0.0,0.27,0.2,0.2,0.38,0.11,0.49,0.28,0.39,Matches,2019-2020,Venezia
Adriano Montalto,it ITA,FW,31,19,14,1195.0,13.3,3.0,1.0,4.0,2.0,1.0,1.0,5.0,0.0,2.8,2.0,0.4,2.4,6.0,18.0,70.0,0.23,0.08,0.3,0.15,0.23,0.21,0.03,0.24,0.15,0.18,Matches,2019-2020,Venezia
Franco Zuculini,ar ARG,MF,28,20,13,1176.0,13.1,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,1.7,1.7,2.1,3.8,21.0,70.0,44.0,0.08,0.15,0.23,0.08,0.23,0.15,0.19,0.33,0.15,0.33,Matches,2019-2020,Venezia
Antonio Vacca,it ITA,MF,29,17,13,932.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.5,0.7,26.0,78.0,25.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,Matches,2019-2020,Venezia
Cristian Molinaro,it ITA,DF,36,12,11,859.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.8,1.8,30.0,62.0,34.0,0.0,0.0,0.0,0.0,0.0,0.01,0.19,0.19,0.01,0.19,Matches,2019-2020,Venezia
Fabrizio Caligara,it ITA,MF,19,16,9,770.0,8.6,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.7,0.7,0.5,1.2,12.0,16.0,30.0,0.12,0.0,0.12,0.12,0.12,0.09,0.06,0.14,0.09,0.14,Matches,2019-2020,Venezia
Sergiu Suciu,ro ROU,MF,29,14,7,653.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.7,1.3,12.0,47.0,31.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.17,0.07,0.17,Matches,2019-2020,Venezia
Gian Filippo Felicioli,it ITA,DF,21,9,8,625.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,28.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,2019-2020,Venezia
