Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Pau Torres,es ESP,DF,24,47,47,4145.0,46.1,6.0,1.0,7.0,6.0,0.0,0.0,6.0,0.0,3.7,3.7,2.1,5.9,70.0,191.0,10.0,0.13,0.02,0.15,0.13,0.15,0.08,0.05,0.13,0.08,0.13,Matches,2021-2022,Villarreal
Gerónimo Rulli,ar ARG,GK,29,46,46,4108.0,45.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Villarreal
Daniel Parejo,es ESP,MF,32,46,44,3780.0,42.0,3.0,13.0,16.0,2.0,1.0,1.0,5.0,0.0,2.3,1.5,10.2,11.6,43.0,315.0,45.0,0.07,0.31,0.38,0.05,0.36,0.05,0.24,0.3,0.04,0.28,Matches,2021-2022,Villarreal
Raúl Albiol,es ESP,DF,35,43,42,3726.0,41.4,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.5,0.5,0.1,0.6,14.0,104.0,0.0,0.02,0.0,0.02,0.02,0.02,0.01,0.0,0.01,0.01,0.01,Matches,2021-2022,Villarreal
Étienne Capoue,fr FRA,MF,33,44,40,3493.0,38.8,3.0,5.0,8.0,3.0,0.0,0.0,12.0,1.0,2.6,2.6,1.9,4.5,51.0,165.0,39.0,0.08,0.13,0.21,0.08,0.21,0.07,0.05,0.12,0.07,0.12,Matches,2021-2022,Villarreal
Juan Foyth,ar ARG,DF,23,38,34,3015.0,33.5,1.0,1.0,2.0,1.0,0.0,0.0,8.0,1.0,1.1,1.1,1.1,2.1,62.0,112.0,40.0,0.03,0.03,0.06,0.03,0.06,0.03,0.03,0.07,0.03,0.07,Matches,2021-2022,Villarreal
Manu Trigueros,es ESP,"MF,FW",29,47,34,2734.0,30.4,8.0,4.0,12.0,8.0,0.0,0.0,3.0,0.0,6.4,6.4,3.1,9.6,35.0,205.0,107.0,0.26,0.13,0.4,0.26,0.4,0.23,0.11,0.34,0.23,0.34,Matches,2021-2022,Villarreal
Arnaut Danjuma,nl NED,FW,24,34,27,2375.0,26.4,16.0,5.0,21.0,12.0,4.0,4.0,1.0,0.0,16.8,13.8,3.5,17.3,97.0,37.0,234.0,0.61,0.19,0.8,0.45,0.64,0.64,0.13,0.77,0.52,0.66,Matches,2021-2022,Villarreal
Alfonso Pedraza,es ESP,"DF,MF",25,41,26,2370.0,26.3,4.0,6.0,10.0,4.0,0.0,0.0,3.0,0.0,2.7,2.7,6.6,9.2,117.0,70.0,217.0,0.15,0.23,0.38,0.15,0.38,0.11,0.28,0.39,0.11,0.39,Matches,2021-2022,Villarreal
