Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Jiří Pavlenka,cz CZE,GK,27,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Werder Bremen
Davy Klaassen,nl NED,MF,26,37,37,3296.0,36.6,9.0,6.0,15.0,8.0,1.0,3.0,7.0,0.0,7.2,4.9,3.0,7.8,27.0,139.0,92.0,0.25,0.16,0.41,0.22,0.38,0.22,0.09,0.31,0.15,0.24,Matches,2019-2020,Werder Bremen
Maximilian Eggestein,de GER,MF,22,36,36,3215.0,35.7,1.0,4.0,5.0,1.0,0.0,0.0,6.0,0.0,2.6,2.6,2.2,4.9,50.0,209.0,112.0,0.03,0.11,0.14,0.03,0.14,0.08,0.07,0.15,0.08,0.15,Matches,2019-2020,Werder Bremen
Theodor Gebre Selassie,cz CZE,"DF,MF",32,30,30,2607.0,29.0,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,1.5,1.5,1.3,2.8,32.0,86.0,89.0,0.07,0.1,0.17,0.07,0.17,0.06,0.05,0.1,0.06,0.1,Matches,2019-2020,Werder Bremen
Milot Rashica,xk KVX,FW,23,32,31,2606.0,29.0,11.0,5.0,16.0,9.0,2.0,3.0,2.0,0.0,6.0,3.7,3.2,6.9,81.0,45.0,196.0,0.38,0.17,0.55,0.31,0.48,0.24,0.13,0.37,0.15,0.27,Matches,2019-2020,Werder Bremen
Marco Friedl,at AUT,"DF,MF",21,30,27,2408.0,26.8,2.0,4.0,6.0,2.0,0.0,0.0,11.0,0.0,0.9,0.9,1.7,2.6,24.0,82.0,80.0,0.07,0.15,0.22,0.07,0.22,0.04,0.07,0.11,0.04,0.11,Matches,2019-2020,Werder Bremen
Niklas Moisander,fi FIN,DF,33,25,25,2249.0,25.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,1.1,1.1,0.2,1.3,33.0,133.0,3.0,0.04,0.0,0.04,0.04,0.04,0.05,0.01,0.06,0.05,0.06,Matches,2019-2020,Werder Bremen
Miloš Veljković,rs SRB,DF,23,26,25,2231.0,24.8,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.3,0.3,0.9,1.2,23.0,108.0,6.0,0.0,0.04,0.04,0.0,0.04,0.01,0.04,0.05,0.01,0.05,Matches,2019-2020,Werder Bremen
Leonardo Bittencourt,de GER,"FW,MF",25,31,26,2089.0,23.2,6.0,2.0,8.0,6.0,0.0,0.0,8.0,0.0,2.9,2.9,2.4,5.3,58.0,57.0,162.0,0.26,0.09,0.34,0.26,0.34,0.14,0.11,0.25,0.14,0.25,Matches,2019-2020,Werder Bremen
Yuya Osako,jp JPN,"FW,MF",29,32,24,2048.0,22.8,9.0,4.0,13.0,9.0,0.0,0.0,3.0,0.0,6.9,6.9,2.0,8.9,29.0,80.0,135.0,0.4,0.18,0.57,0.4,0.57,0.33,0.1,0.43,0.33,0.43,Matches,2019-2020,Werder Bremen
Josh Sargent,us USA,FW,19,32,17,1617.0,18.0,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,4.2,4.2,1.5,5.6,17.0,21.0,79.0,0.22,0.17,0.39,0.22,0.39,0.26,0.09,0.36,0.26,0.36,Matches,2019-2020,Werder Bremen
